"Status","Year","Profession_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","South West (England)","180","170","43100","40140"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","London","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Education","North East (England)","70","60","40140","37100"
"In post","2021","Commercial","Department for Education","North West (England)","100","90","38760","36780"
"In post","2021","Commercial","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","West Midlands (England)","60","50","38420","37100"
"In post","2021","Commercial","Department for Education","Yorkshire and The Humber","110","100","39460","37100"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","South West (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
