"Status","Year","Organisation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","30-39","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","20-29","100","90","25550","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","30-39","200","190","29310","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","40-49","210","200","30900","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","50-59","290","280","33820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","60-64","70","60","35270","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","65+","30","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","20-29","340","330","24830","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","30-39","290","270","26270","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","40-49","370","340","27990","25670"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","50-59","410","390","28290","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","60-64","120","110","28400","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","65+","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","20-29","100","100","26630","24370"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","30-39","110","100","30210","28270"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","40-49","150","140","33340","29180"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","50-59","210","200","34060","29980"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","60-64","60","50","31920","29180"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","40-49","[c]","[c]","[c]","[c]"
