"Status","Year","Disability","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Attorney General's Departments","710","650","44050","40050"
"In post","2021","Declared disabled","Heterosexual / straight","Cabinet Office","530","500","43730","37300"
"In post","2021","Declared disabled","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","660","620","41430","37820"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Digital, Culture, Media and Sport","80","80","48390","39360"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Education","530","500","41480","37100"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Environment, Food and Rural Affairs","840","790","34700","30730"
"In post","2021","Declared disabled","Heterosexual / straight","Department for International Trade","120","120","45620","41640"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Transport","880","790","30420","26780"
"In post","2021","Declared disabled","Heterosexual / straight","Department for Work and Pensions","11260","9890","27450","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Department of Health and Social Care","360","340","40750","36330"
"In post","2021","Declared disabled","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Foreign, Commonwealth and Development Office","620","610","43530","38600"
"In post","2021","Declared disabled","Heterosexual / straight","HM Land Registry","350","300","30630","27130"
"In post","2021","Declared disabled","Heterosexual / straight","HM Revenue and Customs","4080","3660","31450","28130"
"In post","2021","Declared disabled","Heterosexual / straight","HM Treasury","180","180","45430","41840"
"In post","2021","Declared disabled","Heterosexual / straight","Home Office","2400","2200","31020","27370"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Defence","4140","3980","33160","31170"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Housing, Communities and Local Government","260","250","41430","36340"
"In post","2021","Declared disabled","Heterosexual / straight","Ministry of Justice","7070","6570","29290","26640"
"In post","2021","Declared disabled","Heterosexual / straight","National Crime Agency","160","150","38240","36630"
"In post","2021","Declared disabled","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office for Standards in Education","110","110","45660","51360"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Other Cabinet Office Agencies","60","50","43070","38010"
"In post","2021","Declared disabled","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Government","1100","1050","36880","33650"
"In post","2021","Declared disabled","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","United Kingdom Statistics Authority","380","330","31410","29540"
"In post","2021","Declared disabled","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Welsh Government","260","240","38070","37410"
"In post","2021","Declared disabled","LGBO","Attorney General's Departments","70","70","47040","51050"
"In post","2021","Declared disabled","LGBO","Cabinet Office","90","90","44810","40600"
"In post","2021","Declared disabled","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Business, Energy and Industrial Strategy","120","120","40070","33640"
"In post","2021","Declared disabled","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Education","70","70","39650","33510"
"In post","2021","Declared disabled","LGBO","Department for Environment, Food and Rural Affairs","120","110","35110","31740"
"In post","2021","Declared disabled","LGBO","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Transport","80","80","35530","30420"
"In post","2021","Declared disabled","LGBO","Department for Work and Pensions","1120","1050","27830","27570"
"In post","2021","Declared disabled","LGBO","Department of Health and Social Care","70","70","38600","32480"
"In post","2021","Declared disabled","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Foreign, Commonwealth and Development Office","80","80","44120","41810"
"In post","2021","Declared disabled","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","HM Revenue and Customs","430","400","31630","31810"
"In post","2021","Declared disabled","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Home Office","230","220","33680","30010"
"In post","2021","Declared disabled","LGBO","Ministry of Defence","270","260","32770","30060"
"In post","2021","Declared disabled","LGBO","Ministry of Housing, Communities and Local Government","50","50","41400","34860"
"In post","2021","Declared disabled","LGBO","Ministry of Justice","790","760","29220","26810"
"In post","2021","Declared disabled","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Government","190","190","35600","32140"
"In post","2021","Declared disabled","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","United Kingdom Statistics Authority","50","50","33800","30130"
"In post","2021","Declared disabled","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Attorney General's Departments","50","50","48080","50680"
"In post","2021","Declared disabled","Undeclared","Cabinet Office","80","80","44900","40580"
"In post","2021","Declared disabled","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy","70","60","40430","35840"
"In post","2021","Declared disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Education","60","60","41770","37100"
"In post","2021","Declared disabled","Undeclared","Department for Environment, Food and Rural Affairs","110","100","34540","31760"
"In post","2021","Declared disabled","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Transport","380","310","25860","21590"
