"Status","Year","Function_of_post","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Monmouthshire and Newport","50","50","[c]","[c]"
"In post","2021","Analysis","AA/AO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Suffolk","30","30","[c]","[c]"
"In post","2021","Analysis","AA/AO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Westminster","50","50","[c]","[c]"
"In post","2021","Analysis","AA/AO","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Dorset CC","30","30","[c]","[c]"
"In post","2021","Analysis","EO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
