"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Inner London - East","80","70","45250","42120"
"In post","2021","Asian","Analysis","Inner London - West","240","240","45280","41760"
"In post","2021","Asian","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
