"Status","Year","Sexual_orientation","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Declared disabled","710","650","44050","40050"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Declared non-disabled","5070","4740","45480","48830"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Undeclared","70","70","50490","51250"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Unknown","920","890","36810","38000"
"In post","2021","Heterosexual / straight","Cabinet Office","Declared disabled","530","500","43730","37300"
"In post","2021","Heterosexual / straight","Cabinet Office","Declared non-disabled","3690","3590","48720","41820"
"In post","2021","Heterosexual / straight","Cabinet Office","Undeclared","140","140","44260","38580"
"In post","2021","Heterosexual / straight","Cabinet Office","Unknown","60","60","48480","49700"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Declared non-disabled","260","260","59940","49040"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Declared non-disabled","180","170","35150","29160"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Declared non-disabled","610","590","59400","56190"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Declared disabled","660","620","41430","37820"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Declared non-disabled","5340","5140","44140","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Undeclared","160","150","43350","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Unknown","850","810","38120","34500"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Declared disabled","80","80","48390","39360"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Declared non-disabled","1110","1090","49900","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Undeclared","30","30","[c]","[c]"
