"Status","Year","Parent_department","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Legal","1480","1360","22300","21950"
"In post","2021","Attorney General's Departments","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Finance","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Legal","1560","1460","28150","28430"
"In post","2021","Attorney General's Departments","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Counter Fraud","80","70","64250","63000"
"In post","2021","Attorney General's Departments","G6/G7","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Finance","[c]","[c]","[c]","[c]"
