"Status","Year","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","2860","2710","38760","36340"
"In post","2021","Commercial","Male","2500","2470","42320","39750"
"In post","2021","Communications","Female","2330","2210","41430","38540"
"In post","2021","Communications","Male","1630","1620","41740","38290"
"In post","2021","Corporate Finance","Female","90","90","44370","42120"
"In post","2021","Corporate Finance","Male","80","80","51800","47140"
"In post","2021","Counter Fraud","Female","410","380","35230","33100"
"In post","2021","Counter Fraud","Male","490","480","40490","38450"
"In post","2021","Digital, Data and Technology","Female","4630","4400","40630","37640"
"In post","2021","Digital, Data and Technology","Male","8660","8550","42380","38630"
"In post","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","800","770","46710","44150"
"In post","2021","Economics","Male","1370","1350","47360","42780"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","5130","4760","38000","33570"
"In post","2021","Finance","Male","4030","3960","43360","39370"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","5560","5200","38200","33350"
"In post","2021","Human Resources","Male","2310","2260","39720","35230"
"In post","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","600","590","63550","64500"
"In post","2021","Inspector of Education and Training","Male","260","250","73380","75500"
"In post","2021","Intelligence Analysis","Female","1560","1460","33750","30100"
"In post","2021","Intelligence Analysis","Male","1840","1800","36310","32850"
"In post","2021","Internal Audit","Female","400","380","43790","41340"
"In post","2021","Internal Audit","Male","380","370","47930","45390"
"In post","2021","International Trade","Female","650","630","45810","39520"
"In post","2021","International Trade","Male","820","820","47790","42470"
"In post","2021","Knowledge and Information Management","Female","1290","1200","35600","32850"
"In post","2021","Knowledge and Information Management","Male","1100","1080","38240","35700"
"In post","2021","Legal","Female","7040","6400","48710","50550"
"In post","2021","Legal","Male","5110","4950","47210","46530"
"In post","2021","Medicine","Female","1740","1540","51900","38490"
"In post","2021","Medicine","Male","760","700","66310","66580"
"In post","2021","Operational Delivery","Female","96900","86300","27650","25220"
"In post","2021","Operational Delivery","Male","79200","75720","29940","27130"
"In post","2021","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","430","400","43150","40420"
"In post","2021","Operational Research","Male","760","740","44920","46080"
"In post","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","10760","10120","30030","25860"
"In post","2021","Other","Male","11910","11650","33510","29220"
"In post","2021","Planning","Female","100","90","45060","40720"
"In post","2021","Planning","Male","110","100","46810","40720"
"In post","2021","Planning Inspectors","Female","130","110","57850","58810"
"In post","2021","Planning Inspectors","Male","220","190","57960","58810"
"In post","2021","Policy","Female","15720","15080","45940","41000"
"In post","2021","Policy","Male","13360","13220","49080","47550"
"In post","2021","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","8060","7700","40570","37660"
"In post","2021","Project Delivery","Male","7960","7840","44350","40580"
"In post","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","2780","2580","34430","32100"
"In post","2021","Property","Male","4190","4080","37650","33350"
"In post","2021","Psychology","Female","1240","1180","35540","31180"
"In post","2021","Psychology","Male","180","170","36630","30450"
"In post","2021","Science and Engineering","Female","4480","4150","38340","36710"
"In post","2021","Science and Engineering","Male","9610","9370","38960","37320"
"In post","2021","Security","Female","1740","1680","32150","29030"
"In post","2021","Security","Male","6570","6470","31320","27680"
"In post","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","800","760","42690","40480"
"In post","2021","Social Research","Male","350","340","42670","38010"
"In post","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","950","890","42920","39100"
"In post","2021","Statistics","Male","1070","1050","43730","39850"
"In post","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","8430","7780","32100","31810"
"In post","2021","Tax","Male","9370","9020","34460","31810"
"In post","2021","Unknown","Female","74850","65850","29860","27570"
"In post","2021","Unknown","Male","45790","44290","32610","27570"
"In post","2021","Veterinarian","Female","260","240","44990","40450"
"In post","2021","Veterinarian","Male","190","190","47240","47550"
"In post","2022","Commercial","Female","3400","3220","38520","36500"
"In post","2022","Commercial","Male","2800","2750","41580","38650"
"In post","2022","Communications","Female","2490","2370","42290","38760"
"In post","2022","Communications","Male","1680","1670","42620","38970"
"In post","2022","Corporate Finance","Female","80","80","42580","38590"
"In post","2022","Corporate Finance","Male","70","60","56410","50100"
"In post","2022","Counter Fraud","Female","3910","3410","28350","27570"
"In post","2022","Counter Fraud","Male","2680","2520","30500","27570"
"In post","2022","Digital, Data and Technology","Female","7000","6670","40930","37660"
"In post","2022","Digital, Data and Technology","Male","13010","12830","42750","39460"
"In post","2022","Economics","Female","770","740","46800","43430"
"In post","2022","Economics","Male","1320","1300","47950","43950"
"In post","2022","Finance","Female","6890","6500","38630","34260"
"In post","2022","Finance","Male","5440","5350","42760","39040"
"In post","2022","Geography","Female","170","160","30820","29290"
"In post","2022","Geography","Male","310","300","31750","33290"
"In post","2022","Human Resources","Female","6780","6360","38510","33990"
"In post","2022","Human Resources","Male","2830","2770","39980","36130"
"In post","2022","Inspector of Education and Training","Female","680","650","62760","51360"
"In post","2022","Inspector of Education and Training","Male","260","260","73180","75500"
"In post","2022","Intelligence Analysis","Female","1490","1390","32200","29080"
"In post","2022","Intelligence Analysis","Male","1750","1710","35280","32620"
"In post","2022","Internal Audit","Female","400","380","44580","42310"
"In post","2022","Internal Audit","Male","370","360","47770","44980"
"In post","2022","International Trade","Female","750","740","46480","42060"
"In post","2022","International Trade","Male","890","880","47910","44030"
"In post","2022","Knowledge and Information Management","Female","1310","1230","34400","31880"
"In post","2022","Knowledge and Information Management","Male","1070","1050","36930","33300"
"In post","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","7460","6810","49310","50500"
"In post","2022","Legal","Male","5220","5070","48260","48080"
"In post","2022","Medicine","Female","1760","1540","51600","39700"
