"Status","Year","Parent_department","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Heterosexual / straight","1080","1000","22390","21950"
"In post","2021","Attorney General's Departments","AA/AO","LGBO","60","60","22080","21950"
"In post","2021","Attorney General's Departments","AA/AO","Undeclared","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","340","310","22160","21950"
"In post","2021","Attorney General's Departments","EO","Heterosexual / straight","1210","1140","27930","27760"
"In post","2021","Attorney General's Departments","EO","LGBO","100","90","28370","27500"
"In post","2021","Attorney General's Departments","EO","Undeclared","60","60","28230","27710"
"In post","2021","Attorney General's Departments","EO","Unknown","390","350","28350","28430"
"In post","2021","Attorney General's Departments","G6/G7","Heterosexual / straight","3180","2960","57650","55610"
"In post","2021","Attorney General's Departments","G6/G7","LGBO","200","190","59600","56300"
"In post","2021","Attorney General's Departments","G6/G7","Undeclared","210","190","59040","55610"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","1190","1070","60560","59930"
"In post","2021","Attorney General's Departments","SCS","Heterosexual / straight","200","190","89080","82820"
"In post","2021","Attorney General's Departments","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Unknown","80","70","86130","81060"
"In post","2021","Attorney General's Departments","SEO/HEO","Heterosexual / straight","1090","1060","36560","37780"
"In post","2021","Attorney General's Departments","SEO/HEO","LGBO","60","60","36900","38000"
"In post","2021","Attorney General's Departments","SEO/HEO","Undeclared","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","250","240","36710","36240"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Heterosexual / straight","320","290","21880","20920"
"In post","2021","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Unknown","170","170","21450","20920"
"In post","2021","Cabinet Office","EO","Heterosexual / straight","570","550","27130","27500"
"In post","2021","Cabinet Office","EO","LGBO","60","60","26950","27500"
"In post","2021","Cabinet Office","EO","Undeclared","60","60","27560","27500"
"In post","2021","Cabinet Office","EO","Unknown","190","180","27410","27500"
"In post","2021","Cabinet Office","G6/G7","Heterosexual / straight","1640","1610","58780","56340"
"In post","2021","Cabinet Office","G6/G7","LGBO","170","160","58020","56340"
"In post","2021","Cabinet Office","G6/G7","Undeclared","190","190","58830","56680"
"In post","2021","Cabinet Office","G6/G7","Unknown","1030","1010","61310","56340"
"In post","2021","Cabinet Office","SCS","Heterosexual / straight","400","400","96830","87750"
"In post","2021","Cabinet Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Unknown","500","490","88640","73450"
"In post","2021","Cabinet Office","SEO/HEO","Heterosexual / straight","1480","1450","36340","35590"
"In post","2021","Cabinet Office","SEO/HEO","LGBO","160","160","36180","34640"
"In post","2021","Cabinet Office","SEO/HEO","Undeclared","170","170","36590","35040"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","2210","2200","31450","29250"
"In post","2021","Chancellor's other departments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Heterosexual / straight","140","130","78020","71810"
"In post","2021","Chancellor's other departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Heterosexual / straight","110","110","41660","41310"
"In post","2021","Chancellor's other departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
