"Status","Year","Ethnicity","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Female","13020","11900","32610","29080"
"In post","2021","Asian","Heterosexual / straight","Male","10700","10430","33260","29290"
"In post","2021","Asian","LGBO","Female","270","240","31330","27570"
"In post","2021","Asian","LGBO","Male","310","300","34820","30780"
"In post","2021","Asian","Undeclared","Female","1060","920","30260","27570"
"In post","2021","Asian","Undeclared","Male","600","580","31910","28790"
"In post","2021","Asian","Unknown","Female","1970","1650","30840","27570"
"In post","2021","Asian","Unknown","Male","1220","1170","32860","27570"
"In post","2021","Black","Heterosexual / straight","Female","8320","7940","32490","30400"
"In post","2021","Black","Heterosexual / straight","Male","4620","4550","33430","31060"
"In post","2021","Black","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Female","190","180","32500","29290"
"In post","2021","Black","LGBO","Male","150","140","35820","31060"
"In post","2021","Black","Undeclared","Female","550","500","31720","29370"
"In post","2021","Black","Undeclared","Male","240","230","33090","30780"
"In post","2021","Black","Unknown","Female","1000","900","31730","30200"
"In post","2021","Black","Unknown","Male","540","520","33330","31090"
"In post","2021","Chinese","Heterosexual / straight","Female","570","530","36550","31910"
"In post","2021","Chinese","Heterosexual / straight","Male","370","370","36360","31810"
"In post","2021","Chinese","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Male","50","50","37890","32700"
"In post","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Female","60","60","36960","34050"
"In post","2021","Chinese","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Chinese","Unknown","Female","90","80","40670","35440"
"In post","2021","Chinese","Unknown","Male","50","50","36100","31810"
"In post","2021","Mixed","Heterosexual / straight","Female","3790","3560","34180","30210"
"In post","2021","Mixed","Heterosexual / straight","Male","2590","2540","36720","31880"
"In post","2021","Mixed","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Female","340","330","34740","30990"
"In post","2021","Mixed","LGBO","Male","350","340","36510","31990"
"In post","2021","Mixed","Undeclared","Female","330","300","33120","29290"
"In post","2021","Mixed","Undeclared","Male","250","240","36360","31060"
"In post","2021","Mixed","Unknown","Female","350","310","34820","30330"
"In post","2021","Mixed","Unknown","Male","260","250","36410","31810"
"In post","2021","Other ethnicity","Heterosexual / straight","Female","1050","980","35100","31060"
"In post","2021","Other ethnicity","Heterosexual / straight","Male","780","760","37420","32520"
"In post","2021","Other ethnicity","LGBO","Female","70","70","33720","31060"
"In post","2021","Other ethnicity","LGBO","Male","100","100","38800","33480"
"In post","2021","Other ethnicity","Undeclared","Female","140","130","39360","32420"
"In post","2021","Other ethnicity","Undeclared","Male","170","170","44450","39070"
"In post","2021","Other ethnicity","Unknown","Female","160","130","36500","31810"
"In post","2021","Other ethnicity","Unknown","Male","130","130","36370","31650"
"In post","2021","Undeclared","Heterosexual / straight","Female","1330","1210","31580","27570"
"In post","2021","Undeclared","Heterosexual / straight","Male","1550","1500","34140","30890"
"In post","2021","Undeclared","LGBO","Female","100","90","31240","28210"
"In post","2021","Undeclared","LGBO","Male","200","190","34890","30930"
"In post","2021","Undeclared","Undeclared","Female","5030","4560","33290","29200"
"In post","2021","Undeclared","Undeclared","Male","8200","7920","36780","33170"
"In post","2021","Undeclared","Unknown","Female","2100","1760","30740","27570"
"In post","2021","Undeclared","Unknown","Male","2050","1930","34700","31810"
"In post","2021","Unknown","Heterosexual / straight","Female","1780","1570","32470","27580"
"In post","2021","Unknown","Heterosexual / straight","Male","1480","1430","34600","30400"
"In post","2021","Unknown","LGBO","Female","100","90","34230","30940"
"In post","2021","Unknown","LGBO","Male","130","130","38490","31060"
"In post","2021","Unknown","Undeclared","Female","1800","1600","29140","26550"
"In post","2021","Unknown","Undeclared","Male","1260","1200","32680","29350"
"In post","2021","Unknown","Unknown","Female","29450","27350","31810","27570"
"In post","2021","Unknown","Unknown","Male","31060","30330","33730","29250"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Heterosexual / straight","Female","146150","132200","32810","27570"
"In post","2021","White","Heterosexual / straight","Male","118860","115280","35850","31650"
"In post","2021","White","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","LGBO","Female","7960","7680","32650","28400"
"In post","2021","White","LGBO","Male","8490","8320","35970","31050"
"In post","2021","White","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Undeclared","Female","13800","12170","31700","27570"
"In post","2021","White","Undeclared","Male","10160","9690","35270","31650"
"In post","2021","White","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Female","19770","16570","30530","27570"
"In post","2021","White","Unknown","Male","15190","14310","34880","31650"
"In post","2022","Asian","Heterosexual / straight","Female","15330","14100","33400","29490"
"In post","2022","Asian","Heterosexual / straight","Male","12620","12310","34050","30450"
"In post","2022","Asian","LGBO","Female","330","300","32110","28310"
"In post","2022","Asian","LGBO","Male","390","380","36240","32370"
"In post","2022","Asian","Undeclared","Female","1170","1040","31460","28310"
"In post","2022","Asian","Undeclared","Male","690","660","33190","30400"
"In post","2022","Asian","Unknown","Female","1880","1580","31750","27570"
"In post","2022","Asian","Unknown","Male","1250","1190","34000","29290"
"In post","2022","Black","Heterosexual / straight","Female","9250","8830","33140","31020"
"In post","2022","Black","Heterosexual / straight","Male","5270","5180","33950","31060"
"In post","2022","Black","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","LGBO","Female","200","190","33720","30990"
"In post","2022","Black","LGBO","Male","150","150","36180","31120"
"In post","2022","Black","Undeclared","Female","580","540","32320","30320"
"In post","2022","Black","Undeclared","Male","230","220","33710","31060"
"In post","2022","Black","Unknown","Female","890","800","32030","30550"
"In post","2022","Black","Unknown","Male","510","490","34180","31650"
"In post","2022","Mixed","Heterosexual / straight","Female","4260","4000","34980","31060"
"In post","2022","Mixed","Heterosexual / straight","Male","2870","2820","36980","32800"
