"Status","Year","Ethnicity","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","20-29","130","130","36030","34550"
"In post","2021","Asian","Cabinet Office (excl. agencies)","30-39","170","170","47460","54700"
"In post","2021","Asian","Cabinet Office (excl. agencies)","40-49","110","100","53640","54700"
"In post","2021","Asian","Cabinet Office (excl. agencies)","50-59","50","50","50870","41820"
"In post","2021","Asian","Cabinet Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","30-39","50","40","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","30-39","[c]","[c]","[c]","[c]"
