"Status","Year","Parent_department","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","60","60","44340","39750"
"In post","2021","Attorney General's Departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","100","100","42940","34370"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","150","140","47400","41280"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Female","80","70","37550","35290"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Male","100","100","41590","38370"
"In post","2021","Attorney General's Departments","Finance","Female","80","70","34400","31010"
"In post","2021","Attorney General's Departments","Finance","Male","70","70","39610","31560"
"In post","2021","Attorney General's Departments","Human Resources","Female","160","150","40560","34400"
"In post","2021","Attorney General's Departments","Human Resources","Male","60","60","37900","31710"
"In post","2021","Attorney General's Departments","Legal","Female","5780","5220","43960","48080"
"In post","2021","Attorney General's Departments","Legal","Male","2940","2860","48430","51250"
"In post","2021","Attorney General's Departments","No function","Female","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Male","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Female","670","650","66570","62250"
"In post","2021","Cabinet Office","Commercial","Male","750","750","74230","65440"
"In post","2021","Cabinet Office","Communications","Female","200","200","46520","42550"
"In post","2021","Cabinet Office","Communications","Male","140","140","47870","40600"
"In post","2021","Cabinet Office","Counter Fraud","Female","50","40","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Male","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Female","420","410","49800","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Male","550","540","52530","54700"
"In post","2021","Cabinet Office","Finance","Female","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Male","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Female","740","690","39170","35590"
"In post","2021","Cabinet Office","Human Resources","Male","390","380","39200","35320"
"In post","2021","Cabinet Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Male","30","30","[c]","[c]"
"In post","2021","Cabinet Office","No function","Female","2290","2260","39550","32000"
"In post","2021","Cabinet Office","No function","Male","1880","1870","42120","33250"
"In post","2021","Cabinet Office","Project Delivery","Female","90","90","63870","57840"
"In post","2021","Cabinet Office","Project Delivery","Male","100","100","74710","64500"
"In post","2021","Cabinet Office","Property","Female","50","50","47450","45150"
"In post","2021","Cabinet Office","Property","Male","50","50","54370","54700"
"In post","2021","Cabinet Office","Security","Female","460","430","32190","33000"
"In post","2021","Cabinet Office","Security","Male","420","410","34060","33300"
"In post","2021","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Female","70","60","64330","65470"
"In post","2021","Chancellor's other departments","Analysis","Male","120","110","70090","59150"
"In post","2021","Chancellor's other departments","Commercial","Female","[c]","[c]","[c]","[c]"
