"Status","Year","Parent_department","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Female","610","550","43580","39890"
"In post","2021","Attorney General's Departments","Declared disabled","Male","330","320","45990","49710"
"In post","2021","Attorney General's Departments","Declared non-disabled","Female","4350","3920","44510","48080"
"In post","2021","Attorney General's Departments","Declared non-disabled","Male","2410","2350","48550","51120"
"In post","2021","Attorney General's Departments","Undeclared","Female","90","80","54330","52730"
"In post","2021","Attorney General's Departments","Undeclared","Male","60","50","54320","64720"
"In post","2021","Attorney General's Departments","Unknown","Female","1340","1250","40530","38000"
"In post","2021","Attorney General's Departments","Unknown","Male","670","650","44340","48080"
"In post","2021","Cabinet Office","Declared disabled","Female","390","370","43210","38420"
"In post","2021","Cabinet Office","Declared disabled","Male","320","310","44950","38340"
"In post","2021","Cabinet Office","Declared non-disabled","Female","2390","2300","46490","40600"
"In post","2021","Cabinet Office","Declared non-disabled","Male","2110","2090","51830","53500"
"In post","2021","Cabinet Office","Undeclared","Female","140","140","42530","36200"
"In post","2021","Cabinet Office","Undeclared","Male","140","140","46710","40600"
"In post","2021","Cabinet Office","Unknown","Female","2120","2090","42310","32000"
"In post","2021","Cabinet Office","Unknown","Male","1840","1830","47370","34550"
"In post","2021","Chancellor's other departments","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Female","140","140","52570","45760"
"In post","2021","Chancellor's other departments","Declared non-disabled","Male","190","180","65290","54910"
"In post","2021","Chancellor's other departments","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Female","120","110","35790","29160"
"In post","2021","Charity Commission","Declared non-disabled","Male","90","90","34520","29160"
"In post","2021","Charity Commission","Unknown","Female","120","110","33160","29160"
"In post","2021","Charity Commission","Unknown","Male","80","80","36420","30370"
"In post","2021","Competition and Markets Authority","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Female","360","340","57760","55860"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Male","350","340","61280","56630"
"In post","2021","Competition and Markets Authority","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Female","590","550","38920","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Male","440","430","41260","39130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Female","4260","4000","40540","38790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Male","4550","4460","45180","41650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Female","180","180","43060","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Male","230","230","46720","42990"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","1460","1360","34310","30990"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","1450","1430","36970","33880"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Female","70","70","46980","39190"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Male","50","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Female","720","700","48500","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Male","610","610","50940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Female","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Female","140","130","47880","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Male","120","120","49100","47930"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Female","440","410","41390","37040"
"In post","2021","Department for Education","Declared disabled","Male","280","280","41870","37100"
"In post","2021","Department for Education","Declared non-disabled","Female","3250","3070","44130","40510"
"In post","2021","Department for Education","Declared non-disabled","Male","2330","2300","46280","42780"
"In post","2021","Department for Education","Undeclared","Female","210","200","43470","37100"
"In post","2021","Department for Education","Undeclared","Male","160","160","44960","40300"
"In post","2021","Department for Education","Unknown","Female","750","720","39650","36500"
"In post","2021","Department for Education","Unknown","Male","520","510","39430","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Female","690","630","33400","29720"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Male","470","460","35510","31640"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Female","4630","4260","34410","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Male","3610","3550","37140","32790"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Female","230","210","35970","32650"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Male","200","200","37820","33840"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","660","610","39420","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","570","550","40850","36590"
"In post","2021","Department for International Trade","Declared disabled","Female","100","100","45360","41640"
"In post","2021","Department for International Trade","Declared disabled","Male","100","100","44850","38540"
"In post","2021","Department for International Trade","Declared non-disabled","Female","640","620","46030","40810"
"In post","2021","Department for International Trade","Declared non-disabled","Male","780","770","47240","41730"
"In post","2021","Department for International Trade","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Female","500","490","42690","38540"
