"Status","Year","Function_of_post","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Digital, Data and Technology","170","160","41960","42000"
"In post","2021","Analysis","Heterosexual / straight","Economics","850","830","47460","42280"
"In post","2021","Analysis","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Intelligence Analysis","140","130","49290","51420"
"In post","2021","Analysis","Heterosexual / straight","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Operational Delivery","350","330","32070","30130"
"In post","2021","Analysis","Heterosexual / straight","Operational Research","460","440","44430","42520"
"In post","2021","Analysis","Heterosexual / straight","Other","160","150","67140","60780"
"In post","2021","Analysis","Heterosexual / straight","Policy","240","220","45960","45250"
"In post","2021","Analysis","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Science and Engineering","300","280","35830","31440"
"In post","2021","Analysis","Heterosexual / straight","Social Research","610","590","42120","37520"
"In post","2021","Analysis","Heterosexual / straight","Statistics","1220","1180","44190","40480"
"In post","2021","Analysis","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Unknown","50","50","45930","41850"
"In post","2021","Analysis","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Economics","80","80","43700","35640"
"In post","2021","Analysis","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
