"Status","Year","Age","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Declared non-disabled","370","350","21980","21010"
"In post","2021","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Unknown","260","250","20960","20140"
"In post","2021","16-19","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Declared non-disabled","320","310","21270","21010"
"In post","2021","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Unknown","300","290","20390","20140"
"In post","2021","16-19","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","Declared disabled","2940","2860","28950","27570"
"In post","2021","20-29","Female","Declared non-disabled","25640","25100","29020","27570"
"In post","2021","20-29","Female","Undeclared","1380","1350","30290","28500"
"In post","2021","20-29","Female","Unknown","12030","11810","28440","27130"
"In post","2021","20-29","Male","Declared disabled","2000","1980","28930","27570"
"In post","2021","20-29","Male","Declared non-disabled","20860","20710","29460","27570"
"In post","2021","20-29","Male","Undeclared","1380","1370","30790","28720"
"In post","2021","20-29","Male","Unknown","11170","11070","28740","27150"
"In post","2021","20-29","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Female","Declared disabled","4710","4330","32220","28200"
"In post","2021","30-39","Female","Declared non-disabled","37920","34370","33750","29750"
"In post","2021","30-39","Female","Undeclared","2710","2480","33420","30180"
"In post","2021","30-39","Female","Unknown","10170","9440","34490","30910"
"In post","2021","30-39","Male","Declared disabled","3430","3370","33180","29290"
"In post","2021","30-39","Male","Declared non-disabled","31320","31050","35190","31300"
"In post","2021","30-39","Male","Undeclared","2740","2710","35370","31810"
"In post","2021","30-39","Male","Unknown","10400","10300","35110","31810"
"In post","2021","30-39","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Female","Declared disabled","7210","6440","32130","27570"
"In post","2021","40-49","Female","Declared non-disabled","43680","38980","35180","29690"
"In post","2021","40-49","Female","Undeclared","3210","2900","33850","30450"
"In post","2021","40-49","Female","Unknown","8600","7830","37230","31810"
"In post","2021","40-49","Male","Declared disabled","4590","4480","33870","29290"
"In post","2021","40-49","Male","Declared non-disabled","33170","32780","38250","32250"
"In post","2021","40-49","Male","Undeclared","3620","3570","35820","31810"
"In post","2021","40-49","Male","Unknown","8210","8100","39200","33740"
"In post","2021","40-49","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Female","Declared disabled","11180","10020","30680","27570"
"In post","2021","50-59","Female","Declared non-disabled","52840","47930","32690","27570"
"In post","2021","50-59","Female","Undeclared","4380","4030","31710","27570"
"In post","2021","50-59","Female","Unknown","8100","7370","34850","28170"
"In post","2021","50-59","Male","Declared disabled","7270","7000","33770","29570"
"In post","2021","50-59","Male","Declared non-disabled","41940","40890","37830","32520"
"In post","2021","50-59","Male","Undeclared","5830","5650","35570","31880"
"In post","2021","50-59","Male","Unknown","9500","9250","38760","33650"
"In post","2021","60-64","Female","Declared disabled","3160","2460","27750","26670"
"In post","2021","60-64","Female","Declared non-disabled","13570","10720","29180","26780"
"In post","2021","60-64","Female","Undeclared","1100","900","29090","26120"
"In post","2021","60-64","Female","Unknown","2020","1610","29630","24130"
"In post","2021","60-64","Male","Declared disabled","2360","2010","31770","27570"
"In post","2021","60-64","Male","Declared non-disabled","11500","9940","35150","30130"
"In post","2021","60-64","Male","Undeclared","1520","1260","33040","31650"
"In post","2021","60-64","Male","Unknown","2470","2140","35700","32200"
"In post","2021","60-64","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Declared disabled","860","620","26760","25610"
"In post","2021","65+","Female","Declared non-disabled","3710","2720","27460","25110"
"In post","2021","65+","Female","Undeclared","310","220","26760","24660"
"In post","2021","65+","Female","Unknown","550","420","31490","25100"
"In post","2021","65+","Male","Declared disabled","800","620","30190","27510"
"In post","2021","65+","Male","Declared non-disabled","4030","3180","33440","27770"
"In post","2021","65+","Male","Undeclared","540","420","31920","27570"
"In post","2021","65+","Male","Unknown","850","680","34680","29140"
"In post","2021","Unknown","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Declared non-disabled","340","330","22340","21260"
"In post","2022","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Unknown","250","240","22190","21250"
"In post","2022","16-19","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Declared non-disabled","330","320","21620","21260"
