"Status","Year","Ethnicity","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Communications","40","40","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Legal","70","60","38200","35140"
"In post","2021","Asian","East Midlands (England)","No function","750","670","26120","22350"
"In post","2021","Asian","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Unknown","640","560","24910","26930"
"In post","2021","Asian","East of England","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Finance","30","30","[c]","[c]"
"In post","2021","Asian","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Legal","40","30","[c]","[c]"
"In post","2021","Asian","East of England","No function","260","240","32930","27410"
"In post","2021","Asian","East of England","Project Delivery","30","30","[c]","[c]"
"In post","2021","Asian","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","690","610","27970","27570"
"In post","2021","Asian","London","Analysis","320","310","45280","41850"
"In post","2021","Asian","London","Commercial","150","150","45060","37640"
"In post","2021","Asian","London","Communications","200","200","37820","33560"
"In post","2021","Asian","London","Counter Fraud","270","260","35580","32520"
"In post","2021","Asian","London","Debt","140","120","27330","25630"
"In post","2021","Asian","London","Digital, Data & Technology","430","430","45590","41760"
"In post","2021","Asian","London","Finance","400","390","43070","39450"
"In post","2021","Asian","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Human Resources","270","260","40640","36160"
"In post","2021","Asian","London","Internal Audit","50","50","[c]","[c]"
"In post","2021","Asian","London","Legal","640","600","45700","50500"
"In post","2021","Asian","London","No function","3990","3810","37970","33740"
"In post","2021","Asian","London","Project Delivery","510","500","45550","40510"
"In post","2021","Asian","London","Property","170","160","36620","31820"
"In post","2021","Asian","London","Security","110","110","36280","34410"
"In post","2021","Asian","London","Unknown","5910","5470","33070","31060"
"In post","2021","Asian","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","No function","120","110","27260","22030"
"In post","2021","Asian","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Unknown","180","160","27130","21430"
"In post","2021","Asian","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Communications","70","70","29040","26000"
"In post","2021","Asian","North West (England)","Counter Fraud","60","60","30000","27700"
"In post","2021","Asian","North West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Asian","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Human Resources","50","50","30170","26670"
"In post","2021","Asian","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Legal","90","90","36670","32870"
"In post","2021","Asian","North West (England)","No function","890","810","26760","21440"
"In post","2021","Asian","North West (England)","Project Delivery","70","70","35710","32200"
"In post","2021","Asian","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Unknown","1200","1090","26010","27370"
"In post","2021","Asian","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","No function","70","70","47850","40330"
"In post","2021","Asian","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","No function","130","120","32720","24920"
"In post","2021","Asian","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","260","240","29850","27570"
"In post","2021","Asian","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Asian","South East (England)","Finance","40","40","[c]","[c]"
"In post","2021","Asian","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Legal","40","30","[c]","[c]"
"In post","2021","Asian","South East (England)","No function","450","410","31160","27850"
"In post","2021","Asian","South East (England)","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","South East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Security","50","50","[c]","[c]"
"In post","2021","Asian","South East (England)","Unknown","630","570","27850","27570"
"In post","2021","Asian","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Asian","South West (England)","Finance","30","30","[c]","[c]"
"In post","2021","Asian","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","No function","200","190","33820","28870"
"In post","2021","Asian","South West (England)","Project Delivery","280","280","36870","33760"
"In post","2021","Asian","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Unknown","130","120","29190","27570"
"In post","2021","Asian","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","140","120","27810","27570"
"In post","2021","Asian","Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","No function","180","170","27700","21590"
"In post","2021","Asian","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Unknown","140","130","30630","27570"
"In post","2021","Asian","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Commercial","30","30","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Communications","50","50","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Counter Fraud","110","100","29360","25560"
"In post","2021","Asian","West Midlands (England)","Debt","80","70","21550","20140"
"In post","2021","Asian","West Midlands (England)","Digital, Data & Technology","110","100","37790","36240"
"In post","2021","Asian","West Midlands (England)","Finance","80","80","35090","31810"
"In post","2021","Asian","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Legal","150","140","36030","31810"
"In post","2021","Asian","West Midlands (England)","No function","1680","1580","27110","22570"
"In post","2021","Asian","West Midlands (England)","Project Delivery","80","80","39190","38630"
"In post","2021","Asian","West Midlands (England)","Property","30","30","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Unknown","1640","1480","25790","27570"
"In post","2021","Asian","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Communications","80","80","28420","25560"
"In post","2021","Asian","Yorkshire and The Humber","Counter Fraud","90","80","28840","25560"
"In post","2021","Asian","Yorkshire and The Humber","Debt","60","50","21440","20140"
"In post","2021","Asian","Yorkshire and The Humber","Digital, Data & Technology","70","70","33640","31810"
"In post","2021","Asian","Yorkshire and The Humber","Finance","100","90","26040","21440"
"In post","2021","Asian","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Legal","70","70","40740","41830"
"In post","2021","Asian","Yorkshire and The Humber","No function","590","540","29150","25560"
"In post","2021","Asian","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Property","40","30","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Unknown","1140","1040","26350","27570"
"In post","2021","Black","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","No function","250","230","26130","22850"
"In post","2021","Black","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Unknown","170","160","25760","27570"
"In post","2021","Black","East of England","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","No function","170","160","32220","29090"
"In post","2021","Black","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Unknown","330","310","28450","29290"
"In post","2021","Black","London","Analysis","130","130","40500","38360"
"In post","2021","Black","London","Commercial","120","120","42740","38180"
"In post","2021","Black","London","Communications","120","110","37130","34630"
"In post","2021","Black","London","Counter Fraud","180","170","32970","30060"
"In post","2021","Black","London","Debt","100","90","27610","25630"
"In post","2021","Black","London","Digital, Data & Technology","240","230","40990","36800"
"In post","2021","Black","London","Finance","250","250","41270","37990"
"In post","2021","Black","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Human Resources","220","220","38420","34550"
"In post","2021","Black","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Legal","470","460","42110","36160"
"In post","2021","Black","London","No function","3680","3580","33810","32090"
"In post","2021","Black","London","Project Delivery","340","330","42960","39530"
"In post","2021","Black","London","Property","80","80","37720","33740"
"In post","2021","Black","London","Security","70","70","33790","32120"
"In post","2021","Black","London","Unknown","3940","3740","32190","31060"
"In post","2021","Black","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","No function","40","40","[c]","[c]"
"In post","2021","Black","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Unknown","60","50","24500","21010"
"In post","2021","Black","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","No function","250","240","27800","23140"
"In post","2021","Black","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Unknown","330","310","27250","27570"
"In post","2021","Black","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","No function","30","30","[c]","[c]"
"In post","2021","Black","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","No function","70","60","31260","25560"
"In post","2021","Black","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Unknown","110","110","30810","27570"
"In post","2021","Black","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","No function","370","350","30310","28960"
"In post","2021","Black","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Unknown","330","310","28690","29290"
"In post","2021","Black","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","No function","120","110","32980","30580"
"In post","2021","Black","South West (England)","Project Delivery","200","200","33760","33300"
"In post","2021","Black","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Unknown","110","100","27370","27570"
"In post","2021","Black","Unknown","Analysis","[c]","[c]","[c]","[c]"
