"Status","Year","Ethnicity","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Declared disabled","790","680","22300","21050"
"In post","2021","Asian","AA/AO","Declared non-disabled","6370","5610","22170","21010"
"In post","2021","Asian","AA/AO","Undeclared","360","310","22860","21050"
"In post","2021","Asian","AA/AO","Unknown","490","440","22440","21440"
"In post","2021","Asian","EO","Declared disabled","1010","920","28640","27950"
"In post","2021","Asian","EO","Declared non-disabled","7840","7320","28200","27570"
"In post","2021","Asian","EO","Undeclared","420","400","28340","27570"
"In post","2021","Asian","EO","Unknown","540","520","28210","27570"
"In post","2021","Asian","G6/G7","Declared disabled","230","220","58420","57280"
"In post","2021","Asian","G6/G7","Declared non-disabled","2310","2250","58700","57450"
"In post","2021","Asian","G6/G7","Undeclared","120","120","57470","56650"
"In post","2021","Asian","G6/G7","Unknown","350","340","58180","55610"
"In post","2021","Asian","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Declared non-disabled","230","220","89850","83230"
"In post","2021","Asian","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS","Unknown","50","50","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Declared disabled","630","610","36930","36340"
"In post","2021","Asian","SEO/HEO","Declared non-disabled","5780","5610","36920","36160"
"In post","2021","Asian","SEO/HEO","Undeclared","280","270","36870","36250"
"In post","2021","Asian","SEO/HEO","Unknown","720","700","37060","36500"
"In post","2021","Asian","Unknown","Declared disabled","90","90","30350","30210"
"In post","2021","Asian","Unknown","Declared non-disabled","490","450","29850","28200"
"In post","2021","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Declared disabled","460","420","23710","23210"
"In post","2021","Black","AA/AO","Declared non-disabled","3120","2920","24050","23500"
"In post","2021","Black","AA/AO","Undeclared","290","270","26710","25620"
"In post","2021","Black","AA/AO","Unknown","210","200","23270","22650"
"In post","2021","Black","EO","Declared disabled","680","640","29410","29570"
"In post","2021","Black","EO","Declared non-disabled","4260","4090","29130","29290"
"In post","2021","Black","EO","Undeclared","240","230","30080","29990"
"In post","2021","Black","EO","Unknown","240","230","28570","28120"
"In post","2021","Black","G6/G7","Declared disabled","120","110","57820","56470"
"In post","2021","Black","G6/G7","Declared non-disabled","980","970","58230","56860"
"In post","2021","Black","G6/G7","Undeclared","40","30","[c]","[c]"
