"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicester","140","130","39010","38180"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Nottingham","270","250","37300","30130"
"In post","2021","Attorney General's Departments","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Heart of Essex","190","170","41150","35020"
"In post","2021","Attorney General's Departments","East of England","Hertfordshire","170","150","42490","40000"
"In post","2021","Attorney General's Departments","East of England","Norwich and East Norfolk","80","70","35640","28430"
"In post","2021","Attorney General's Departments","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Suffolk","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Croydon","90","80","39280","31670"
"In post","2021","Attorney General's Departments","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Westminster","4500","4240","50540","51250"
"In post","2021","Attorney General's Departments","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","South Teesside","100","90","38060","32370"
"In post","2021","Attorney General's Departments","North East (England)","Tyneside","240","220","38030","32420"
"In post","2021","Attorney General's Departments","North West (England)","East Cumbria","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Liverpool","360","350","37570","30930"
"In post","2021","Attorney General's Departments","North West (England)","Manchester","370","340","41260","38000"
"In post","2021","Attorney General's Departments","North West (England)","Mid Lancashire","180","170","40040","38000"
"In post","2021","Attorney General's Departments","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Berkshire","140","130","43310","40000"
"In post","2021","Attorney General's Departments","South East (England)","Brighton and Hove","110","100","42660","36240"
"In post","2021","Attorney General's Departments","South East (England)","East Kent","120","120","39460","30110"
"In post","2021","Attorney General's Departments","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Portsmouth","110","100","38780","30110"
"In post","2021","Attorney General's Departments","South East (England)","South Hampshire","150","140","45830","50520"
"In post","2021","Attorney General's Departments","South East (England)","West Surrey","60","50","41400","40000"
"In post","2021","Attorney General's Departments","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Bristol, City of","150","150","41650","38180"
"In post","2021","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Devon CC","100","90","39950","36240"
"In post","2021","Attorney General's Departments","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","210","200","41090","38760"
"In post","2021","Attorney General's Departments","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Flintshire and Wrexham","70","70","41500","38000"
"In post","2021","Attorney General's Departments","Wales","Swansea","70","60","41460","38180"
"In post","2021","Attorney General's Departments","West Midlands (England)","Birmingham","490","460","39820","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","60","60","41930","48080"
"In post","2021","Attorney General's Departments","West Midlands (England)","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Leeds","380","350","41940","38760"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Sheffield","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Wakefield","70","70","36100","30130"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","York","320","290","47160","53350"
"In post","2021","Cabinet Office","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Norwich and East Norfolk","90","90","46130","40250"
"In post","2021","Cabinet Office","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Camden and City of London","100","90","54190","54700"
"In post","2021","Cabinet Office","London","Croydon","50","50","43890","32000"
