"Status","Year","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Female","120","110","38000","35190"
"In post","2021","Asian","Commercial","Male","110","110","40420","38280"
"In post","2021","Asian","Communications","Female","110","100","40290","37210"
"In post","2021","Asian","Communications","Male","70","70","38220","33830"
"In post","2021","Asian","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Female","330","320","42430","38180"
"In post","2021","Asian","Digital, Data and Technology","Male","540","540","42330","39070"
"In post","2021","Asian","Economics","Female","70","70","46210","52360"
"In post","2021","Asian","Economics","Male","110","110","43430","36250"
"In post","2021","Asian","Finance","Female","370","350","38240","35200"
"In post","2021","Asian","Finance","Male","380","380","41590","38060"
"In post","2021","Asian","Human Resources","Female","300","290","37340","34640"
"In post","2021","Asian","Human Resources","Male","110","110","37510","33000"
"In post","2021","Asian","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Female","110","100","32960","29480"
"In post","2021","Asian","Intelligence Analysis","Male","80","80","32560","29080"
"In post","2021","Asian","Internal Audit","Female","40","40","[c]","[c]"
"In post","2021","Asian","Internal Audit","Male","40","40","[c]","[c]"
"In post","2021","Asian","International Trade","Female","60","60","43650","38540"
"In post","2021","Asian","International Trade","Male","50","50","42010","37160"
"In post","2021","Asian","Knowledge and Information Management","Female","70","70","34010","32330"
"In post","2021","Asian","Knowledge and Information Management","Male","50","50","[c]","[c]"
"In post","2021","Asian","Legal","Female","570","520","48370","50520"
"In post","2021","Asian","Legal","Male","320","310","45680","46020"
"In post","2021","Asian","Medicine","Female","130","110","69750","71460"
"In post","2021","Asian","Medicine","Male","70","60","77760","78890"
"In post","2021","Asian","Operational Delivery","Female","5730","5070","27360","25630"
"In post","2021","Asian","Operational Delivery","Male","4350","4150","28670","25630"
"In post","2021","Asian","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Female","480","450","32940","29060"
"In post","2021","Asian","Other","Male","370","360","32740","28670"
"In post","2021","Asian","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Female","1160","1120","42580","38800"
"In post","2021","Asian","Policy","Male","760","760","43510","38650"
"In post","2021","Asian","Project Delivery","Female","440","420","40080","36800"
"In post","2021","Asian","Project Delivery","Male","380","380","41580","38630"
"In post","2021","Asian","Property","Female","110","100","35700","31660"
"In post","2021","Asian","Property","Male","130","130","37880","33750"
"In post","2021","Asian","Psychology","Female","30","30","[c]","[c]"
"In post","2021","Asian","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Female","290","280","36080","33090"
"In post","2021","Asian","Science and Engineering","Male","280","270","37000","35890"
"In post","2021","Asian","Security","Female","90","80","34410","31390"
"In post","2021","Asian","Security","Male","200","200","29020","25540"
"In post","2021","Asian","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Female","70","60","42120","38530"
"In post","2021","Asian","Statistics","Male","70","70","41690","40480"
"In post","2021","Asian","Tax","Female","590","540","31770","31810"
"In post","2021","Asian","Tax","Male","800","770","33270","31810"
"In post","2021","Asian","Unknown","Female","4970","4310","29010","27570"
"In post","2021","Asian","Unknown","Male","3500","3400","29550","27570"
"In post","2021","Asian","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Female","120","120","36990","34900"
"In post","2021","Black","Commercial","Male","60","60","40360","38000"
"In post","2021","Black","Communications","Female","80","80","37710","35010"
"In post","2021","Black","Communications","Male","30","30","[c]","[c]"
"In post","2021","Black","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Female","160","150","40320","38630"
"In post","2021","Black","Digital, Data and Technology","Male","250","250","40270","36750"
"In post","2021","Black","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Male","40","40","[c]","[c]"
"In post","2021","Black","Finance","Female","230","220","38420","35200"
"In post","2021","Black","Finance","Male","140","140","41900","39980"
"In post","2021","Black","Human Resources","Female","240","230","37720","34500"
"In post","2021","Black","Human Resources","Male","50","50","38890","35900"
"In post","2021","Black","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Female","40","40","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","Female","30","30","[c]","[c]"
"In post","2021","Black","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Female","40","40","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Male","30","30","[c]","[c]"
"In post","2021","Black","Legal","Female","310","300","47850","50500"
"In post","2021","Black","Legal","Male","110","110","50720","51190"
"In post","2021","Black","Medicine","Female","40","40","[c]","[c]"
"In post","2021","Black","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","Female","3660","3410","28960","26810"
"In post","2021","Black","Operational Delivery","Male","2200","2140","29910","28670"
"In post","2021","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","Female","340","340","30280","28310"
"In post","2021","Black","Other","Male","180","170","32090","28810"
"In post","2021","Black","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","Female","760","750","38960","34890"
"In post","2021","Black","Policy","Male","340","340","39460","36300"
"In post","2021","Black","Project Delivery","Female","320","310","40130","37660"
"In post","2021","Black","Project Delivery","Male","170","170","39510","37390"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Female","80","70","34630","31620"
"In post","2021","Black","Property","Male","50","50","39720","38420"
"In post","2021","Black","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","Female","160","150","35460","33180"
"In post","2021","Black","Science and Engineering","Male","120","120","38770","36510"
"In post","2021","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Male","90","90","29280","22650"
"In post","2021","Black","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","Female","30","30","[c]","[c]"
"In post","2021","Black","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","Female","240","230","31220","31810"
"In post","2021","Black","Tax","Male","190","190","33490","32050"
"In post","2021","Black","Unknown","Female","3010","2810","29970","31060"
"In post","2021","Black","Unknown","Male","1350","1330","30650","29290"
"In post","2021","Black","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Female","[c]","[c]","[c]","[c]"
