"Status","Year","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","200","200","21550","21050"
"In post","2021","AA/AO","Commercial","520","490","22110","21320"
"In post","2021","AA/AO","Communications","510","450","21440","21130"
"In post","2021","AA/AO","Counter Fraud","850","740","21470","21440"
"In post","2021","AA/AO","Debt","3420","3070","20950","20140"
"In post","2021","AA/AO","Digital, Data & Technology","450","430","21840","21440"
"In post","2021","AA/AO","Finance","1490","1260","21110","20920"
"In post","2021","AA/AO","Grants Management","950","860","21010","21050"
"In post","2021","AA/AO","Human Resources","1610","1450","21350","21030"
"In post","2021","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","2580","2330","22090","21950"
"In post","2021","AA/AO","No function","70510","63800","23090","21500"
"In post","2021","AA/AO","Project Delivery","620","580","21650","21440"
"In post","2021","AA/AO","Property","2350","2200","21510","21100"
"In post","2021","AA/AO","Security","5520","5400","26710","21600"
"In post","2021","AA/AO","Unknown","49050","43320","21400","21010"
"In post","2021","EO","Analysis","730","700","26460","26130"
"In post","2021","EO","Commercial","860","820","26820","26670"
"In post","2021","EO","Communications","3200","3080","25780","25560"
"In post","2021","EO","Counter Fraud","3410","3210","26990","25560"
"In post","2021","EO","Debt","960","870","26830","25560"
"In post","2021","EO","Digital, Data & Technology","2280","2200","27440","26670"
"In post","2021","EO","Finance","1690","1600","26450","26670"
"In post","2021","EO","Grants Management","540","500","25520","25190"
"In post","2021","EO","Human Resources","1770","1670","26680","26670"
"In post","2021","EO","Internal Audit","50","50","[c]","[c]"
"In post","2021","EO","Legal","2450","2270","28050","28430"
"In post","2021","EO","No function","33120","31090","28210","27130"
"In post","2021","EO","Project Delivery","4610","4390","24860","25750"
"In post","2021","EO","Property","1950","1840","27450","26670"
"In post","2021","EO","Security","1180","1160","32330","27870"
"In post","2021","EO","Unknown","70090","64030","27890","27570"
"In post","2021","G6/G7","Analysis","2420","2310","58400","56360"
"In post","2021","G6/G7","Commercial","1740","1700","61440","57170"
"In post","2021","G6/G7","Communications","1070","1030","58050","56100"
"In post","2021","G6/G7","Counter Fraud","1100","1060","57450","55010"
"In post","2021","G6/G7","Debt","50","50","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","3680","3590","57390","54910"
"In post","2021","G6/G7","Finance","2070","2020","58640","57540"
"In post","2021","G6/G7","Grants Management","60","60","52580","49800"
"In post","2021","G6/G7","Human Resources","1900","1840","57800","56110"
"In post","2021","G6/G7","Internal Audit","200","190","58940","56790"
"In post","2021","G6/G7","Legal","6030","5570","59470","58040"
"In post","2021","G6/G7","No function","21080","20390","58310","55430"
"In post","2021","G6/G7","Project Delivery","7370","7180","57380","55620"
"In post","2021","G6/G7","Property","1260","1230","57550","55610"
"In post","2021","G6/G7","Security","380","370","60280","57660"
"In post","2021","G6/G7","Unknown","12040","11580","60820","59750"
"In post","2021","SCS","Analysis","160","150","88870","79590"
"In post","2021","SCS","Commercial","580","570","93050","74340"
"In post","2021","SCS","Communications","140","130","88640","82120"
"In post","2021","SCS","Counter Fraud","40","40","[c]","[c]"
"In post","2021","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data & Technology","260","250","91370","85000"
"In post","2021","SCS","Finance","280","280","91170","85000"
"In post","2021","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Human Resources","220","220","89150","82130"
"In post","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","460","440","88840","82950"
"In post","2021","SCS","No function","2960","2820","90490","81600"
"In post","2021","SCS","Project Delivery","700","680","91540","83350"
"In post","2021","SCS","Property","90","90","93150","83310"
"In post","2021","SCS","Security","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","1340","1300","90070","83230"
"In post","2021","SEO/HEO","Analysis","3700","3580","35850","36030"
"In post","2021","SEO/HEO","Commercial","3030","2950","38220","37910"
"In post","2021","SEO/HEO","Communications","3300","3220","35760","34040"
"In post","2021","SEO/HEO","Counter Fraud","4210","4010","35200","34170"
"In post","2021","SEO/HEO","Debt","250","230","34540","32100"
"In post","2021","SEO/HEO","Digital, Data & Technology","6830","6630","37240","36970"
"In post","2021","SEO/HEO","Finance","3820","3690","37330","36820"
"In post","2021","SEO/HEO","Grants Management","330","310","32730","31170"
"In post","2021","SEO/HEO","Human Resources","3850","3690","36390","35690"
"In post","2021","SEO/HEO","Internal Audit","460","440","40550","40520"
"In post","2021","SEO/HEO","Legal","3320","3110","38520","38000"
"In post","2021","SEO/HEO","No function","45260","43410","36650","35700"
"In post","2021","SEO/HEO","Project Delivery","13750","13280","36350","36460"
"In post","2021","SEO/HEO","Property","3620","3480","37280","36460"
"In post","2021","SEO/HEO","Security","1580","1550","39400","36480"
"In post","2021","SEO/HEO","Unknown","31720","30360","37000","35440"
"In post","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","240","230","41100","38240"
"In post","2021","Unknown","Digital, Data & Technology","100","100","37160","36000"
"In post","2021","Unknown","Finance","50","50","50180","41340"
"In post","2021","Unknown","Human Resources","230","220","37670","32710"
"In post","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","12010","11100","29880","28330"
"In post","2021","Unknown","Project Delivery","1360","1330","42310","40180"
"In post","2021","Unknown","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Security","60","60","37050","37170"
"In post","2021","Unknown","Unknown","2470","2460","37740","34460"
"In post","2022","AA/AO","Analysis","260","250","21790","21300"
"In post","2022","AA/AO","Commercial","290","270","22580","21840"
"In post","2022","AA/AO","Communications","490","450","21820","21250"
"In post","2022","AA/AO","Counter Fraud","2760","2390","22330","21260"
"In post","2022","AA/AO","Debt","5190","4560","21640","21260"
"In post","2022","AA/AO","Digital, Data & Technology","950","920","21880","21380"
"In post","2022","AA/AO","Finance","1720","1460","21770","21260"
"In post","2022","AA/AO","Grants Management","1280","1170","21280","21300"
"In post","2022","AA/AO","Human Resources","1640","1480","21720","21260"
"In post","2022","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Legal","1620","1490","22770","22200"
"In post","2022","AA/AO","No function","93790","83910","23040","21260"
"In post","2022","AA/AO","Project Delivery","630","550","22030","21260"
"In post","2022","AA/AO","Property","1830","1720","21490","21840"
"In post","2022","AA/AO","Security","5650","5510","26930","22900"
"In post","2022","AA/AO","Unknown","19030","17640","22190","21680"
"In post","2022","EO","Analysis","870","830","26830","26440"
"In post","2022","EO","Commercial","760","730","26660","26460"
"In post","2022","EO","Communications","3240","3130","26940","26820"
"In post","2022","EO","Counter Fraud","7190","6610","28150","27570"
"In post","2022","EO","Debt","1220","1100","27810","27570"
"In post","2022","EO","Digital, Data & Technology","3790","3630","27620","27130"
"In post","2022","EO","Finance","2100","1990","26870","26820"
"In post","2022","EO","Grants Management","600","550","25440","25190"
"In post","2022","EO","Human Resources","2590","2420","27290","27270"
"In post","2022","EO","Internal Audit","50","40","[c]","[c]"
"In post","2022","EO","Legal","2130","1990","28010","27580"
"In post","2022","EO","No function","76800","70800","28380","27570"
"In post","2022","EO","Project Delivery","3440","3250","24860","25750"
"In post","2022","EO","Property","1910","1810","26770","26670"
"In post","2022","EO","Security","1510","1470","31750","28590"
"In post","2022","EO","Unknown","23070","21640","27490","27230"
"In post","2022","G6/G7","Analysis","2820","2690","58970","56450"
"In post","2022","G6/G7","Commercial","2250","2210","61540","60490"
"In post","2022","G6/G7","Communications","1200","1170","58640","56370"
"In post","2022","G6/G7","Counter Fraud","1320","1260","59540","55410"
"In post","2022","G6/G7","Debt","50","50","61510","55210"
"In post","2022","G6/G7","Digital, Data & Technology","6000","5880","57750","55210"
"In post","2022","G6/G7","Finance","2770","2700","58350","56730"
"In post","2022","G6/G7","Grants Management","70","70","51780","49370"
"In post","2022","G6/G7","Human Resources","2340","2270","57690","55560"
"In post","2022","G6/G7","Internal Audit","210","200","58640","56850"
"In post","2022","G6/G7","Legal","6000","5540","59410","57960"
"In post","2022","G6/G7","No function","24670","23880","58490","55210"
"In post","2022","G6/G7","Project Delivery","7240","7040","58080","55580"
"In post","2022","G6/G7","Property","1740","1690","58420","57150"
"In post","2022","G6/G7","Security","610","600","59310","57870"
"In post","2022","G6/G7","Unknown","10180","9810","62140","61440"
"In post","2022","SCS","Analysis","190","180","89270","81110"
"In post","2022","SCS","Commercial","330","330","110740","104630"
"In post","2022","SCS","Communications","140","130","92210","85000"
"In post","2022","SCS","Counter Fraud","50","50","[c]","[c]"
"In post","2022","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","330","330","92360","85820"
"In post","2022","SCS","Finance","310","300","87380","80160"
"In post","2022","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","260","260","86780","79320"
"In post","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","460","440","87880","82520"
"In post","2022","SCS","No function","3330","3200","89830","81050"
"In post","2022","SCS","Project Delivery","590","580","92460","83920"
"In post","2022","SCS","Property","120","120","92470","87080"
"In post","2022","SCS","Security","60","60","88630","78860"
"In post","2022","SCS","Unknown","1020","980","89540","83230"
"In post","2022","SEO/HEO","Analysis","4320","4190","36270","36590"
"In post","2022","SEO/HEO","Commercial","2820","2740","37320","37400"
"In post","2022","SEO/HEO","Communications","3460","3370","36560","34260"
"In post","2022","SEO/HEO","Counter Fraud","5710","5450","36330","34290"
"In post","2022","SEO/HEO","Debt","360","340","35270","33370"
"In post","2022","SEO/HEO","Digital, Data & Technology","10910","10610","37420","36840"
"In post","2022","SEO/HEO","Finance","5430","5230","37230","36540"
"In post","2022","SEO/HEO","Grants Management","360","330","32590","31070"
"In post","2022","SEO/HEO","Human Resources","4850","4640","36270","35430"
"In post","2022","SEO/HEO","Internal Audit","460","430","40660","40520"
"In post","2022","SEO/HEO","Legal","2200","2100","39480","38000"
"In post","2022","SEO/HEO","No function","56740","54490","36910","35860"
"In post","2022","SEO/HEO","Project Delivery","13050","12530","36720","37140"
"In post","2022","SEO/HEO","Property","3900","3760","37590","36460"
"In post","2022","SEO/HEO","Security","2670","2610","38860","37090"
"In post","2022","SEO/HEO","Unknown","24300","23470","38110","37460"
"In post","2022","Unknown","Commercial","170","160","40030","37400"
"In post","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","70","70","34230","32300"
"In post","2022","Unknown","Finance","60","50","50720","44130"
"In post","2022","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2022","Unknown","No function","19200","17770","30100","28200"
"In post","2022","Unknown","Project Delivery","1610","1570","41060","39850"
"In post","2022","Unknown","Property","50","50","[c]","[c]"
"In post","2022","Unknown","Security","190","180","32770","31370"
"In post","2022","Unknown","Unknown","2060","2050","37420","34160"
"Leaver CS","2021","AA/AO","Analysis","100","100","21090","19130"
"Leaver CS","2021","AA/AO","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Communications","40","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Digital, Data & Technology","50","50","21000","21110"
"Leaver CS","2021","AA/AO","Finance","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Human Resources","70","70","20930","20920"
"Leaver CS","2021","AA/AO","Legal","150","140","22090","21950"
"Leaver CS","2021","AA/AO","No function","5120","4620","20460","20100"
"Leaver CS","2021","AA/AO","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","180","170","20930","20300"
"Leaver CS","2021","AA/AO","Security","320","310","27340","22650"
"Leaver CS","2021","AA/AO","Unknown","5710","4730","21220","21010"
"Leaver CS","2021","EO","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","40","30","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data & Technology","80","80","27360","26670"
"Leaver CS","2021","EO","Finance","30","30","[c]","[c]"
"Leaver CS","2021","EO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","50","50","26270","27000"
"Leaver CS","2021","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","90","80","26730","26830"
"Leaver CS","2021","EO","No function","1220","1100","27150","26700"
"Leaver CS","2021","EO","Project Delivery","200","190","22340","21950"
"Leaver CS","2021","EO","Property","160","140","26510","26000"
"Leaver CS","2021","EO","Security","50","50","[c]","[c]"
"Leaver CS","2021","EO","Unknown","4170","3500","27960","27570"
"Leaver CS","2021","G6/G7","Analysis","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","70","70","65990","63970"
"Leaver CS","2021","G6/G7","Communications","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data & Technology","120","120","59140","57980"
"Leaver CS","2021","G6/G7","Finance","60","50","63130","62970"
"Leaver CS","2021","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","60","60","58680","58360"
"Leaver CS","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","250","220","58980","55610"
"Leaver CS","2021","G6/G7","No function","600","550","60290","57470"
"Leaver CS","2021","G6/G7","Project Delivery","140","130","58990","56740"
"Leaver CS","2021","G6/G7","Property","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","1030","870","61880","60380"
"Leaver CS","2021","SCS","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","No function","140","130","106280","104580"
"Leaver CS","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","180","130","89500","83900"
"Leaver CS","2021","SEO/HEO","Analysis","90","80","34920","34650"
"Leaver CS","2021","SEO/HEO","Commercial","100","90","37820","37000"
"Leaver CS","2021","SEO/HEO","Communications","120","120","35780","35180"
"Leaver CS","2021","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Digital, Data & Technology","160","160","37900","38140"
"Leaver CS","2021","SEO/HEO","Finance","100","90","39200","37590"
"Leaver CS","2021","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Human Resources","120","110","38620","38610"
"Leaver CS","2021","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Legal","150","130","40730","40800"
"Leaver CS","2021","SEO/HEO","No function","1410","1290","36930","35550"
"Leaver CS","2021","SEO/HEO","Project Delivery","390","370","36370","36260"
"Leaver CS","2021","SEO/HEO","Property","160","140","38400","37620"
"Leaver CS","2021","SEO/HEO","Security","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","2630","2310","36770","36460"
"Leaver CS","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","660","570","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","540","510","35090","32700"
"Leaver CS","2022","AA/AO","Analysis","130","130","21360","20950"
"Leaver CS","2022","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Communications","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Counter Fraud","100","70","21760","21260"
"Leaver CS","2022","AA/AO","Debt","190","160","21360","21260"
"Leaver CS","2022","AA/AO","Digital, Data & Technology","120","110","20990","21170"
"Leaver CS","2022","AA/AO","Finance","70","70","21910","21540"
"Leaver CS","2022","AA/AO","Grants Management","90","80","21180","21300"
"Leaver CS","2022","AA/AO","Human Resources","140","120","21560","21170"
"Leaver CS","2022","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Legal","150","130","22100","22200"
"Leaver CS","2022","AA/AO","No function","10500","9430","21230","21260"
"Leaver CS","2022","AA/AO","Project Delivery","60","50","21430","21260"
"Leaver CS","2022","AA/AO","Property","250","230","20970","21100"
"Leaver CS","2022","AA/AO","Security","530","500","28490","25000"
"Leaver CS","2022","AA/AO","Unknown","5030","4310","21750","21260"
"Leaver CS","2022","EO","Analysis","60","60","[c]","[c]"
"Leaver CS","2022","EO","Commercial","60","50","25860","26120"
"Leaver CS","2022","EO","Communications","80","60","27290","26930"
"Leaver CS","2022","EO","Counter Fraud","160","120","27860","27570"
"Leaver CS","2022","EO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","230","210","27350","26990"
"Leaver CS","2022","EO","Finance","90","70","26800","26670"
