"Status","Year","Sex","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","20-29","890","880","29870","26970"
"In post","2021","Female","Attorney General's Departments","30-39","1440","1320","44520","49710"
"In post","2021","Female","Attorney General's Departments","40-49","1860","1630","47840","51250"
"In post","2021","Female","Attorney General's Departments","50-59","1800","1640","46170","43390"
"In post","2021","Female","Attorney General's Departments","60-64","310","260","43050","33740"
"In post","2021","Female","Attorney General's Departments","65+","70","50","40920","30110"
"In post","2021","Female","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","20-29","1930","1920","33620","29250"
"In post","2021","Female","Cabinet Office","30-39","1240","1200","48150","52630"
"In post","2021","Female","Cabinet Office","40-49","970","930","55610","54700"
"In post","2021","Female","Cabinet Office","50-59","750","730","51760","49700"
"In post","2021","Female","Cabinet Office","60-64","120","90","42120","33630"
"In post","2021","Female","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","20-29","30","30","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","30-39","50","40","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","40-49","50","50","58850","53320"
"In post","2021","Female","Chancellor's other departments","50-59","40","30","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","20-29","30","30","[c]","[c]"
"In post","2021","Female","Charity Commission","30-39","50","50","34590","29160"
"In post","2021","Female","Charity Commission","40-49","80","70","36560","30320"
"In post","2021","Female","Charity Commission","50-59","70","70","34850","29690"
"In post","2021","Female","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","20-29","80","80","39840","34570"
"In post","2021","Female","Competition and Markets Authority","30-39","160","160","56750","56090"
"In post","2021","Female","Competition and Markets Authority","40-49","120","110","71050","72430"
"In post","2021","Female","Competition and Markets Authority","50-59","70","60","64580","59940"
"In post","2021","Female","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","20-29","1510","1500","35390","33570"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","30-39","1680","1580","41320","39650"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","40-49","1540","1400","42470","39540"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","50-59","1350","1260","38540","34500"
