"Status","Year","Sex","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Digital, Data and Technology","100","100","41970","41990"
"In post","2021","Female","Analysis","Economics","430","420","46270","37950"
"In post","2021","Female","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Intelligence Analysis","140","130","51920","53360"
"In post","2021","Female","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Operational Delivery","320","290","31620","29540"
"In post","2021","Female","Analysis","Operational Research","230","210","43040","39000"
"In post","2021","Female","Analysis","Other","80","70","60160","58760"
"In post","2021","Female","Analysis","Policy","180","170","47430","45250"
"In post","2021","Female","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Science and Engineering","270","250","32670","29680"
"In post","2021","Female","Analysis","Social Research","580","540","41330","37020"
"In post","2021","Female","Analysis","Statistics","810","770","42710","38770"
"In post","2021","Female","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Commercial","Commercial","2210","2100","38880","36460"
"In post","2021","Female","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Finance","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Knowledge and Information Management","330","310","30720","26670"
"In post","2021","Female","Commercial","Operational Delivery","180","170","36510","33790"
"In post","2021","Female","Commercial","Other","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Unknown","670","650","65860","62010"
"In post","2021","Female","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Communications","2010","1910","41090","37910"
"In post","2021","Female","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Operational Delivery","760","690","29930","26520"
"In post","2021","Female","Communications","Other","80","80","30500","27290"
"In post","2021","Female","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Tax","970","920","27400","25560"
"In post","2021","Female","Communications","Unknown","440","430","38720","33390"
