"Status","Year","Age","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Declared non-disabled","60","50","22900","21010"
"In post","2021","16-19","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","490","470","20500","20140"
"In post","2021","16-19","White","Declared disabled","40","40","[c]","[c]"
"In post","2021","16-19","White","Declared non-disabled","590","580","21450","21010"
"In post","2021","16-19","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","60","60","21720","21290"
"In post","2021","20-29","Asian","Declared disabled","340","340","29380","27570"
"In post","2021","20-29","Asian","Declared non-disabled","4680","4570","29030","27570"
"In post","2021","20-29","Asian","Undeclared","210","210","30030","28650"
"In post","2021","20-29","Asian","Unknown","500","490","30460","28650"
"In post","2021","20-29","Black","Declared disabled","200","200","29700","29570"
"In post","2021","20-29","Black","Declared non-disabled","1710","1680","29840","29290"
"In post","2021","20-29","Black","Undeclared","80","80","31530","31060"
"In post","2021","20-29","Black","Unknown","180","180","31060","29270"
"In post","2021","20-29","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Declared non-disabled","190","190","33870","31140"
"In post","2021","20-29","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Declared disabled","210","210","28820","27570"
"In post","2021","20-29","Mixed","Declared non-disabled","1670","1650","30850","28670"
"In post","2021","20-29","Mixed","Undeclared","80","70","30140","28360"
"In post","2021","20-29","Mixed","Unknown","200","190","32230","30600"
"In post","2021","20-29","Other ethnicity","Declared disabled","40","40","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Declared non-disabled","340","340","31580","30450"
"In post","2021","20-29","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Declared disabled","90","90","29090","27570"
"In post","2021","20-29","Undeclared","Declared non-disabled","620","610","30280","27680"
