"Status","Year","Region_ITL3","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Declared non-disabled","100","100","27640","27150"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Unknown","120","110","26710","25980"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Declared disabled","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Declared non-disabled","220","210","35350","31060"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Unknown","160","150","30800","29480"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Declared non-disabled","260","250","44050","36040"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Unknown","130","130","33880","30650"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Declared disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Declared non-disabled","350","340","40250","31720"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Unknown","170","160","35200","33650"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Declared non-disabled","80","70","37290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Declared non-disabled","120","110","23390","21010"
"In post","2021","Angus and Dundee City","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Unknown","60","60","22210","20930"
"In post","2021","Angus and Dundee City","30-39","Declared disabled","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","30-39","Declared non-disabled","280","260","26310","23340"
"In post","2021","Angus and Dundee City","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","30-39","Unknown","90","80","26570","22230"
"In post","2021","Angus and Dundee City","40-49","Declared disabled","60","60","24870","21440"
"In post","2021","Angus and Dundee City","40-49","Declared non-disabled","290","270","27080","25190"
"In post","2021","Angus and Dundee City","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","40-49","Unknown","110","100","27220","21840"
"In post","2021","Angus and Dundee City","50-59","Declared disabled","90","80","24560","21150"
"In post","2021","Angus and Dundee City","50-59","Declared non-disabled","330","300","28450","26160"
"In post","2021","Angus and Dundee City","50-59","Undeclared","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","Unknown","90","90","28330","22520"
"In post","2021","Angus and Dundee City","60-64","Declared disabled","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Declared non-disabled","110","90","25680","21690"
"In post","2021","Angus and Dundee City","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Declared non-disabled","60","60","26830","21670"
"In post","2021","Antrim and Newtownabbey","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","20-29","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Declared non-disabled","70","60","25380","21250"
"In post","2021","Ards and North Down","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","40-49","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Declared non-disabled","70","60","30240","31060"
"In post","2021","Barking & Dagenham and Havering","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","Declared non-disabled","80","70","30090","31060"
"In post","2021","Barking & Dagenham and Havering","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","Declared non-disabled","100","90","30260","31060"
"In post","2021","Barking & Dagenham and Havering","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Declared disabled","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Declared non-disabled","150","140","31080","31060"
"In post","2021","Barking & Dagenham and Havering","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Declared non-disabled","280","270","30610","31060"
"In post","2021","Barnet","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Declared non-disabled","260","250","37940","33330"
"In post","2021","Barnet","30-39","Undeclared","[c]","[c]","[c]","[c]"
