"Status","Year","Region_ITL1","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Heterosexual / straight","100","100","43010","41500"
"In post","2021","East Midlands (England)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Heterosexual / straight","60","60","37450","35560"
"In post","2021","East Midlands (England)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Heterosexual / straight","180","170","36470","32790"
"In post","2021","East Midlands (England)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Unknown","60","60","36860","32010"
"In post","2021","East Midlands (England)","Finance","Heterosexual / straight","160","150","35240","31810"
"In post","2021","East Midlands (England)","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Heterosexual / straight","270","260","39010","35000"
"In post","2021","East Midlands (England)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","60","60","35550","31810"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Heterosexual / straight","60","60","65280","64500"
"In post","2021","East Midlands (England)","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Heterosexual / straight","90","90","29720","27380"
"In post","2021","East Midlands (England)","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
