"Status","Year","Age","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA/AO","60","60","19330","20140"
"In post","2021","16-19","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AA/AO","90","90","20890","20850"
"In post","2021","16-19","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","40","40","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","100","100","18650","17780"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
