"Status","Year","Parent_department","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Berkshire","100","90","41740","36240"
"In post","2021","Attorney General's Departments","Female","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Birmingham","330","300","38170","32290"
"In post","2021","Attorney General's Departments","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Brighton and Hove","80","70","41200","32020"
"In post","2021","Attorney General's Departments","Female","Bristol, City of","100","90","39350","33310"
"In post","2021","Attorney General's Departments","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Cardiff and Vale of Glamorgan","140","130","38430","38000"
"In post","2021","Attorney General's Departments","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Croydon","50","50","40580","33610"
"In post","2021","Attorney General's Departments","Female","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Devon CC","50","50","38720","36240"
"In post","2021","Attorney General's Departments","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","East Kent","80","70","37110","30110"
"In post","2021","Attorney General's Departments","Female","Flintshire and Wrexham","50","50","39110","34480"
"In post","2021","Attorney General's Departments","Female","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Heart of Essex","130","120","40170","34140"
"In post","2021","Attorney General's Departments","Female","Hertfordshire","120","100","38990","30110"
"In post","2021","Attorney General's Departments","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Kingston upon Hull, City of","50","50","37270","28430"
"In post","2021","Attorney General's Departments","Female","Leeds","250","230","39750","37890"
"In post","2021","Attorney General's Departments","Female","Leicester","100","90","37020","33310"
"In post","2021","Attorney General's Departments","Female","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Liverpool","240","220","35850","28430"
"In post","2021","Attorney General's Departments","Female","Manchester","240","220","39720","33900"
"In post","2021","Attorney General's Departments","Female","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Mid Lancashire","110","100","38190","32890"
"In post","2021","Attorney General's Departments","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Norwich and East Norfolk","50","40","31690","26960"
"In post","2021","Attorney General's Departments","Female","Nottingham","180","160","36680","28430"
"In post","2021","Attorney General's Departments","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Portsmouth","70","70","36650","30110"
"In post","2021","Attorney General's Departments","Female","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Sheffield","100","80","34320","28430"
"In post","2021","Attorney General's Departments","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","South Hampshire","100","90","46040","45530"
"In post","2021","Attorney General's Departments","Female","South Teesside","70","60","36990","28430"
"In post","2021","Attorney General's Departments","Female","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Stoke-on-Trent","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Swansea","50","50","39220","33310"
"In post","2021","Attorney General's Departments","Female","Tyneside","160","140","36090","28430"
"In post","2021","Attorney General's Departments","Female","Wakefield","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","West Surrey","40","40","[c]","[c]"
