"Status","Year","Sex","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Asian","340","300","30220","27570"
"In post","2021","Female","Bedfordshire and Hertfordshire","Black","150","140","30430","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Mixed","90","80","31240","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Undeclared","90","80","30070","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","220","200","29050","27850"
"In post","2021","Female","Bedfordshire and Hertfordshire","White","1660","1510","32030","29290"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Asian","350","310","30140","27990"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Black","170","160","29620","27570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Mixed","90","80","30200","27570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","190","170","32560","29530"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","480","450","30830","27850"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","White","3460","3200","31850","28670"
"In post","2021","Female","Cheshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Undeclared","60","50","28130","27570"
"In post","2021","Female","Cheshire","Unknown","220","200","28500","27570"
