"Status","Year","Region_ITL1","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Derbyshire and Nottinghamshire","70","70","43680","42490"
"In post","2021","East Midlands (England)","Commercial","Leicestershire, Rutland and Northamptonshire","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Derbyshire and Nottinghamshire","80","80","36960","36590"
"In post","2021","East Midlands (England)","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Derbyshire and Nottinghamshire","180","180","38690","35860"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","80","70","33840","31740"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Lincolnshire","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Derbyshire and Nottinghamshire","150","150","37290","33330"
"In post","2021","East Midlands (England)","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Lincolnshire","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Derbyshire and Nottinghamshire","310","290","39150","33840"
"In post","2021","East Midlands (England)","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Derbyshire and Nottinghamshire","70","70","64380","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","50","50","27660","26590"
"In post","2021","East Midlands (England)","Intelligence Analysis","Lincolnshire","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Derbyshire and Nottinghamshire","60","50","37120","36340"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Derbyshire and Nottinghamshire","370","340","40410","35000"
"In post","2021","East Midlands (England)","Legal","Leicestershire, Rutland and Northamptonshire","130","120","47450","48830"
"In post","2021","East Midlands (England)","Legal","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Leicestershire, Rutland and Northamptonshire","120","110","40800","37890"
"In post","2021","East Midlands (England)","Medicine","Lincolnshire","50","50","44110","37890"
"In post","2021","East Midlands (England)","Operational Delivery","Derbyshire and Nottinghamshire","5530","5110","27720","25560"
"In post","2021","East Midlands (England)","Operational Delivery","Leicestershire, Rutland and Northamptonshire","3520","3240","26280","24120"
"In post","2021","East Midlands (England)","Operational Delivery","Lincolnshire","1050","990","28130","26630"
"In post","2021","East Midlands (England)","Operational Research","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Derbyshire and Nottinghamshire","200","190","31940","22080"
"In post","2021","East Midlands (England)","Other","Leicestershire, Rutland and Northamptonshire","160","150","23320","20920"
"In post","2021","East Midlands (England)","Other","Lincolnshire","480","460","23220","20920"
"In post","2021","East Midlands (England)","Planning","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Derbyshire and Nottinghamshire","240","220","41180","36960"
