"Status","Year","Organisation","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","White","60","50","31460","29190"
"In post","2021","Accountant in Bankruptcy","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","White","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Unknown","170","160","28530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","White","380","340","33380","31240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Unknown","120","120","29900","28250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","White","270","260","36500","34500"
"In post","2021","Animal and Plant Health Agency","Female","Asian","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Undeclared","70","70","32940","30150"
"In post","2021","Animal and Plant Health Agency","Female","Unknown","140","130","29330","25330"
"In post","2021","Animal and Plant Health Agency","Female","White","1320","1220","29430","25660"
"In post","2021","Animal and Plant Health Agency","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Undeclared","90","80","32260","29360"
"In post","2021","Animal and Plant Health Agency","Male","Unknown","90","90","30060","25750"
"In post","2021","Animal and Plant Health Agency","Male","White","840","820","32570","29180"
"In post","2021","Attorney General's Office","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Asian","280","270","44200","38560"
"In post","2021","Cabinet Office (excl. agencies)","Female","Black","170","170","40040","35590"
"In post","2021","Cabinet Office (excl. agencies)","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Mixed","110","100","43660","36890"
"In post","2021","Cabinet Office (excl. agencies)","Female","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Undeclared","80","80","44910","40600"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","2150","2110","42630","32000"
"In post","2021","Cabinet Office (excl. agencies)","Female","White","2200","2110","46390","40600"
"In post","2021","Cabinet Office (excl. agencies)","Male","Asian","190","190","48330","42040"
"In post","2021","Cabinet Office (excl. agencies)","Male","Black","90","90","45850","40600"
"In post","2021","Cabinet Office (excl. agencies)","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Mixed","90","90","51220","51100"
"In post","2021","Cabinet Office (excl. agencies)","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Undeclared","150","150","49170","52200"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","1890","1880","47930","34550"
"In post","2021","Cabinet Office (excl. agencies)","Male","White","1970","1950","50830","51190"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","White","270","250","31620","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","White","290","280","36310","30860"
"In post","2021","Charity Commission","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","50","50","[c]","[c]"
"In post","2021","Charity Commission","Female","White","190","170","33700","29160"
"In post","2021","Charity Commission","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Black","[c]","[c]","[c]","[c]"
