"Status","Year","Sex","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Attorney General's Departments","120","100","38990","30110"
"In post","2021","Female","Bedfordshire and Hertfordshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Transport","30","30","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Work and Pensions","780","690","29330","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department of Health and Social Care","190","180","44940","41010"
"In post","2021","Female","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Home Office","110","100","28400","26070"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Defence","380","360","35440","30750"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Justice","810","740","26960","24620"
"In post","2021","Female","Bedfordshire and Hertfordshire","National Crime Agency","50","50","35870","35910"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","100","90","41740","36240"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","60","60","33420","33000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","190","180","34270","30100"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","800","710","28410","27570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","230","200","42230","38580"
