"Status","Year","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Female","80","60","30300","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Male","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Female","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Female","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Male","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Female","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Female","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Female","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","Female","100","90","25540","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","Male","60","50","25810","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Female","130","120","26050","21050"
"In post","2021","Animal and Plant Health Agency","Devon","Male","70","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Female","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Male","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Wales","Female","70","70","27630","21050"
"In post","2021","Animal and Plant Health Agency","East Wales","Male","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Female","70","70","29530","25320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Male","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Female","100","90","27580","25260"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Male","60","60","33280","31440"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","Female","50","40","29720","25190"
"In post","2021","Animal and Plant Health Agency","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","Female","100","90","27430","25210"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","Male","90","80","30940","25520"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Female","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Male","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Female","60","50","27290","24920"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Male","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","Female","350","320","31710","28430"
