"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","70","70","31480","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","40","30","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Female","220","210","27140","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Male","130","120","30610","26520"
"In post","2021","Declared disabled","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Female","390","370","43210","38420"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Male","320","310","44950","38340"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Female","40","40","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Female","70","60","36130","32630"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Male","40","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Female","490","440","41180","34480"
"In post","2021","Declared disabled","Crown Prosecution Service","Male","240","230","44290","45530"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Female","430","400","33890","32040"
"In post","2021","Declared disabled","Defence Equipment and Support","Male","660","640","36500","34450"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Female","190","180","37050","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Male","270","260","38620","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","260","250","46900","41660"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","220","220","46810","40220"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","70","70","46980","39190"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","50","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Female","320","300","41790","37100"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Male","200","190","41870","36960"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","340","320","40050","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","250","250","40900","36970"
"In post","2021","Declared disabled","Department for International Trade","Female","100","100","45360","41640"
"In post","2021","Declared disabled","Department for International Trade","Male","100","100","44850","38540"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Female","100","100","42680","37610"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Male","90","90","49250","46710"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Female","10240","8690","26980","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Male","4980","4670","27180","27570"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Female","80","80","43170","39610"
