"Status","Year","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","7550","7170","39780","36160"
"In post","2021","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","410","390","43140","37420"
"In post","2021","Finance","Project Delivery","400","390","43080","39980"
"In post","2021","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","640","610","43680","37460"
"In post","2021","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","6930","6570","38290","33350"
"In post","2021","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","70","70","41370","36450"
"In post","2021","Human Resources","Project Delivery","30","30","[c]","[c]"
"In post","2021","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","780","740","40960","36780"
"In post","2021","Inspector of Education and Training","No function","860","840","66460","74730"
"In post","2021","Intelligence Analysis","Analysis","290","280","52160","53360"
"In post","2021","Intelligence Analysis","Counter Fraud","200","190","37880","36160"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","480","470","31420","28330"
"In post","2021","Intelligence Analysis","Security","200","190","45800","39220"
"In post","2021","Intelligence Analysis","Unknown","2230","2130","32550","30150"
"In post","2021","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","750","720","45940","42950"
"In post","2021","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","1460","1450","46950","41020"
"In post","2021","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","50","50","37300","33020"
"In post","2021","Knowledge and Information Management","Commercial","690","670","33530","30870"
"In post","2021","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","150","140","37980","35840"
"In post","2021","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","980","920","38400","35700"
"In post","2021","Knowledge and Information Management","Project Delivery","190","190","37240","36500"
"In post","2021","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","210","200","37400","35200"
"In post","2021","Legal","Counter Fraud","3340","3190","31380","29570"
"In post","2021","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","8650","8010","54380","53630"
"In post","2021","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","150","140","56580","60830"
"In post","2021","Medicine","No function","450","390","100540","98480"
"In post","2021","Medicine","Project Delivery","60","60","51700","54700"
"In post","2021","Medicine","Unknown","1990","1800","46410","37890"
"In post","2021","Operational Delivery","Analysis","590","550","32370","30020"
"In post","2021","Operational Delivery","Commercial","410","400","42880","37360"
"In post","2021","Operational Delivery","Communications","1530","1440","29900","26520"
"In post","2021","Operational Delivery","Counter Fraud","2890","2660","30150","28130"
"In post","2021","Operational Delivery","Debt","3580","3160","23950","21440"
"In post","2021","Operational Delivery","Digital, Data & Technology","470","450","35210","31810"
"In post","2021","Operational Delivery","Finance","870","790","28820","25560"
"In post","2021","Operational Delivery","Grants Management","1890","1720","25450","21050"
"In post","2021","Operational Delivery","Human Resources","940","860","29650","25560"
"In post","2021","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Legal","5180","4750","27310","25480"
"In post","2021","Operational Delivery","No function","126790","116720","28690","26290"
"In post","2021","Operational Delivery","Project Delivery","1900","1790","35670","31810"
"In post","2021","Operational Delivery","Property","1450","1350","28850","21250"
"In post","2021","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","27630","25370","28550","25630"
"In post","2021","Operational Research","Analysis","660","640","44090","41580"
"In post","2021","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","No function","300","290","44550","46080"
"In post","2021","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","170","170","45170","40580"
"In post","2021","Other","Analysis","220","210","64340","57250"
"In post","2021","Other","Commercial","70","60","44510","40900"
"In post","2021","Other","Communications","250","250","25900","21600"
"In post","2021","Other","Counter Fraud","340","300","38680","32520"
"In post","2021","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","150","140","44070","35830"
"In post","2021","Other","Human Resources","50","50","40090","38430"
"In post","2021","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other","Legal","360","350","31000","27580"
"In post","2021","Other","No function","2320","2200","39770","33390"
"In post","2021","Other","Project Delivery","3350","3220","34420","30000"
"In post","2021","Other","Property","320","310","31920","28870"
"In post","2021","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","15200","14650","29370","26350"
"In post","2021","Planning","No function","140","140","46410","40720"
"In post","2021","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","40","40","[c]","[c]"
"In post","2021","Planning Inspectors","No function","340","300","57920","58810"
"In post","2021","Policy","Analysis","350","330","47530","45540"
"In post","2021","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","30","30","[c]","[c]"
"In post","2021","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","40","40","[c]","[c]"
"In post","2021","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","90","80","39350","36030"
"In post","2021","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","70","70","49750","44090"
"In post","2021","Policy","No function","20640","20150","46910","41810"
"In post","2021","Policy","Project Delivery","2450","2350","52110","53000"
"In post","2021","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","5340","5170","47190","42360"
"In post","2021","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","70","70","47400","43640"
"In post","2021","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Project Delivery","Finance","80","80","44550","40290"
"In post","2021","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","220","210","41820","36800"
"In post","2021","Project Delivery","Project Delivery","14040","13610","42120","38650"
"In post","2021","Project Delivery","Property","70","70","51020","50450"
"In post","2021","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","1450","1410","44970","41950"
"In post","2021","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","310","300","49480","50630"
"In post","2021","Property","Property","6460","6170","35640","33300"
"In post","2021","Property","Unknown","160","150","42500","37410"
"In post","2021","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","No function","1390","1330","35540","30930"
"In post","2021","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","670","640","35880","31070"
"In post","2021","Science and Engineering","Commercial","110","110","40650","40740"
"In post","2021","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Digital, Data & Technology","540","500","42700","40040"
"In post","2021","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","6960","6600","40170","37840"
"In post","2021","Science and Engineering","Project Delivery","3460","3380","37220","35220"
"In post","2021","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","2340","2280","36720","33300"
"In post","2021","Security","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","No function","190","190","45580","43360"
"In post","2021","Security","Project Delivery","60","60","41370","39830"
"In post","2021","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","7630","7480","31000","26750"
"In post","2021","Security","Unknown","350","340","31090","28670"
"In post","2021","Social Research","Analysis","870","830","41230","37020"
"In post","2021","Social Research","No function","40","40","[c]","[c]"
"In post","2021","Social Research","Unknown","250","240","46340","47000"
"In post","2021","Statistics","Analysis","1780","1720","43100","39050"
"In post","2021","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","30","30","[c]","[c]"
"In post","2021","Statistics","Project Delivery","30","30","[c]","[c]"
"In post","2021","Statistics","Unknown","180","170","41080","37410"
"In post","2021","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Communications","2140","2070","27400","25560"
"In post","2021","Tax","Counter Fraud","1910","1790","39290","35000"
"In post","2021","Tax","Debt","1000","970","20750","20140"
"In post","2021","Tax","Digital, Data & Technology","70","70","36470","33860"
"In post","2021","Tax","Finance","70","60","33360","31810"
"In post","2021","Tax","Human Resources","180","160","36020","31810"
"In post","2021","Tax","Legal","350","340","38880","35000"
"In post","2021","Tax","No function","11940","11190","34170","31810"
"In post","2021","Tax","Project Delivery","130","120","42470","38630"
"In post","2021","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","100","100","45030","41760"
"In post","2021","Unknown","Commercial","1440","1420","69960","64500"
"In post","2021","Unknown","Communications","790","780","37910","31810"
"In post","2021","Unknown","Counter Fraud","220","210","38720","32960"
"In post","2021","Unknown","Debt","90","90","24430","20140"
"In post","2021","Unknown","Digital, Data & Technology","1340","1320","49000","52990"
"In post","2021","Unknown","Finance","330","320","44070","38630"
"In post","2021","Unknown","Human Resources","1320","1270","39350","35270"
"In post","2021","Unknown","Legal","200","190","57490","59160"
"In post","2021","Unknown","No function","7270","7110","36090","31180"
"In post","2021","Unknown","Project Delivery","570","550","50300","38450"
"In post","2021","Unknown","Property","850","820","32970","30160"
"In post","2021","Unknown","Security","870","840","33080","33300"
"In post","2021","Unknown","Unknown","105250","95150","29360","27570"
"In post","2021","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","No function","430","410","45180","41090"
"In post","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","4070","3940","39510","37400"
"In post","2022","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","620","580","36970","33820"
"In post","2022","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","No function","520","500","48360","46550"
"In post","2022","Commercial","Project Delivery","760","720","39010","37400"
"In post","2022","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","170","160","37520","35560"
"In post","2022","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Communications","3440","3330","42400","38680"
"In post","2022","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","250","240","41230","37100"
"In post","2022","Communications","Project Delivery","40","40","[c]","[c]"
"In post","2022","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","340","320","44880","41980"
"In post","2022","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","110","110","45810","42000"
"In post","2022","Corporate Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","6390","5760","29270","27570"
"In post","2022","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","190","170","27030","25310"
"In post","2022","Digital, Data and Technology","Analysis","170","160","44510","42210"
"In post","2022","Digital, Data and Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","17390","16920","41390","38000"
"In post","2022","Digital, Data and Technology","Finance","240","230","39160","36500"
"In post","2022","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","140","140","42240","40700"
"In post","2022","Digital, Data and Technology","Project Delivery","160","150","46100","47010"
"In post","2022","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","1840","1810","48710","44950"
"In post","2022","Economics","Analysis","1370","1340","46830","40650"
"In post","2022","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","400","390","48470","51920"
"In post","2022","Economics","Project Delivery","90","90","55240","55620"
"In post","2022","Economics","Unknown","210","210","46220","41030"
"In post","2022","Finance","Analysis","60","60","46040","40150"
"In post","2022","Finance","Commercial","50","50","[c]","[c]"
"In post","2022","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","8910","8540","40930","36960"
"In post","2022","Finance","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","80","80","27060","26220"
"In post","2022","Finance","No function","150","140","47100","46360"
"In post","2022","Finance","Project Delivery","230","220","46220","43110"
"In post","2022","Finance","Property","70","70","45580","41780"
"In post","2022","Finance","Unknown","2730","2650","38140","33300"
"In post","2022","Geography","Analysis","60","60","31580","33000"
"In post","2022","Geography","No function","430","410","31400","33290"
"In post","2022","Human Resources","Analysis","40","40","[c]","[c]"
"In post","2022","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","30","30","[c]","[c]"
"In post","2022","Human Resources","Human Resources","8460","8030","38640","34110"
"In post","2022","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","80","80","47640","46000"
"In post","2022","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","880","840","40610","37180"
"In post","2022","Inspector of Education and Training","No function","870","850","64950","64500"
"In post","2022","Inspector of Education and Training","Project Delivery","70","60","75110","75480"
"In post","2022","Intelligence Analysis","Analysis","110","110","39840","37810"
"In post","2022","Intelligence Analysis","Counter Fraud","250","240","38670","37610"
"In post","2022","Intelligence Analysis","No function","430","420","30830","28640"
"In post","2022","Intelligence Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Security","1030","1000","38900","36140"
"In post","2022","Intelligence Analysis","Unknown","1410","1330","29750","27370"
"In post","2022","Internal Audit","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","720","690","46700","43520"
"In post","2022","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","No function","1630","1610","47300","43840"
"In post","2022","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Analysis","40","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Communications","100","90","40780","38950"
"In post","2022","Knowledge and Information Management","Counter Fraud","40","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","Digital, Data & Technology","910","880","32840","29810"
"In post","2022","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Legal","80","80","34480","27570"
"In post","2022","Knowledge and Information Management","No function","820","780","35860","31990"
"In post","2022","Knowledge and Information Management","Project Delivery","90","80","40410","38110"
"In post","2022","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Security","70","70","36420","32010"
"In post","2022","Knowledge and Information Management","Unknown","210","200","38600","37980"
"In post","2022","Legal","Counter Fraud","3400","3250","33750","33080"
"In post","2022","Legal","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Legal","7750","7220","56090","55610"
"In post","2022","Legal","No function","1330","1220","44240","43320"
"In post","2022","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","160","150","57420","61440"
"In post","2022","Medicine","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","No function","590","530","82770","84300"
"In post","2022","Medicine","Project Delivery","50","50","[c]","[c]"
"In post","2022","Medicine","Unknown","1840","1630","47120","39030"
"In post","2022","Operational Delivery","Analysis","850","810","35320","31700"
"In post","2022","Operational Delivery","Commercial","400","390","43170","38490"
"In post","2022","Operational Delivery","Communications","1810","1740","30380","26820"
"In post","2022","Operational Delivery","Counter Fraud","3900","3580","30680","27570"
"In post","2022","Operational Delivery","Debt","3340","2980","24980","22080"
"In post","2022","Operational Delivery","Digital, Data & Technology","550","530","38000","33840"
"In post","2022","Operational Delivery","Finance","1500","1310","27800","22080"
"In post","2022","Operational Delivery","Grants Management","2310","2120","25120","21300"
"In post","2022","Operational Delivery","Human Resources","1520","1410","30290","27570"
"In post","2022","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Legal","3250","3010","27200","25530"
"In post","2022","Operational Delivery","No function","205080","187260","28590","27570"
"In post","2022","Operational Delivery","Project Delivery","1860","1770","36820","33670"
"In post","2022","Operational Delivery","Property","1280","1220","29610","22130"
"In post","2022","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","27330","25250","28890","25630"
"In post","2022","Operational Research","Analysis","720","690","44570","42470"
"In post","2022","Operational Research","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","No function","290","280","45550","47010"
"In post","2022","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","90","90","46850","42060"
"In post","2022","Other","Analysis","380","360","56880","49550"
"In post","2022","Other","Commercial","90","90","43380","40340"
"In post","2022","Other","Communications","40","40","[c]","[c]"
"In post","2022","Other","Counter Fraud","330","300","41870","40180"
"In post","2022","Other","Debt","2500","2130","22600","21260"
"In post","2022","Other","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2022","Other","Finance","40","30","[c]","[c]"
"In post","2022","Other","Human Resources","80","80","36240","37240"
"In post","2022","Other","Internal Audit","30","30","[c]","[c]"
"In post","2022","Other","Legal","460","440","33890","27580"
"In post","2022","Other","No function","7500","7050","32250","27570"
"In post","2022","Other","Project Delivery","3390","3250","35170","30760"
"In post","2022","Other","Property","510","500","28890","26900"
"In post","2022","Other","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","14940","14440","29280","26350"
"In post","2022","Planning","No function","150","150","44770","40720"
"In post","2022","Planning","Unknown","70","70","44280","38160"
"In post","2022","Planning Inspectors","No function","380","330","56300","58810"
"In post","2022","Policy","Analysis","570","540","49090","50630"
"In post","2022","Policy","Commercial","30","30","[c]","[c]"
"In post","2022","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Digital, Data & Technology","250","240","44390","40230"
"In post","2022","Policy","Finance","60","60","46070","42570"
"In post","2022","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Human Resources","30","30","[c]","[c]"
"In post","2022","Policy","Legal","100","100","47400","45000"
"In post","2022","Policy","No function","23550","22950","46870","42220"
"In post","2022","Policy","Project Delivery","2160","2070","53790","55060"
"In post","2022","Policy","Property","50","40","[c]","[c]"
"In post","2022","Policy","Security","[c]","[c]","[c]","[c]"
