"Status","Year","Region_ITL1","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Legal","50","50","43450","47360"
"In post","2021","East Midlands (England)","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Operational Delivery","730","660","24900","22180"
"In post","2021","East Midlands (England)","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Social Research","[c]","[c]","[c]","[c]"
