"Status","Year","Region_ITL1","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Declared disabled","Asian","200","180","26320","24000"
"In post","2021","East Midlands (England)","Declared disabled","Black","60","60","25950","26520"
"In post","2021","East Midlands (England)","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Mixed","60","60","30080","27570"
"In post","2021","East Midlands (England)","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Undeclared","110","100","27910","27370"
"In post","2021","East Midlands (England)","Declared disabled","Unknown","60","50","29490","27570"
"In post","2021","East Midlands (England)","Declared disabled","White","2170","1980","28670","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Asian","1310","1190","27010","25560"
"In post","2021","East Midlands (England)","Declared non-disabled","Black","390","360","27080","26090"
"In post","2021","East Midlands (England)","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Mixed","250","230","30120","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Other ethnicity","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Undeclared","400","360","29160","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Unknown","470","420","30050","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","White","11370","10520","30550","27570"
"In post","2021","East Midlands (England)","Undeclared","Asian","70","60","25970","25400"
"In post","2021","East Midlands (England)","Undeclared","Black","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Undeclared","350","330","31400","29280"
"In post","2021","East Midlands (England)","Undeclared","Unknown","100","80","29780","29200"
"In post","2021","East Midlands (England)","Undeclared","White","920","850","29250","27570"
"In post","2021","East Midlands (England)","Unknown","Asian","110","100","29100","25000"
"In post","2021","East Midlands (England)","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","50","50","34600","30320"
"In post","2021","East Midlands (England)","Unknown","Unknown","2080","1980","26880","25560"
"In post","2021","East Midlands (England)","Unknown","White","650","610","30450","27130"
"In post","2021","East of England","Declared disabled","Asian","130","110","29430","27570"
"In post","2021","East of England","Declared disabled","Black","70","70","29380","29290"
"In post","2021","East of England","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Mixed","70","60","29580","27570"
"In post","2021","East of England","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Undeclared","100","90","30840","29050"
"In post","2021","East of England","Declared disabled","Unknown","40","40","[c]","[c]"
