"Status","Year","Responsibility_level","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Declared disabled","11180","9820","21950","21010"
"In post","2021","AA/AO","Heterosexual / straight","Declared non-disabled","66230","60130","22450","21130"
"In post","2021","AA/AO","Heterosexual / straight","Undeclared","4180","3770","23640","21440"
"In post","2021","AA/AO","Heterosexual / straight","Unknown","4560","4170","22820","21440"
"In post","2021","AA/AO","LGBO","Declared disabled","1070","1020","22380","21010"
"In post","2021","AA/AO","LGBO","Declared non-disabled","3260","3120","22810","21130"
"In post","2021","AA/AO","LGBO","Undeclared","300","280","23430","21010"
"In post","2021","AA/AO","LGBO","Unknown","280","270","22880","22050"
"In post","2021","AA/AO","Undeclared","Declared disabled","1780","1520","21880","21010"
"In post","2021","AA/AO","Undeclared","Declared non-disabled","6660","5810","22180","21050"
"In post","2021","AA/AO","Undeclared","Undeclared","2830","2580","23470","21440"
"In post","2021","AA/AO","Undeclared","Unknown","1410","1250","22310","21580"
"In post","2021","AA/AO","Unknown","Declared disabled","1510","1260","22030","21010"
"In post","2021","AA/AO","Unknown","Declared non-disabled","12390","10330","22220","21010"
"In post","2021","AA/AO","Unknown","Undeclared","2280","1960","27000","26630"
"In post","2021","AA/AO","Unknown","Unknown","20750","19270","22100","21010"
"In post","2021","EO","Heterosexual / straight","Declared disabled","11520","10460","27730","27570"
"In post","2021","EO","Heterosexual / straight","Declared non-disabled","65780","61190","27540","27570"
"In post","2021","EO","Heterosexual / straight","Undeclared","3140","2960","28220","27570"
"In post","2021","EO","Heterosexual / straight","Unknown","4830","4620","29310","28430"
"In post","2021","EO","LGBO","Declared disabled","1180","1120","27630","27570"
"In post","2021","EO","LGBO","Declared non-disabled","3240","3140","27510","27570"
"In post","2021","EO","LGBO","Undeclared","260","260","28130","27570"
"In post","2021","EO","LGBO","Unknown","300","290","28640","27660"
"In post","2021","EO","Undeclared","Declared disabled","1660","1480","27870","27570"
"In post","2021","EO","Undeclared","Declared non-disabled","6630","6010","27790","27570"
"In post","2021","EO","Undeclared","Undeclared","2660","2490","28130","27570"
"In post","2021","EO","Undeclared","Unknown","990","930","28740","29350"
"In post","2021","EO","Unknown","Declared disabled","1330","1170","28500","27570"
"In post","2021","EO","Unknown","Declared non-disabled","11790","10350","27990","27570"
"In post","2021","EO","Unknown","Undeclared","1140","1050","29710","28080"
"In post","2021","EO","Unknown","Unknown","12470","11950","27500","27130"
"In post","2021","G6/G7","Heterosexual / straight","Declared disabled","3410","3270","58240","56350"
"In post","2021","G6/G7","Heterosexual / straight","Declared non-disabled","34560","33330","58880","57340"
"In post","2021","G6/G7","Heterosexual / straight","Undeclared","1080","1050","58740","57270"
"In post","2021","G6/G7","Heterosexual / straight","Unknown","2940","2840","58380","55960"
"In post","2021","G6/G7","LGBO","Declared disabled","470","460","58370","56300"
"In post","2021","G6/G7","LGBO","Declared non-disabled","2010","1980","58740","57210"
"In post","2021","G6/G7","LGBO","Undeclared","110","110","58580","54620"
"In post","2021","G6/G7","LGBO","Unknown","190","180","56870","54410"
"In post","2021","G6/G7","Undeclared","Declared disabled","460","450","59190","57460"
"In post","2021","G6/G7","Undeclared","Declared non-disabled","2850","2750","59880","57740"
"In post","2021","G6/G7","Undeclared","Undeclared","1520","1470","58720","57130"
"In post","2021","G6/G7","Undeclared","Unknown","500","470","60190","57440"
"In post","2021","G6/G7","Unknown","Declared disabled","280","270","58310","57720"
"In post","2021","G6/G7","Unknown","Declared non-disabled","3780","3560","58430","56800"
"In post","2021","G6/G7","Unknown","Undeclared","440","430","57920","54760"
