"Status","Year","Parent_department","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Legal","470","430","54290","51770"
"In post","2021","Attorney General's Departments","Asian","Operational Delivery","290","260","26840","24590"
"In post","2021","Attorney General's Departments","Asian","Other","50","50","30290","27580"
"In post","2021","Attorney General's Departments","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Legal","230","220","56310","56560"
"In post","2021","Attorney General's Departments","Black","Operational Delivery","190","180","27790","26970"
"In post","2021","Attorney General's Departments","Black","Other","80","80","29180","27580"
"In post","2021","Attorney General's Departments","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Legal","170","160","56680","54890"
"In post","2021","Attorney General's Departments","Mixed","Operational Delivery","70","70","26870","25820"
"In post","2021","Attorney General's Departments","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Legal","90","80","59690","59300"
"In post","2021","Attorney General's Departments","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Legal","80","80","56750","55000"
"In post","2021","Attorney General's Departments","Undeclared","Operational Delivery","50","50","27020","25870"
