"Status","Year","Region_ITL1","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","Female","300","270","37150","30130"
"In post","2021","East Midlands (England)","Attorney General's Departments","Male","140","140","40540","45140"
"In post","2021","East Midlands (England)","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Female","120","110","30400","30950"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Male","90","90","34390","34390"
"In post","2021","East Midlands (England)","Department for Education","Female","180","160","40010","36980"
"In post","2021","East Midlands (England)","Department for Education","Male","120","120","44400","39450"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Female","140","130","33170","29290"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Male","90","90","32740","29690"
"In post","2021","East Midlands (England)","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Female","230","210","32910","30730"
"In post","2021","East Midlands (England)","Department for Transport","Male","420","400","34150","29080"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Female","3180","2720","26620","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Male","1710","1620","28420","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Female","150","140","40960","36330"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Male","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Male","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Female","540","480","30770","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Male","330","320","31310","27130"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Female","2020","1820","31410","28130"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Male","1920","1850","32660","31810"
"In post","2021","East Midlands (England)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Female","110","100","27560","25310"
"In post","2021","East Midlands (England)","Home Office","Male","110","110","28430","26160"
"In post","2021","East Midlands (England)","Ministry of Defence","Female","890","840","26900","21580"
"In post","2021","East Midlands (England)","Ministry of Defence","Male","940","930","29670","26670"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Female","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Female","3930","3550","26320","23240"
"In post","2021","East Midlands (England)","Ministry of Justice","Male","3210","3080","28420","26320"
"In post","2021","East Midlands (England)","National Crime Agency","Female","60","50","34990","36410"
"In post","2021","East Midlands (England)","National Crime Agency","Male","100","100","37950","37590"
"In post","2021","East Midlands (England)","Office for Standards in Education","Female","120","110","42850","39850"
"In post","2021","East Midlands (England)","Office for Standards in Education","Male","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Female","330","280","37950","30110"
"In post","2021","East of England","Attorney General's Departments","Male","150","150","46020","50520"
"In post","2021","East of England","Cabinet Office","Female","60","50","46960","38460"
"In post","2021","East of England","Cabinet Office","Male","60","60","46550","44060"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Female","130","120","31680","30950"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Male","90","80","36100","35150"
"In post","2021","East of England","Department for Education","Female","40","40","[c]","[c]"
"In post","2021","East of England","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Female","410","370","32850","29720"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Male","440","420","35370","31070"
"In post","2021","East of England","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Female","90","80","28010","26780"
"In post","2021","East of England","Department for Transport","Male","310","300","30440","27680"
"In post","2021","East of England","Department for Work and Pensions","Female","3150","2720","28190","27570"
"In post","2021","East of England","Department for Work and Pensions","Male","1550","1490","29330","27570"
"In post","2021","East of England","Department of Health and Social Care","Female","470","420","42230","38200"
"In post","2021","East of England","Department of Health and Social Care","Male","270","260","47390","40450"
"In post","2021","East of England","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Male","50","50","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Female","180","160","30320","27130"
"In post","2021","East of England","HM Land Registry","Male","110","100","32240","33840"
"In post","2021","East of England","HM Revenue and Customs","Female","1000","880","30500","28130"
"In post","2021","East of England","HM Revenue and Customs","Male","840","800","34080","31810"
"In post","2021","East of England","HM Treasury","Female","50","40","[c]","[c]"
"In post","2021","East of England","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Female","900","800","25620","25040"
"In post","2021","East of England","Home Office","Male","1060","970","27150","25310"
