"Status","Year","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","262670","237600","32420","27570"
"In post","2021","Male","222150","215170","35260","31180"
"In post","2021","Unknown","60","50","36740","32540"
"In post","2022","Female","278060","253180","33210","28310"
"In post","2022","Male","232000","224890","35970","31650"
"In post","2022","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","14620","12360","30750","26550"
"Leaver CS","2021","Male","13100","11980","34530","28650"
"Leaver CS","2021","Unknown","110","100","44950","40010"
"Leaver CS","2022","Female","23420","20080","31800","27570"
"Leaver CS","2022","Male","20790","19120","34760","29160"
"Leaver CS","2022","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","6610","6140","37170","32180"
"Leaver Dept.","2021","Male","5350","5090","38220","33180"
"Leaver Dept.","2021","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","13950","12340","37710","32330"
"Leaver Dept.","2022","Male","9710","8840","39900","33630"
"Leaver Dept.","2022","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","31680","30520","28830","27570"
"New entrant CS","2021","Male","25460","25140","30240","27570"
"New entrant CS","2021","Unknown","60","60","35170","32540"
"New entrant CS","2022","Female","39420","37570","29040","26590"
"New entrant CS","2022","Male","29980","29260","30460","27230"
"New entrant CS","2022","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at March 31st).","","","","",""
"Sex","Self reported sex.","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
