"Status","Year","Region_ITL2","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Declared disabled","70","60","30460","27570"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Declared non-disabled","420","380","30250","28240"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Unknown","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Declared non-disabled","190","180","30660","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Declared non-disabled","100","90","31200","29290"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
