"Status","Year","Responsibility_level","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Analysis","110","100","21830","21160"
"In post","2021","AA/AO","Heterosexual / straight","Commercial","330","320","22180","21130"
"In post","2021","AA/AO","Heterosexual / straight","Communications","300","270","21420","21130"
"In post","2021","AA/AO","Heterosexual / straight","Counter Fraud","470","420","21420","21440"
"In post","2021","AA/AO","Heterosexual / straight","Debt","1420","1250","20990","20140"
"In post","2021","AA/AO","Heterosexual / straight","Digital, Data & Technology","250","240","21950","21130"
"In post","2021","AA/AO","Heterosexual / straight","Finance","800","680","21270","21130"
"In post","2021","AA/AO","Heterosexual / straight","Grants Management","330","280","21010","21050"
"In post","2021","AA/AO","Heterosexual / straight","Human Resources","1120","1010","21410","21050"
"In post","2021","AA/AO","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Legal","1180","1090","22340","21950"
"In post","2021","AA/AO","Heterosexual / straight","No function","41630","37770","23140","21590"
"In post","2021","AA/AO","Heterosexual / straight","Project Delivery","340","320","21450","21130"
"In post","2021","AA/AO","Heterosexual / straight","Property","1150","1080","20600","20880"
"In post","2021","AA/AO","Heterosexual / straight","Security","3820","3730","26050","21130"
"In post","2021","AA/AO","Heterosexual / straight","Unknown","32880","29330","21430","21010"
"In post","2021","AA/AO","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Debt","100","100","20670","20140"
"In post","2021","AA/AO","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Human Resources","60","60","21400","20920"
"In post","2021","AA/AO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Legal","70","70","22180","21950"
"In post","2021","AA/AO","LGBO","No function","2710","2600","23580","21590"
"In post","2021","AA/AO","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Property","40","40","[c]","[c]"
"In post","2021","AA/AO","LGBO","Security","150","150","26960","24220"
"In post","2021","AA/AO","LGBO","Unknown","1620","1530","21370","21010"
"In post","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","60","60","21910","21580"
"In post","2021","AA/AO","Undeclared","Communications","60","50","21520","21440"
"In post","2021","AA/AO","Undeclared","Counter Fraud","80","70","21890","21440"
"In post","2021","AA/AO","Undeclared","Debt","220","190","21610","21440"
"In post","2021","AA/AO","Undeclared","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","130","110","21250","21440"
"In post","2021","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Human Resources","160","140","21300","21130"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","910","800","21720","22820"
"In post","2021","AA/AO","Undeclared","No function","5740","5020","22770","21500"
"In post","2021","AA/AO","Undeclared","Project Delivery","80","70","21430","21130"
"In post","2021","AA/AO","Undeclared","Property","160","150","20660","21000"
"In post","2021","AA/AO","Undeclared","Security","570","560","29750","26610"
"In post","2021","AA/AO","Undeclared","Unknown","4410","3870","21450","21010"
"In post","2021","AA/AO","Unknown","Analysis","70","70","20700","21050"
"In post","2021","AA/AO","Unknown","Commercial","110","100","22090","21430"
"In post","2021","AA/AO","Unknown","Communications","130","110","21400","21440"
"In post","2021","AA/AO","Unknown","Counter Fraud","280","240","21400","21400"
"In post","2021","AA/AO","Unknown","Debt","1670","1530","20840","20140"
"In post","2021","AA/AO","Unknown","Digital, Data & Technology","130","130","21420","21490"
"In post","2021","AA/AO","Unknown","Finance","530","450","20840","20140"
"In post","2021","AA/AO","Unknown","Grants Management","580","530","21000","21050"
"In post","2021","AA/AO","Unknown","Human Resources","270","240","21090","20920"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","420","370","22160","21950"
"In post","2021","AA/AO","Unknown","No function","20430","18400","23030","21440"
"In post","2021","AA/AO","Unknown","Project Delivery","180","160","22160","21930"
"In post","2021","AA/AO","Unknown","Property","1000","940","22720","21100"
"In post","2021","AA/AO","Unknown","Security","970","960","27500","25540"
"In post","2021","AA/AO","Unknown","Unknown","10150","8590","21290","21010"
"In post","2021","EO","Heterosexual / straight","Analysis","420","400","26640","26410"
"In post","2021","EO","Heterosexual / straight","Commercial","620","590","26880","26670"
"In post","2021","EO","Heterosexual / straight","Communications","1660","1590","25710","25560"
"In post","2021","EO","Heterosexual / straight","Counter Fraud","1950","1830","26930","25560"
"In post","2021","EO","Heterosexual / straight","Debt","520","480","26630","25560"
"In post","2021","EO","Heterosexual / straight","Digital, Data & Technology","1320","1270","27530","26670"
"In post","2021","EO","Heterosexual / straight","Finance","1200","1140","26360","26670"
"In post","2021","EO","Heterosexual / straight","Grants Management","250","230","25710","25730"
"In post","2021","EO","Heterosexual / straight","Human Resources","1270","1190","26570","26670"
"In post","2021","EO","Heterosexual / straight","Internal Audit","40","30","[c]","[c]"
"In post","2021","EO","Heterosexual / straight","Legal","1330","1250","27850","27760"
"In post","2021","EO","Heterosexual / straight","No function","20650","19440","28110","27130"
"In post","2021","EO","Heterosexual / straight","Project Delivery","3290","3130","24650","25560"
"In post","2021","EO","Heterosexual / straight","Property","1190","1120","27120","26670"
"In post","2021","EO","Heterosexual / straight","Security","840","820","32380","28150"
"In post","2021","EO","Heterosexual / straight","Unknown","48730","44740","27850","27570"
"In post","2021","EO","LGBO","Analysis","60","50","26200","26050"
"In post","2021","EO","LGBO","Commercial","40","30","[c]","[c]"
"In post","2021","EO","LGBO","Communications","120","120","25780","25560"
"In post","2021","EO","LGBO","Counter Fraud","110","110","26940","25560"
"In post","2021","EO","LGBO","Debt","40","40","[c]","[c]"
"In post","2021","EO","LGBO","Digital, Data & Technology","90","90","27020","26350"
"In post","2021","EO","LGBO","Finance","40","40","[c]","[c]"
"In post","2021","EO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Human Resources","70","70","26330","26510"
"In post","2021","EO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Legal","110","100","28090","27350"
"In post","2021","EO","LGBO","No function","1300","1260","27880","26860"
"In post","2021","EO","LGBO","Project Delivery","150","150","24540","25560"
"In post","2021","EO","LGBO","Property","50","50","26830","26350"
"In post","2021","EO","LGBO","Security","50","50","31750","27790"
"In post","2021","EO","LGBO","Unknown","2730","2630","27870","27570"
"In post","2021","EO","Undeclared","Analysis","40","40","[c]","[c]"
"In post","2021","EO","Undeclared","Commercial","90","80","27400","26780"
"In post","2021","EO","Undeclared","Communications","160","150","25640","25560"
"In post","2021","EO","Undeclared","Counter Fraud","280","260","27370","26780"
"In post","2021","EO","Undeclared","Debt","80","70","27810","28130"
"In post","2021","EO","Undeclared","Digital, Data & Technology","230","220","28300","27500"
"In post","2021","EO","Undeclared","Finance","160","150","27200","26930"
"In post","2021","EO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Human Resources","130","120","27440","26780"
"In post","2021","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Legal","520","480","28570","29350"
"In post","2021","EO","Undeclared","No function","3220","2960","28110","27130"
"In post","2021","EO","Undeclared","Project Delivery","510","490","26110","26670"
"In post","2021","EO","Undeclared","Property","170","160","27510","26670"
"In post","2021","EO","Undeclared","Security","120","120","36950","42660"
"In post","2021","EO","Undeclared","Unknown","6190","5580","27940","27570"
"In post","2021","EO","Unknown","Analysis","220","210","26050","25010"
"In post","2021","EO","Unknown","Commercial","110","110","26060","26270"
"In post","2021","EO","Unknown","Communications","1260","1230","25900","25560"
"In post","2021","EO","Unknown","Counter Fraud","1070","1010","26990","25560"
"In post","2021","EO","Unknown","Debt","320","290","26990","25560"
"In post","2021","EO","Unknown","Digital, Data & Technology","640","620","27020","26350"
"In post","2021","EO","Unknown","Finance","280","270","26460","26270"
"In post","2021","EO","Unknown","Grants Management","260","240","25290","25190"
"In post","2021","EO","Unknown","Human Resources","310","290","26890","26670"
