"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Centre for Environment, Fisheries and Aquaculture Science","170","160","32880","29270"
"In post","2021","Heterosexual / straight","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Competition and Markets Authority","100","100","59350","56360"
"In post","2021","Heterosexual / straight","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Defence Science and Technology Laboratory","330","310","40120","37360"
"In post","2021","Heterosexual / straight","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","44700","37820"
"In post","2021","Heterosexual / straight","Analysis","Department for Digital, Culture, Media and Sport","110","100","52430","50400"
"In post","2021","Heterosexual / straight","Analysis","Department for Education (excl. agencies)","290","270","43860","42420"
"In post","2021","Heterosexual / straight","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","38470","32560"
"In post","2021","Heterosexual / straight","Analysis","Department for International Trade","160","160","44340","39790"
"In post","2021","Heterosexual / straight","Analysis","Department for Transport (excl. agencies)","270","260","47590","43360"
"In post","2021","Heterosexual / straight","Analysis","Department of Health and Social Care (excl. agencies)","130","120","51480","53360"
"In post","2021","Heterosexual / straight","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Government Actuary's Department","130","130","72320","66000"
"In post","2021","Heterosexual / straight","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","HM Revenue and Customs (excl. agencies)","400","390","45720","38980"
"In post","2021","Heterosexual / straight","Analysis","HM Treasury (excl. agencies)","100","100","51260","52680"
"In post","2021","Heterosexual / straight","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Defence (excl. agencies)","160","150","40670","38550"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","170","160","47000","48200"
"In post","2021","Heterosexual / straight","Analysis","Ministry of Justice (excl. agencies)","280","270","45720","40480"
"In post","2021","Heterosexual / straight","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Office for Standards in Education, Children's Services and Skills","120","110","40450","35010"
"In post","2021","Heterosexual / straight","Analysis","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","United Kingdom Statistics Authority","1060","1020","37980","36030"
"In post","2021","Heterosexual / straight","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cabinet Office (excl. agencies)","300","290","72280","64500"
"In post","2021","Heterosexual / straight","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Crown Commercial Service","250","240","34760","34800"
"In post","2021","Heterosexual / straight","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Defence Equipment and Support","210","210","44820","41450"
"In post","2021","Heterosexual / straight","Commercial","Defence Science and Technology Laboratory","60","60","33810","37320"
"In post","2021","Heterosexual / straight","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Education (excl. agencies)","150","150","40420","38000"
"In post","2021","Heterosexual / straight","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","38970","36970"
"In post","2021","Heterosexual / straight","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
