"Status","Year","Responsibility_level","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Powys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","South Nottinghamshire","[c]","[c]","[c]","[c]"
