"Status","Year","Organisation","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","No function","510","460","30270","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Project Delivery","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","No function","350","330","31590","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Project Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Commercial","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","No function","1520","1410","29570","25670"
"In post","2021","Animal and Plant Health Agency","Female","Project Delivery","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","No function","1030","990","32220","29150"
"In post","2021","Animal and Plant Health Agency","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Commercial","670","650","66570","62250"
"In post","2021","Cabinet Office (excl. agencies)","Female","Communications","200","200","46520","42550"
"In post","2021","Cabinet Office (excl. agencies)","Female","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Digital, Data & Technology","420","410","49800","54700"
"In post","2021","Cabinet Office (excl. agencies)","Female","Finance","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Human Resources","740","690","39170","35590"
"In post","2021","Cabinet Office (excl. agencies)","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","No function","2290","2260","39550","32000"
"In post","2021","Cabinet Office (excl. agencies)","Female","Project Delivery","90","90","63870","57840"
"In post","2021","Cabinet Office (excl. agencies)","Female","Property","50","50","47450","45150"
"In post","2021","Cabinet Office (excl. agencies)","Female","Security","460","430","32190","33000"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Commercial","750","750","74230","65440"
"In post","2021","Cabinet Office (excl. agencies)","Male","Communications","140","140","47870","40600"
"In post","2021","Cabinet Office (excl. agencies)","Male","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Digital, Data & Technology","550","540","52530","54700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Finance","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Human Resources","390","380","39200","35320"
"In post","2021","Cabinet Office (excl. agencies)","Male","Legal","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","No function","1880","1870","42120","33250"
"In post","2021","Cabinet Office (excl. agencies)","Male","Project Delivery","100","100","74710","64500"
"In post","2021","Cabinet Office (excl. agencies)","Male","Property","50","50","54370","54700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Security","420","410","34060","33300"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Analysis","210","190","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Project Delivery","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Analysis","270","260","35910","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","150","140","31930","29160"
"In post","2021","Charity Commission","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","100","100","33290","29160"
"In post","2021","Companies House","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Digital, Data & Technology","80","70","36690","36440"
"In post","2021","Companies House","Female","Finance","40","30","[c]","[c]"
"In post","2021","Companies House","Female","Human Resources","60","60","33220","30530"
