"Status","Year","Age","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","60","60","18610","18960"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Bedford","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
