"Status","Year","Region_ITL3","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Legal","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","No function","510","490","39970","31760"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","No function","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","No function","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Property","60","60","30300","28630"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","820","760","33810","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Legal","70","60","24910","22820"
"In post","2021","Angus and Dundee City","Operational Delivery","No function","280","260","23340","21440"
"In post","2021","Angus and Dundee City","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","No function","70","70","25250","20140"
"In post","2021","Angus and Dundee City","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","1380","1280","26400","22230"
"In post","2021","Antrim and Newtownabbey","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","Unknown","60","60","20950","20310"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Security","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","No function","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other","Unknown","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Security","90","90","21100","20310"
"In post","2021","Ards and North Down","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","No function","130","120","27800","26150"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","460","420","30980","31060"
"In post","2021","Barnet","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","Unknown","130","130","45330","44730"
"In post","2021","Barnet","Finance","Finance","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Medicine","No function","40","30","[c]","[c]"
"In post","2021","Barnet","Operational Delivery","No function","500","470","35580","32190"
"In post","2021","Barnet","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Science and Engineering","No function","530","510","40980","40070"
"In post","2021","Barnet","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","310","280","31360","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","No function","1390","1290","27720","26580"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","No function","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Security","80","80","39250","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","1360","1150","25090","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Commercial","390","380","40900","38710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Project Delivery","710","680","38830","34770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Property","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Communications","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Human Resources","[c]","[c]","[c]","[c]"
