"Status","Year","Region_ITL3","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","AA/AO","50","40","21540","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","AA/AO","200","190","22820","21590"
"In post","2021","Aberdeen City and Aberdeenshire","No function","EO","180","170","30580","33590"
"In post","2021","Aberdeen City and Aberdeenshire","No function","G6/G7","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","SEO/HEO","250","240","56400","43650"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","AA/AO","50","50","26060","26530"
"In post","2021","Aberdeen City and Aberdeenshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","AA/AO","80","80","39720","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","AA/AO","140","130","21720","21010"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","EO","360","330","27950","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","G6/G7","70","70","61810","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SEO/HEO","290","270","37830","35110"
"In post","2021","Angus and Dundee City","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","AA/AO","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","AA/AO","250","230","20740","20140"
"In post","2021","Angus and Dundee City","No function","EO","70","60","26660","27230"
"In post","2021","Angus and Dundee City","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","SEO/HEO","40","40","[c]","[c]"
