"Status","Year","Age","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Female","30","30","[c]","[c]"
"In post","2021","16-19","Asian","Male","30","30","[c]","[c]"
"In post","2021","16-19","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","230","220","20810","20140"
"In post","2021","16-19","Unknown","Male","270","260","20250","20140"
"In post","2021","16-19","White","Female","380","370","21820","21010"
"In post","2021","16-19","White","Male","330","320","21150","21010"
"In post","2021","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Female","3100","3020","29220","27570"
"In post","2021","20-29","Asian","Male","2620","2580","29200","27570"
"In post","2021","20-29","Black","Female","1530","1500","30030","29510"
"In post","2021","20-29","Black","Male","650","640","29910","28670"
"In post","2021","20-29","Chinese","Female","120","110","33720","30460"
"In post","2021","20-29","Chinese","Male","110","110","34250","32790"
"In post","2021","20-29","Mixed","Female","1290","1270","30320","28590"
"In post","2021","20-29","Mixed","Male","860","850","31400","28670"
"In post","2021","20-29","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Female","270","260","31430","31060"
"In post","2021","20-29","Other ethnicity","Male","180","180","32640","30800"
"In post","2021","20-29","Undeclared","Female","550","530","30200","27760"
"In post","2021","20-29","Undeclared","Male","920","910","31340","29000"
"In post","2021","20-29","Unknown","Female","9950","9750","28060","26550"
"In post","2021","20-29","Unknown","Male","9790","9710","28360","26610"
"In post","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","Female","25190","24670","28960","27500"
"In post","2021","20-29","White","Male","20270","20150","29430","27570"
"In post","2021","20-29","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","Female","4170","3780","32900","29080"
"In post","2021","30-39","Asian","Male","3790","3720","33180","29940"
"In post","2021","30-39","Black","Female","2030","1930","32670","31060"
"In post","2021","30-39","Black","Male","1080","1070","32690","31060"
"In post","2021","30-39","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Female","210","200","39680","37120"
"In post","2021","30-39","Chinese","Male","140","140","38260","34060"
"In post","2021","30-39","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","Female","1350","1260","35760","31390"
"In post","2021","30-39","Mixed","Male","970","960","37610","33260"
"In post","2021","30-39","Other ethnicity","Female","350","330","36720","31820"
"In post","2021","30-39","Other ethnicity","Male","260","250","38050","35070"
"In post","2021","30-39","Undeclared","Female","1330","1220","34370","30980"
"In post","2021","30-39","Undeclared","Male","2200","2180","36530","33220"
"In post","2021","30-39","Unknown","Female","8280","7610","33450","28670"
"In post","2021","30-39","Unknown","Male","8660","8570","34170","30650"
"In post","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","White","Female","37770","34290","33800","30080"
"In post","2021","30-39","White","Male","30800","30550","35360","31810"
"In post","2021","30-39","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Asian","Female","4520","3950","34240","29450"
"In post","2021","40-49","Asian","Male","3330","3240","35140","30810"
"In post","2021","40-49","Black","Female","2240","2090","33890","31060"
"In post","2021","40-49","Black","Male","1380","1360","34390","31060"
"In post","2021","40-49","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Female","220","200","37470","31300"
"In post","2021","40-49","Chinese","Male","120","120","36630","32760"
"In post","2021","40-49","Mixed","Female","1030","940","37690","31880"
"In post","2021","40-49","Mixed","Male","740","720","39730","35070"
"In post","2021","40-49","Other ethnicity","Female","350","320","37650","31320"
"In post","2021","40-49","Other ethnicity","Male","300","290","39340","33300"
"In post","2021","40-49","Undeclared","Female","2110","1890","33890","29570"
"In post","2021","40-49","Undeclared","Male","2890","2850","37060","32690"
"In post","2021","40-49","Unknown","Female","6510","5880","35530","29350"
"In post","2021","40-49","Unknown","Male","6190","6090","37970","31850"
"In post","2021","40-49","White","Female","45720","40880","35070","29300"
"In post","2021","40-49","White","Male","34650","34250","38210","32740"
"In post","2021","40-49","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Asian","Female","3300","2990","32570","29250"
"In post","2021","50-59","Asian","Male","2210","2150","35030","30420"
"In post","2021","50-59","Black","Female","3370","3220","32900","30330"
"In post","2021","50-59","Black","Male","1870","1840","34940","31180"
"In post","2021","50-59","Chinese","Female","140","130","36760","30240"
"In post","2021","50-59","Chinese","Male","100","100","36690","31810"
"In post","2021","50-59","Mixed","Female","870","810","34900","29630"
"In post","2021","50-59","Mixed","Male","690","660","38580","33350"
"In post","2021","50-59","Other ethnicity","Female","320","290","37000","30850"
"In post","2021","50-59","Other ethnicity","Male","330","320","40180","33840"
"In post","2021","50-59","Undeclared","Female","3410","3090","32000","27580"
"In post","2021","50-59","Undeclared","Male","4450","4320","36570","32850"
"In post","2021","50-59","Unknown","Female","6100","5540","32780","27570"
"In post","2021","50-59","Unknown","Male","6670","6470","37740","33060"
"In post","2021","50-59","White","Female","58990","53300","32490","27570"
"In post","2021","50-59","White","Male","48240","46920","37470","32560"
"In post","2021","60-64","Asian","Female","830","680","29630","27460"
"In post","2021","60-64","Asian","Male","550","500","34200","29450"
"In post","2021","60-64","Black","Female","690","610","30210","28130"
"In post","2021","60-64","Black","Male","440","410","32690","30600"
"In post","2021","60-64","Chinese","Female","30","30","[c]","[c]"
"In post","2021","60-64","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Mixed","Female","220","180","30110","27570"
"In post","2021","60-64","Mixed","Male","130","120","38970","32470"
"In post","2021","60-64","Other ethnicity","Female","100","80","32800","29830"
"In post","2021","60-64","Other ethnicity","Male","90","80","41840","33840"
"In post","2021","60-64","Undeclared","Female","890","700","29920","27570"
"In post","2021","60-64","Undeclared","Male","1140","960","34760","31650"
"In post","2021","60-64","Unknown","Female","1580","1270","28080","22820"
"In post","2021","60-64","Unknown","Male","1740","1510","33950","30100"
"In post","2021","60-64","White","Female","15520","12130","28900","26410"
"In post","2021","60-64","White","Male","13740","11740","34640","29670"
"In post","2021","60-64","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Asian","Female","360","260","28750","25630"
"In post","2021","65+","Asian","Male","310","250","32650","28480"
"In post","2021","65+","Black","Female","180","160","28910","26000"
"In post","2021","65+","Black","Male","130","120","29790","26750"
"In post","2021","65+","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","65+","Mixed","Female","40","30","[c]","[c]"
"In post","2021","65+","Mixed","Male","50","40","34120","28330"
"In post","2021","65+","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other ethnicity","Male","30","30","[c]","[c]"
"In post","2021","65+","Undeclared","Female","250","180","27750","25640"
"In post","2021","65+","Undeclared","Male","400","320","35190","30790"
"In post","2021","65+","Unknown","Female","460","340","28670","23500"
"In post","2021","65+","Unknown","Male","600","470","33160","27310"
"In post","2021","65+","White","Female","4100","2990","27470","24340"
"In post","2021","65+","White","Male","4670","3670","32950","27570"
"In post","2021","Unknown","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Male","[c]","[c]","[c]","[c]"
