"Status","Year","Region_ITL1","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Human Resources","50","50","35290","32620"
"In post","2021","East Midlands (England)","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Legal","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Operational Delivery","1170","1080","27130","24460"
"In post","2021","East Midlands (England)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Other","80","80","23860","21130"
"In post","2021","East Midlands (England)","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Property","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Science and Engineering","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared disabled","Tax","110","100","33640","31810"
"In post","2021","East Midlands (England)","Declared disabled","Unknown","890","780","26020","27570"
"In post","2021","East Midlands (England)","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Commercial","90","90","43740","43130"
"In post","2021","East Midlands (England)","Declared non-disabled","Communications","60","60","38370","37860"
"In post","2021","East Midlands (England)","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Digital, Data and Technology","150","150","37910","35730"
"In post","2021","East Midlands (England)","Declared non-disabled","Finance","150","140","36250","32010"
"In post","2021","East Midlands (England)","Declared non-disabled","Human Resources","240","230","39350","35000"
"In post","2021","East Midlands (England)","Declared non-disabled","Inspector of Education and Training","60","60","65390","64500"
"In post","2021","East Midlands (England)","Declared non-disabled","Intelligence Analysis","90","90","29920","27380"
"In post","2021","East Midlands (England)","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Legal","320","290","44040","46210"
"In post","2021","East Midlands (England)","Declared non-disabled","Medicine","130","130","45130","37890"
"In post","2021","East Midlands (England)","Declared non-disabled","Operational Delivery","6640","6130","27690","25560"
"In post","2021","East Midlands (England)","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Other","620","590","25730","21130"
"In post","2021","East Midlands (England)","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Policy","190","180","42370","38630"
"In post","2021","East Midlands (England)","Declared non-disabled","Project Delivery","270","260","39530","37900"
"In post","2021","East Midlands (England)","Declared non-disabled","Property","290","270","35500","33300"
"In post","2021","East Midlands (England)","Declared non-disabled","Psychology","140","130","34730","30450"
"In post","2021","East Midlands (England)","Declared non-disabled","Science and Engineering","430","400","39320","37890"
"In post","2021","East Midlands (England)","Declared non-disabled","Security","100","100","29610","26710"
"In post","2021","East Midlands (England)","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Declared non-disabled","Tax","720","680","36310","31810"
"In post","2021","East Midlands (England)","Declared non-disabled","Unknown","3440","3050","26330","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Operational Delivery","860","790","28410","28100"
"In post","2021","East Midlands (England)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Other","60","50","23480","20920"
"In post","2021","East Midlands (England)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Property","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Science and Engineering","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Tax","80","70","35030","31810"
"In post","2021","East Midlands (England)","Undeclared","Unknown","250","230","25880","27570"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Digital, Data and Technology","90","80","35360","31830"
"In post","2021","East Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","60","50","34100","30120"
"In post","2021","East Midlands (England)","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal","120","120","38240","33780"
"In post","2021","East Midlands (England)","Unknown","Medicine","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Operational Delivery","1430","1340","24660","22350"
"In post","2021","East Midlands (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other","90","90","24600","21130"
"In post","2021","East Midlands (England)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","110","100","28950","24500"
"In post","2021","East Midlands (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Science and Engineering","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Security","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Tax","480","450","27340","25560"
