"Status","Year","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","70","70","35900","34770"
"In post","2021","Bedfordshire and Hertfordshire","Finance","100","100","43570","37640"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","120","110","52540","51290"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","2060","1930","29770","27850"
"In post","2021","Bedfordshire and Hertfordshire","Other","180","170","27670","25390"
"In post","2021","Bedfordshire and Hertfordshire","Policy","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","150","140","41830","39890"
"In post","2021","Bedfordshire and Hertfordshire","Property","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","220","210","47290","43370"
"In post","2021","Bedfordshire and Hertfordshire","Security","80","80","25590","22650"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","1240","1140","29520","29290"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","180","180","39050","37070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","80","80","32450","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","250","240","41480","37910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","300","290","38460","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","130","130","39100","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","60","60","43390","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","90","90","36440","33910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","220","190","47270","50520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","130","110","51810","38190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","3420","3240","29480","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","920","890","26790","22500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","80","80","40890","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","360","350","40080","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","360","350","34170","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","100","90","36680","31180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","320","310","42840","40040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","970","960","34320","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","180","160","37540","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","1340","1230","29030","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","140","130","41990","41700"
"In post","2021","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","70","60","42030","40080"
"In post","2021","Cheshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","30","30","[c]","[c]"
"In post","2021","Cheshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","2460","2360","31700","31060"
"In post","2021","Cheshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","50","50","38150","36740"
"In post","2021","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","940","850","25610","27570"
"In post","2021","Cheshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","260","230","26810","25630"
"In post","2021","Cornwall and Isles of Scilly","Other","210","200","23300","21130"
"In post","2021","Cornwall and Isles of Scilly","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","50","50","29590","26580"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","100","100","24690","22500"
"In post","2021","Cornwall and Isles of Scilly","Security","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","830","740","25490","27570"
"In post","2021","Cornwall and Isles of Scilly","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","1300","1170","25330","21550"
"In post","2021","Cumbria","Other","90","90","22950","21130"
"In post","2021","Cumbria","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","100","100","40420","37270"
"In post","2021","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Science and Engineering","110","110","38080","36000"
"In post","2021","Cumbria","Security","90","90","27920","23540"
"In post","2021","Cumbria","Unknown","270","240","27020","27570"
"In post","2021","Cumbria","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","70","70","43680","42490"
"In post","2021","Derbyshire and Nottinghamshire","Communications","80","80","36960","36590"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data and Technology","180","180","38690","35860"
"In post","2021","Derbyshire and Nottinghamshire","Finance","150","150","37290","33330"
"In post","2021","Derbyshire and Nottinghamshire","Human Resources","310","290","39150","33840"
"In post","2021","Derbyshire and Nottinghamshire","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","Derbyshire and Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Knowledge and Information Management","60","50","37120","36340"
"In post","2021","Derbyshire and Nottinghamshire","Legal","370","340","40410","35000"
"In post","2021","Derbyshire and Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Operational Delivery","5530","5110","27720","25560"
"In post","2021","Derbyshire and Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other","200","190","31940","22080"
"In post","2021","Derbyshire and Nottinghamshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Policy","240","220","41180","36960"
