"Status","Year","Sexual_orientation","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","London","Undeclared","240","240","42910","36160"
"In post","2021","LGBO","London","Unknown","350","340","43440","39920"
"In post","2021","LGBO","North East (England)","Declared disabled","190","180","27130","25560"
"In post","2021","LGBO","North East (England)","Declared non-disabled","700","670","28720","26300"
"In post","2021","LGBO","North East (England)","Undeclared","60","60","27070","27570"
"In post","2021","LGBO","North East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","North West (England)","Declared disabled","480","450","28410","27570"
"In post","2021","LGBO","North West (England)","Declared non-disabled","1540","1500","29690","27370"
"In post","2021","LGBO","North West (England)","Undeclared","140","140","28670","27570"
"In post","2021","LGBO","North West (England)","Unknown","130","130","31260","28840"
"In post","2021","LGBO","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Northern Ireland","Declared non-disabled","70","60","26490","25310"
"In post","2021","LGBO","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Overseas","Declared non-disabled","130","130","52300","52630"
"In post","2021","LGBO","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scotland","Declared disabled","400","380","31220","27570"
"In post","2021","LGBO","Scotland","Declared non-disabled","990","960","32370","27570"
"In post","2021","LGBO","Scotland","Undeclared","70","70","30700","27570"
"In post","2021","LGBO","Scotland","Unknown","190","180","35030","33300"
"In post","2021","LGBO","South East (England)","Declared disabled","360","340","29430","27570"
"In post","2021","LGBO","South East (England)","Declared non-disabled","1100","1060","30390","27850"
"In post","2021","LGBO","South East (England)","Undeclared","110","110","30850","29290"
"In post","2021","LGBO","South East (England)","Unknown","80","80","29610","27710"
"In post","2021","LGBO","South West (England)","Declared disabled","350","340","30320","27570"
"In post","2021","LGBO","South West (England)","Declared non-disabled","980","950","31470","27570"
"In post","2021","LGBO","South West (England)","Undeclared","80","80","33840","30670"
"In post","2021","LGBO","South West (England)","Unknown","80","80","32360","28660"
"In post","2021","LGBO","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales","Declared disabled","260","250","30300","27570"
"In post","2021","LGBO","Wales","Declared non-disabled","920","890","30890","27570"
"In post","2021","LGBO","Wales","Undeclared","60","60","28760","25560"
"In post","2021","LGBO","Wales","Unknown","90","90","29140","25560"
"In post","2021","LGBO","West Midlands (England)","Declared disabled","270","250","27900","27570"
"In post","2021","LGBO","West Midlands (England)","Declared non-disabled","650","630","30030","27520"
"In post","2021","LGBO","West Midlands (England)","Undeclared","50","50","31360","27570"
"In post","2021","LGBO","West Midlands (England)","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Yorkshire and The Humber","Declared disabled","320","300","30530","27570"
"In post","2021","LGBO","Yorkshire and The Humber","Declared non-disabled","970","940","31070","27570"
"In post","2021","LGBO","Yorkshire and The Humber","Undeclared","90","90","30580","27570"
"In post","2021","LGBO","Yorkshire and The Humber","Unknown","70","70","30540","28970"
"In post","2021","Undeclared","East Midlands (England)","Declared disabled","320","290","28720","27570"
"In post","2021","Undeclared","East Midlands (England)","Declared non-disabled","1060","950","30090","27570"
"In post","2021","Undeclared","East Midlands (England)","Undeclared","560","520","30620","28220"
"In post","2021","Undeclared","East Midlands (England)","Unknown","80","70","31940","29050"
"In post","2021","Undeclared","East of England","Declared disabled","260","240","30700","28380"
"In post","2021","Undeclared","East of England","Declared non-disabled","1160","1060","30320","27570"
"In post","2021","Undeclared","East of England","Undeclared","650","610","31750","29870"
"In post","2021","Undeclared","East of England","Unknown","120","110","36590","34560"
"In post","2021","Undeclared","London","Declared disabled","990","930","39220","33950"
"In post","2021","Undeclared","London","Declared non-disabled","5140","4880","42780","36800"
"In post","2021","Undeclared","London","Undeclared","2270","2180","44020","38860"
"In post","2021","Undeclared","London","Unknown","640","620","45740","41760"
"In post","2021","Undeclared","North East (England)","Declared disabled","280","240","26960","23840"
"In post","2021","Undeclared","North East (England)","Declared non-disabled","1170","1040","28270","25650"
"In post","2021","Undeclared","North East (England)","Undeclared","590","550","30160","27460"
"In post","2021","Undeclared","North East (England)","Unknown","120","100","29630","23290"
"In post","2021","Undeclared","North West (England)","Declared disabled","690","610","27770","26780"
"In post","2021","Undeclared","North West (England)","Declared non-disabled","2540","2310","29480","27460"
"In post","2021","Undeclared","North West (England)","Undeclared","1180","1100","31250","27570"
"In post","2021","Undeclared","North West (England)","Unknown","210","190","32190","28840"
"In post","2021","Undeclared","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","Declared non-disabled","100","90","27800","24890"
"In post","2021","Undeclared","Northern Ireland","Undeclared","70","70","28650","25560"
"In post","2021","Undeclared","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","Declared non-disabled","220","220","47310","40580"
"In post","2021","Undeclared","Overseas","Undeclared","110","100","47430","41960"
"In post","2021","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland","Declared disabled","380","340","29520","27470"
"In post","2021","Undeclared","Scotland","Declared non-disabled","1650","1510","31200","27570"
"In post","2021","Undeclared","Scotland","Undeclared","560","520","32700","27570"
"In post","2021","Undeclared","Scotland","Unknown","1940","1770","29060","26550"
"In post","2021","Undeclared","South East (England)","Declared disabled","480","430","30190","27570"
"In post","2021","Undeclared","South East (England)","Declared non-disabled","2170","2000","31850","28650"
"In post","2021","Undeclared","South East (England)","Undeclared","1290","1220","32900","31630"
"In post","2021","Undeclared","South East (England)","Unknown","280","260","34080","31150"
"In post","2021","Undeclared","South West (England)","Declared disabled","580","520","33410","30080"
"In post","2021","Undeclared","South West (England)","Declared non-disabled","2290","2120","35090","32430"
"In post","2021","Undeclared","South West (England)","Undeclared","1280","1220","36840","33840"
"In post","2021","Undeclared","South West (England)","Unknown","360","340","39090","36950"
"In post","2021","Undeclared","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Declared non-disabled","70","60","31810","27570"
"In post","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales","Declared disabled","540","460","26660","21590"
"In post","2021","Undeclared","Wales","Declared non-disabled","2540","2240","29950","26670"
"In post","2021","Undeclared","Wales","Undeclared","870","800","31410","27570"
"In post","2021","Undeclared","Wales","Unknown","190","180","35230","31640"
"In post","2021","Undeclared","West Midlands (England)","Declared disabled","350","320","28660","27570"
"In post","2021","Undeclared","West Midlands (England)","Declared non-disabled","1380","1250","29730","27570"
"In post","2021","Undeclared","West Midlands (England)","Undeclared","660","620","31170","27570"
"In post","2021","Undeclared","West Midlands (England)","Unknown","110","100","34440","32240"
"In post","2021","Undeclared","Yorkshire and The Humber","Declared disabled","390","340","29600","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Declared non-disabled","1740","1570","30560","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Undeclared","790","740","32220","30820"
"In post","2021","Undeclared","Yorkshire and The Humber","Unknown","140","130","32110","28840"
"In post","2021","Unknown","East Midlands (England)","Declared disabled","170","150","26830","27380"
"In post","2021","Unknown","East Midlands (England)","Declared non-disabled","1690","1480","29090","27570"
"In post","2021","Unknown","East Midlands (England)","Undeclared","250","220","29640","30550"
"In post","2021","Unknown","East Midlands (England)","Unknown","2310","2190","27230","25560"
"In post","2021","Unknown","East of England","Declared disabled","170","150","28390","27570"
"In post","2021","Unknown","East of England","Declared non-disabled","1630","1430","30300","28130"
"In post","2021","Unknown","East of England","Undeclared","300","260","31190","31650"
"In post","2021","Unknown","East of England","Unknown","1930","1830","30950","27570"
"In post","2021","Unknown","London","Declared disabled","610","560","38460","31970"
"In post","2021","Unknown","London","Declared non-disabled","5330","4920","41500","34770"
"In post","2021","Unknown","London","Undeclared","1300","1240","40630","35870"
"In post","2021","Unknown","London","Unknown","14250","13920","43480","36240"
"In post","2021","Unknown","North East (England)","Declared disabled","320","270","25380","21440"
"In post","2021","Unknown","North East (England)","Declared non-disabled","3020","2550","27010","23510"
"In post","2021","Unknown","North East (England)","Undeclared","360","310","29350","31650"
"In post","2021","Unknown","North East (England)","Unknown","4130","3760","25910","21440"
"In post","2021","Unknown","North West (England)","Declared disabled","630","540","26630","25560"
"In post","2021","Unknown","North West (England)","Declared non-disabled","5820","5070","27650","27570"
"In post","2021","Unknown","North West (England)","Undeclared","700","630","29280","31650"
"In post","2021","Unknown","North West (England)","Unknown","6310","5960","28170","25560"
"In post","2021","Unknown","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Declared non-disabled","130","120","30150","27970"
"In post","2021","Unknown","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Unknown","700","660","25500","21440"
"In post","2021","Unknown","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Declared non-disabled","120","110","47060","43630"
"In post","2021","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Unknown","580","580","51670","51500"
"In post","2021","Unknown","Scotland","Declared disabled","550","490","30390","27570"
"In post","2021","Unknown","Scotland","Declared non-disabled","4220","3780","31160","27570"
"In post","2021","Unknown","Scotland","Undeclared","140","120","27600","25560"
"In post","2021","Unknown","Scotland","Unknown","8730","8220","30800","27150"
"In post","2021","Unknown","South East (England)","Declared disabled","290","250","29400","27570"
"In post","2021","Unknown","South East (England)","Declared non-disabled","2270","2000","31070","28130"
"In post","2021","Unknown","South East (England)","Undeclared","600","550","33270","31650"
"In post","2021","Unknown","South East (England)","Unknown","3800","3560","31250","27850"
"In post","2021","Unknown","South West (England)","Declared disabled","340","300","30990","27570"
"In post","2021","Unknown","South West (England)","Declared non-disabled","3750","3390","34640","32060"
"In post","2021","Unknown","South West (England)","Undeclared","330","300","33550","31650"
"In post","2021","Unknown","South West (England)","Unknown","3770","3580","33490","28650"
"In post","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","120","110","31830","27570"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2410","2400","37080","32700"
"In post","2021","Unknown","Wales","Declared disabled","210","170","26920","26420"
"In post","2021","Unknown","Wales","Declared non-disabled","2300","1990","29490","27570"
"In post","2021","Unknown","Wales","Undeclared","210","180","29330","27570"
"In post","2021","Unknown","Wales","Unknown","4150","3910","27850","24120"
"In post","2021","Unknown","West Midlands (England)","Declared disabled","280","240","28370","27570"
"In post","2021","Unknown","West Midlands (England)","Declared non-disabled","2980","2610","29170","27570"
"In post","2021","Unknown","West Midlands (England)","Undeclared","330","290","29800","27570"
"In post","2021","Unknown","West Midlands (England)","Unknown","3040","2900","29740","25560"
"In post","2021","Unknown","Yorkshire and The Humber","Declared disabled","260","220","28720","27570"
"In post","2021","Unknown","Yorkshire and The Humber","Declared non-disabled","2940","2560","31170","27570"
"In post","2021","Unknown","Yorkshire and The Humber","Undeclared","370","330","30670","31650"
"In post","2021","Unknown","Yorkshire and The Humber","Unknown","4180","4020","29820","25560"
"In post","2022","Heterosexual / straight","East Midlands (England)","Declared disabled","2220","2030","29210","27570"
"In post","2022","Heterosexual / straight","East Midlands (England)","Declared non-disabled","12170","11360","31180","27570"
"In post","2022","Heterosexual / straight","East Midlands (England)","Undeclared","700","650","29780","27570"
"In post","2022","Heterosexual / straight","East Midlands (England)","Unknown","610","580","33820","30270"
"In post","2022","Heterosexual / straight","East of England","Declared disabled","2090","1910","30600","28010"
"In post","2022","Heterosexual / straight","East of England","Declared non-disabled","12470","11680","31380","28700"
"In post","2022","Heterosexual / straight","East of England","Undeclared","710","670","31250","29290"
"In post","2022","Heterosexual / straight","East of England","Unknown","790","760","34650","32640"
"In post","2022","Heterosexual / straight","London","Declared disabled","7230","6880","41330","35900"
"In post","2022","Heterosexual / straight","London","Declared non-disabled","54310","52290","44510","39420"
"In post","2022","Heterosexual / straight","London","Undeclared","2370","2290","42110","36900"
"In post","2022","Heterosexual / straight","London","Unknown","4810","4690","44670","40230"
"In post","2022","Heterosexual / straight","North East (England)","Declared disabled","2980","2650","28430","27130"
"In post","2022","Heterosexual / straight","North East (England)","Declared non-disabled","17360","15890","30590","27570"
"In post","2022","Heterosexual / straight","North East (England)","Undeclared","840","770","29970","27570"
"In post","2022","Heterosexual / straight","North East (England)","Unknown","920","840","31020","26820"
"In post","2022","Heterosexual / straight","North West (England)","Declared disabled","5750","5200","29550","27570"
"In post","2022","Heterosexual / straight","North West (England)","Declared non-disabled","33330","31110","31130","27570"
"In post","2022","Heterosexual / straight","North West (England)","Undeclared","1580","1460","29730","27570"
"In post","2022","Heterosexual / straight","North West (England)","Unknown","2300","2210","33790","30820"
"In post","2022","Heterosexual / straight","Northern Ireland","Declared disabled","270","250","29470","26820"
"In post","2022","Heterosexual / straight","Northern Ireland","Declared non-disabled","2260","2150","30300","26820"
"In post","2022","Heterosexual / straight","Northern Ireland","Undeclared","130","120","29830","26820"
"In post","2022","Heterosexual / straight","Northern Ireland","Unknown","250","240","31230","27420"
"In post","2022","Heterosexual / straight","Overseas","Declared disabled","170","170","48220","44140"
"In post","2022","Heterosexual / straight","Overseas","Declared non-disabled","1970","1960","49070","46600"
"In post","2022","Heterosexual / straight","Overseas","Undeclared","50","50","46790","41500"
"In post","2022","Heterosexual / straight","Overseas","Unknown","300","300","55140","53740"
"In post","2022","Heterosexual / straight","Scotland","Declared disabled","3390","3090","31520","27570"
"In post","2022","Heterosexual / straight","Scotland","Declared non-disabled","22840","21460","34030","27940"
"In post","2022","Heterosexual / straight","Scotland","Undeclared","740","690","31450","27570"
"In post","2022","Heterosexual / straight","Scotland","Unknown","3860","3640","38180","35000"
"In post","2022","Heterosexual / straight","South East (England)","Declared disabled","3550","3260","30840","27570"
"In post","2022","Heterosexual / straight","South East (England)","Declared non-disabled","22380","20930","32180","28920"
"In post","2022","Heterosexual / straight","South East (England)","Undeclared","1390","1290","31270","29290"
"In post","2022","Heterosexual / straight","South East (England)","Unknown","1840","1700","33240","30210"
"In post","2022","Heterosexual / straight","South West (England)","Declared disabled","3700","3420","32660","28640"
"In post","2022","Heterosexual / straight","South West (England)","Declared non-disabled","25730","24310","35070","32010"
"In post","2022","Heterosexual / straight","South West (England)","Undeclared","1190","1120","33910","31380"
"In post","2022","Heterosexual / straight","South West (England)","Unknown","1810","1730","36570","33370"
"In post","2022","Heterosexual / straight","Unknown","Declared disabled","100","90","32150","27700"
"In post","2022","Heterosexual / straight","Unknown","Declared non-disabled","680","650","33830","31030"
"In post","2022","Heterosexual / straight","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Unknown","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Wales","Declared disabled","2790","2520","29800","27570"
"In post","2022","Heterosexual / straight","Wales","Declared non-disabled","20800","19430","32950","27570"
"In post","2022","Heterosexual / straight","Wales","Undeclared","820","750","29330","26820"
"In post","2022","Heterosexual / straight","Wales","Unknown","1310","1240","33030","30210"
"In post","2022","Heterosexual / straight","West Midlands (England)","Declared disabled","3060","2790","30040","27570"
"In post","2022","Heterosexual / straight","West Midlands (England)","Declared non-disabled","17550","16440","31410","27570"
"In post","2022","Heterosexual / straight","West Midlands (England)","Undeclared","950","890","30020","27570"
"In post","2022","Heterosexual / straight","West Midlands (England)","Unknown","1170","1120","34230","30320"
"In post","2022","Heterosexual / straight","Yorkshire and The Humber","Declared disabled","3360","3050","30900","27570"
"In post","2022","Heterosexual / straight","Yorkshire and The Humber","Declared non-disabled","20770","19280","32460","27570"
"In post","2022","Heterosexual / straight","Yorkshire and The Humber","Undeclared","1080","1000","31290","29200"
"In post","2022","Heterosexual / straight","Yorkshire and The Humber","Unknown","1370","1320","35200","31320"
"In post","2022","LGBO","East Midlands (England)","Declared disabled","250","230","29630","27570"
"In post","2022","LGBO","East Midlands (England)","Declared non-disabled","600","580","30410","27470"
"In post","2022","LGBO","East Midlands (England)","Undeclared","60","60","28680","27570"
"In post","2022","LGBO","East Midlands (England)","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","East of England","Declared disabled","190","180","28940","27570"
"In post","2022","LGBO","East of England","Declared non-disabled","540","530","30370","27570"
"In post","2022","LGBO","East of England","Undeclared","50","50","29780","28200"
"In post","2022","LGBO","East of England","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","London","Declared disabled","1150","1130","43080","37930"
"In post","2022","LGBO","London","Declared non-disabled","3740","3680","46250","41750"
"In post","2022","LGBO","London","Undeclared","260","260","43050","38590"
"In post","2022","LGBO","London","Unknown","450","440","44140","40650"
"In post","2022","LGBO","North East (England)","Declared disabled","260","240","28420","27140"
"In post","2022","LGBO","North East (England)","Declared non-disabled","910","880","30180","27570"
"In post","2022","LGBO","North East (England)","Undeclared","80","70","28270","27570"
"In post","2022","LGBO","North East (England)","Unknown","60","50","31470","26820"
"In post","2022","LGBO","North West (England)","Declared disabled","630","600","29520","27570"
"In post","2022","LGBO","North West (England)","Declared non-disabled","1870","1820","30660","27570"
"In post","2022","LGBO","North West (England)","Undeclared","170","170","29850","27570"
"In post","2022","LGBO","North West (England)","Unknown","170","170","31660","29360"
"In post","2022","LGBO","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland","Declared non-disabled","90","90","28890","26590"
"In post","2022","LGBO","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Overseas","Declared non-disabled","130","130","52510","52760"
"In post","2022","LGBO","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scotland","Declared disabled","520","500","31650","27570"
"In post","2022","LGBO","Scotland","Declared non-disabled","1300","1270","33170","27570"
"In post","2022","LGBO","Scotland","Undeclared","80","80","32030","27570"
"In post","2022","LGBO","Scotland","Unknown","230","220","35560","32990"
"In post","2022","LGBO","South East (England)","Declared disabled","400","380","29880","28570"
"In post","2022","LGBO","South East (England)","Declared non-disabled","1150","1120","31470","28200"
"In post","2022","LGBO","South East (England)","Undeclared","110","110","30730","28920"
"In post","2022","LGBO","South East (England)","Unknown","90","90","32980","30210"
"In post","2022","LGBO","South West (England)","Declared disabled","400","380","30580","27570"
"In post","2022","LGBO","South West (England)","Declared non-disabled","1200","1160","32550","28800"
"In post","2022","LGBO","South West (England)","Undeclared","70","70","33650","30200"
"In post","2022","LGBO","South West (England)","Unknown","100","90","32030","28710"
"In post","2022","LGBO","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wales","Declared disabled","320","310","30540","27570"
"In post","2022","LGBO","Wales","Declared non-disabled","1080","1050","31640","27570"
"In post","2022","LGBO","Wales","Undeclared","70","70","29260","26820"
"In post","2022","LGBO","Wales","Unknown","120","110","30420","29820"
"In post","2022","LGBO","West Midlands (England)","Declared disabled","320","300","29560","27570"
"In post","2022","LGBO","West Midlands (England)","Declared non-disabled","780","750","30650","27470"
"In post","2022","LGBO","West Midlands (England)","Undeclared","60","60","31150","27570"
"In post","2022","LGBO","West Midlands (England)","Unknown","60","60","33660","29100"
"In post","2022","LGBO","Yorkshire and The Humber","Declared disabled","390","370","31160","27570"
"In post","2022","LGBO","Yorkshire and The Humber","Declared non-disabled","1110","1070","31880","27570"
"In post","2022","LGBO","Yorkshire and The Humber","Undeclared","90","90","34180","30820"
"In post","2022","LGBO","Yorkshire and The Humber","Unknown","120","120","33130","29360"
"In post","2022","Undeclared","East Midlands (England)","Declared disabled","320","290","29290","27570"
"In post","2022","Undeclared","East Midlands (England)","Declared non-disabled","1050","960","30910","27570"
"In post","2022","Undeclared","East Midlands (England)","Undeclared","540","510","32650","30650"
"In post","2022","Undeclared","East Midlands (England)","Unknown","90","90","35280","33040"
"In post","2022","Undeclared","East of England","Declared disabled","270","250","30190","28200"
"In post","2022","Undeclared","East of England","Declared non-disabled","1150","1050","30850","27570"
"In post","2022","Undeclared","East of England","Undeclared","590","550","32350","31150"
"In post","2022","Undeclared","East of England","Unknown","140","140","40030","36630"
"In post","2022","Undeclared","London","Declared disabled","1020","960","40530","35070"
"In post","2022","Undeclared","London","Declared non-disabled","4970","4720","43310","37930"
"In post","2022","Undeclared","London","Undeclared","2170","2100","44770","40220"
"In post","2022","Undeclared","London","Unknown","1580","1540","47460","41750"
"In post","2022","Undeclared","North East (England)","Declared disabled","310","270","28490","26820"
"In post","2022","Undeclared","North East (England)","Declared non-disabled","1200","1070","29500","26820"
"In post","2022","Undeclared","North East (England)","Undeclared","610","560","31970","27740"
"In post","2022","Undeclared","North East (England)","Unknown","130","120","33510","26820"
"In post","2022","Undeclared","North West (England)","Declared disabled","740","660","28700","27570"
"In post","2022","Undeclared","North West (England)","Declared non-disabled","2590","2370","30070","27570"
"In post","2022","Undeclared","North West (England)","Undeclared","1200","1110","32540","29440"
