"Status","Year","Age","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","40","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","40","40","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","50","50","20580","20880"
"In post","2021","16-19","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","30","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","70","60","22080","21430"
"In post","2021","16-19","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wales","80","70","20060","20140"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
