"Status","Year","Region_ITL2","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Heterosexual / straight","50","50","36340","35720"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Heterosexual / straight","90","80","43230","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Heterosexual / straight","140","130","42250","40000"
"In post","2021","Bedfordshire and Hertfordshire","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Heterosexual / straight","1150","1090","30110","28600"
"In post","2021","Bedfordshire and Hertfordshire","No function","LGBO","70","70","29450","29920"
"In post","2021","Bedfordshire and Hertfordshire","No function","Undeclared","140","130","30760","30310"
"In post","2021","Bedfordshire and Hertfordshire","No function","Unknown","270","250","28720","27700"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Heterosexual / straight","150","150","40420","37640"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Heterosexual / straight","60","60","25020","22650"
"In post","2021","Bedfordshire and Hertfordshire","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","1430","1340","31790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","LGBO","60","60","31510","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","180","170","33500","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","360","330","32880","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Heterosexual / straight","160","160","38780","36760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Heterosexual / straight","70","70","33260","31390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Heterosexual / straight","180","180","42220","39430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Unknown","50","50","42280","39790"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Heterosexual / straight","250","240","37900","34530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Heterosexual / straight","80","80","31160","26520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Unknown","70","60","26300","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Heterosexual / straight","110","100","38330","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Heterosexual / straight","160","140","44490","46210"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Heterosexual / straight","2420","2290","31600","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","LGBO","180","170","29710","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Undeclared","340","320","32160","30600"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Unknown","810","760","32080","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Heterosexual / straight","400","380","39470","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Undeclared","60","60","39150","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Heterosexual / straight","270","270","33740","33150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Undeclared","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Unknown","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Heterosexual / straight","700","690","34210","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","LGBO","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Undeclared","120","120","36260","39070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Unknown","230","220","32490","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","1730","1640","28730","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","80","80","28050","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","220","200","28990","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","330","300","30170","27570"
"In post","2021","Cheshire","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Heterosexual / straight","100","100","42330","45480"
"In post","2021","Cheshire","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
