"Status","Year","Profession_of_post","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","150","140","40040","37600"
"In post","2021","Commercial","Declared disabled","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Inner London - West","50","50","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","140","140","39670","37500"
"In post","2021","Commercial","Declared non-disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Cumbria","[c]","[c]","[c]","[c]"
