"Status","Year","Profession_of_post","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","Declared disabled","30-39","120","120","36300","34800"
"In post","2021","Commercial","Declared disabled","40-49","140","130","41530","39860"
"In post","2021","Commercial","Declared disabled","50-59","160","160","42260","40580"
"In post","2021","Commercial","Declared disabled","60-64","40","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","20-29","540","530","30240","29550"
"In post","2021","Commercial","Declared non-disabled","30-39","830","800","38530","37240"
"In post","2021","Commercial","Declared non-disabled","40-49","890","860","43660","40470"
"In post","2021","Commercial","Declared non-disabled","50-59","1010","990","45200","42080"
"In post","2021","Commercial","Declared non-disabled","60-64","210","180","44660","42000"
"In post","2021","Commercial","Declared non-disabled","65+","50","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","30-39","70","70","38170","38280"
"In post","2021","Commercial","Undeclared","40-49","80","80","44380","42090"
"In post","2021","Commercial","Undeclared","50-59","130","130","46210","42550"
"In post","2021","Commercial","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","20-29","240","230","31680","28970"
"In post","2021","Commercial","Unknown","30-39","250","240","39110","37370"
"In post","2021","Commercial","Unknown","40-49","230","220","43140","38990"
"In post","2021","Commercial","Unknown","50-59","210","200","41130","38630"
"In post","2021","Commercial","Unknown","60-64","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Communications","Declared disabled","30-39","60","50","39460","37400"
"In post","2021","Communications","Declared disabled","40-49","80","70","38710","36880"
"In post","2021","Communications","Declared disabled","50-59","70","60","38920","33840"
"In post","2021","Communications","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","20-29","460","460","34560","33210"
"In post","2021","Communications","Declared non-disabled","30-39","770","740","42990","40050"
"In post","2021","Communications","Declared non-disabled","40-49","690","650","45840","41770"
"In post","2021","Communications","Declared non-disabled","50-59","510","500","42450","37840"
"In post","2021","Communications","Declared non-disabled","60-64","100","90","37890","35000"
"In post","2021","Communications","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","20-29","40","30","[c]","[c]"
"In post","2021","Communications","Undeclared","30-39","60","60","44350","41010"
"In post","2021","Communications","Undeclared","40-49","50","50","44690","41730"
"In post","2021","Communications","Undeclared","50-59","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","20-29","300","300","33660","32120"
"In post","2021","Communications","Unknown","30-39","280","270","43690","41950"
"In post","2021","Communications","Unknown","40-49","230","220","48610","45230"
"In post","2021","Communications","Unknown","50-59","120","120","44990","41150"
"In post","2021","Communications","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","30-39","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","40-49","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","20-29","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","30-39","120","120","36070","34050"
"In post","2021","Counter Fraud","Declared non-disabled","40-49","160","150","37430","36060"
"In post","2021","Counter Fraud","Declared non-disabled","50-59","210","210","40770","39490"
"In post","2021","Counter Fraud","Declared non-disabled","60-64","70","60","38380","36060"
"In post","2021","Counter Fraud","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","30-39","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","50-59","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","20-29","100","100","30970","29760"
"In post","2021","Digital, Data and Technology","Declared disabled","30-39","220","210","37760","34410"
"In post","2021","Digital, Data and Technology","Declared disabled","40-49","270","260","40700","37010"
"In post","2021","Digital, Data and Technology","Declared disabled","50-59","380","360","41430","38150"
"In post","2021","Digital, Data and Technology","Declared disabled","60-64","60","50","39170","35550"
"In post","2021","Digital, Data and Technology","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","20-29","1010","1010","33970","31810"
