"Status","Year","Sexual_orientation","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Wales","260","250","30300","27570"
"In post","2021","LGBO","Declared disabled","West Midlands (England)","270","250","27900","27570"
"In post","2021","LGBO","Declared disabled","Yorkshire and The Humber","320","300","30530","27570"
"In post","2021","LGBO","Declared non-disabled","East Midlands (England)","510","490","29790","27380"
"In post","2021","LGBO","Declared non-disabled","East of England","500","480","29730","27570"
"In post","2021","LGBO","Declared non-disabled","London","3540","3480","45780","40600"
"In post","2021","LGBO","Declared non-disabled","North East (England)","700","670","28720","26300"
"In post","2021","LGBO","Declared non-disabled","North West (England)","1540","1500","29690","27370"
"In post","2021","LGBO","Declared non-disabled","Northern Ireland","70","60","26490","25310"
"In post","2021","LGBO","Declared non-disabled","Overseas","130","130","52300","52630"
"In post","2021","LGBO","Declared non-disabled","Scotland","990","960","32370","27570"
"In post","2021","LGBO","Declared non-disabled","South East (England)","1100","1060","30390","27850"
"In post","2021","LGBO","Declared non-disabled","South West (England)","980","950","31470","27570"
"In post","2021","LGBO","Declared non-disabled","Unknown","50","40","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Wales","920","890","30890","27570"
"In post","2021","LGBO","Declared non-disabled","West Midlands (England)","650","630","30030","27520"
"In post","2021","LGBO","Declared non-disabled","Yorkshire and The Humber","970","940","31070","27570"
"In post","2021","LGBO","Undeclared","East Midlands (England)","50","50","[c]","[c]"
"In post","2021","LGBO","Undeclared","East of England","50","50","[c]","[c]"
"In post","2021","LGBO","Undeclared","London","240","240","42910","36160"
"In post","2021","LGBO","Undeclared","North East (England)","60","60","27070","27570"
"In post","2021","LGBO","Undeclared","North West (England)","140","140","28670","27570"
"In post","2021","LGBO","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Scotland","70","70","30700","27570"
"In post","2021","LGBO","Undeclared","South East (England)","110","110","30850","29290"
"In post","2021","LGBO","Undeclared","South West (England)","80","80","33840","30670"
"In post","2021","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Wales","60","60","28760","25560"
"In post","2021","LGBO","Undeclared","West Midlands (England)","50","50","31360","27570"
"In post","2021","LGBO","Undeclared","Yorkshire and The Humber","90","90","30580","27570"
"In post","2021","LGBO","Unknown","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","London","350","340","43440","39920"
"In post","2021","LGBO","Unknown","North East (England)","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","North West (England)","130","130","31260","28840"
"In post","2021","LGBO","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Scotland","190","180","35030","33300"
"In post","2021","LGBO","Unknown","South East (England)","80","80","29610","27710"
"In post","2021","LGBO","Unknown","South West (England)","80","80","32360","28660"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Wales","90","90","29140","25560"
"In post","2021","LGBO","Unknown","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Yorkshire and The Humber","70","70","30540","28970"
"In post","2021","Undeclared","Declared disabled","East Midlands (England)","320","290","28720","27570"
"In post","2021","Undeclared","Declared disabled","East of England","260","240","30700","28380"
"In post","2021","Undeclared","Declared disabled","London","990","930","39220","33950"
"In post","2021","Undeclared","Declared disabled","North East (England)","280","240","26960","23840"
"In post","2021","Undeclared","Declared disabled","North West (England)","690","610","27770","26780"
"In post","2021","Undeclared","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Scotland","380","340","29520","27470"
"In post","2021","Undeclared","Declared disabled","South East (England)","480","430","30190","27570"
"In post","2021","Undeclared","Declared disabled","South West (England)","580","520","33410","30080"
"In post","2021","Undeclared","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Wales","540","460","26660","21590"
"In post","2021","Undeclared","Declared disabled","West Midlands (England)","350","320","28660","27570"
"In post","2021","Undeclared","Declared disabled","Yorkshire and The Humber","390","340","29600","27570"
"In post","2021","Undeclared","Declared non-disabled","East Midlands (England)","1060","950","30090","27570"
"In post","2021","Undeclared","Declared non-disabled","East of England","1160","1060","30320","27570"
"In post","2021","Undeclared","Declared non-disabled","London","5140","4880","42780","36800"
"In post","2021","Undeclared","Declared non-disabled","North East (England)","1170","1040","28270","25650"
"In post","2021","Undeclared","Declared non-disabled","North West (England)","2540","2310","29480","27460"
"In post","2021","Undeclared","Declared non-disabled","Northern Ireland","100","90","27800","24890"
"In post","2021","Undeclared","Declared non-disabled","Overseas","220","220","47310","40580"
"In post","2021","Undeclared","Declared non-disabled","Scotland","1650","1510","31200","27570"
"In post","2021","Undeclared","Declared non-disabled","South East (England)","2170","2000","31850","28650"
"In post","2021","Undeclared","Declared non-disabled","South West (England)","2290","2120","35090","32430"
"In post","2021","Undeclared","Declared non-disabled","Unknown","70","60","31810","27570"
"In post","2021","Undeclared","Declared non-disabled","Wales","2540","2240","29950","26670"
"In post","2021","Undeclared","Declared non-disabled","West Midlands (England)","1380","1250","29730","27570"
"In post","2021","Undeclared","Declared non-disabled","Yorkshire and The Humber","1740","1570","30560","27570"
"In post","2021","Undeclared","Undeclared","East Midlands (England)","560","520","30620","28220"
"In post","2021","Undeclared","Undeclared","East of England","650","610","31750","29870"
"In post","2021","Undeclared","Undeclared","London","2270","2180","44020","38860"
"In post","2021","Undeclared","Undeclared","North East (England)","590","550","30160","27460"
"In post","2021","Undeclared","Undeclared","North West (England)","1180","1100","31250","27570"
"In post","2021","Undeclared","Undeclared","Northern Ireland","70","70","28650","25560"
"In post","2021","Undeclared","Undeclared","Overseas","110","100","47430","41960"
"In post","2021","Undeclared","Undeclared","Scotland","560","520","32700","27570"
"In post","2021","Undeclared","Undeclared","South East (England)","1290","1220","32900","31630"
"In post","2021","Undeclared","Undeclared","South West (England)","1280","1220","36840","33840"
"In post","2021","Undeclared","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Wales","870","800","31410","27570"
"In post","2021","Undeclared","Undeclared","West Midlands (England)","660","620","31170","27570"
"In post","2021","Undeclared","Undeclared","Yorkshire and The Humber","790","740","32220","30820"
"In post","2021","Undeclared","Unknown","East Midlands (England)","80","70","31940","29050"
"In post","2021","Undeclared","Unknown","East of England","120","110","36590","34560"
"In post","2021","Undeclared","Unknown","London","640","620","45740","41760"
"In post","2021","Undeclared","Unknown","North East (England)","120","100","29630","23290"
"In post","2021","Undeclared","Unknown","North West (England)","210","190","32190","28840"
"In post","2021","Undeclared","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Scotland","1940","1770","29060","26550"
"In post","2021","Undeclared","Unknown","South East (England)","280","260","34080","31150"
"In post","2021","Undeclared","Unknown","South West (England)","360","340","39090","36950"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Wales","190","180","35230","31640"
"In post","2021","Undeclared","Unknown","West Midlands (England)","110","100","34440","32240"
"In post","2021","Undeclared","Unknown","Yorkshire and The Humber","140","130","32110","28840"
"In post","2021","Unknown","Declared disabled","East Midlands (England)","170","150","26830","27380"
"In post","2021","Unknown","Declared disabled","East of England","170","150","28390","27570"
"In post","2021","Unknown","Declared disabled","London","610","560","38460","31970"
"In post","2021","Unknown","Declared disabled","North East (England)","320","270","25380","21440"
"In post","2021","Unknown","Declared disabled","North West (England)","630","540","26630","25560"
"In post","2021","Unknown","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Scotland","550","490","30390","27570"
"In post","2021","Unknown","Declared disabled","South East (England)","290","250","29400","27570"
"In post","2021","Unknown","Declared disabled","South West (England)","340","300","30990","27570"
"In post","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Wales","210","170","26920","26420"
"In post","2021","Unknown","Declared disabled","West Midlands (England)","280","240","28370","27570"
"In post","2021","Unknown","Declared disabled","Yorkshire and The Humber","260","220","28720","27570"
"In post","2021","Unknown","Declared non-disabled","East Midlands (England)","1690","1480","29090","27570"
"In post","2021","Unknown","Declared non-disabled","East of England","1630","1430","30300","28130"
"In post","2021","Unknown","Declared non-disabled","London","5330","4920","41500","34770"
"In post","2021","Unknown","Declared non-disabled","North East (England)","3020","2550","27010","23510"
"In post","2021","Unknown","Declared non-disabled","North West (England)","5820","5070","27650","27570"
"In post","2021","Unknown","Declared non-disabled","Northern Ireland","130","120","30150","27970"
"In post","2021","Unknown","Declared non-disabled","Overseas","120","110","47060","43630"
"In post","2021","Unknown","Declared non-disabled","Scotland","4220","3780","31160","27570"
"In post","2021","Unknown","Declared non-disabled","South East (England)","2270","2000","31070","28130"
"In post","2021","Unknown","Declared non-disabled","South West (England)","3750","3390","34640","32060"
"In post","2021","Unknown","Declared non-disabled","Unknown","120","110","31830","27570"
"In post","2021","Unknown","Declared non-disabled","Wales","2300","1990","29490","27570"
"In post","2021","Unknown","Declared non-disabled","West Midlands (England)","2980","2610","29170","27570"
"In post","2021","Unknown","Declared non-disabled","Yorkshire and The Humber","2940","2560","31170","27570"
"In post","2021","Unknown","Undeclared","East Midlands (England)","250","220","29640","30550"
"In post","2021","Unknown","Undeclared","East of England","300","260","31190","31650"
"In post","2021","Unknown","Undeclared","London","1300","1240","40630","35870"
"In post","2021","Unknown","Undeclared","North East (England)","360","310","29350","31650"
"In post","2021","Unknown","Undeclared","North West (England)","700","630","29280","31650"
"In post","2021","Unknown","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Scotland","140","120","27600","25560"
"In post","2021","Unknown","Undeclared","South East (England)","600","550","33270","31650"
"In post","2021","Unknown","Undeclared","South West (England)","330","300","33550","31650"
"In post","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Wales","210","180","29330","27570"
"In post","2021","Unknown","Undeclared","West Midlands (England)","330","290","29800","27570"
"In post","2021","Unknown","Undeclared","Yorkshire and The Humber","370","330","30670","31650"
"In post","2021","Unknown","Unknown","East Midlands (England)","2310","2190","27230","25560"
"In post","2021","Unknown","Unknown","East of England","1930","1830","30950","27570"
"In post","2021","Unknown","Unknown","London","14250","13920","43480","36240"
"In post","2021","Unknown","Unknown","North East (England)","4130","3760","25910","21440"
"In post","2021","Unknown","Unknown","North West (England)","6310","5960","28170","25560"
"In post","2021","Unknown","Unknown","Northern Ireland","700","660","25500","21440"
"In post","2021","Unknown","Unknown","Overseas","580","580","51670","51500"
"In post","2021","Unknown","Unknown","Scotland","8730","8220","30800","27150"
"In post","2021","Unknown","Unknown","South East (England)","3800","3560","31250","27850"
"In post","2021","Unknown","Unknown","South West (England)","3770","3580","33490","28650"
"In post","2021","Unknown","Unknown","Unknown","2410","2400","37080","32700"
"In post","2021","Unknown","Unknown","Wales","4150","3910","27850","24120"
"In post","2021","Unknown","Unknown","West Midlands (England)","3040","2900","29740","25560"
"In post","2021","Unknown","Unknown","Yorkshire and The Humber","4180","4020","29820","25560"
"In post","2022","Heterosexual / straight","Declared disabled","East Midlands (England)","2220","2030","29210","27570"
"In post","2022","Heterosexual / straight","Declared disabled","East of England","2090","1910","30600","28010"
"In post","2022","Heterosexual / straight","Declared disabled","London","7230","6880","41330","35900"
"In post","2022","Heterosexual / straight","Declared disabled","North East (England)","2980","2650","28430","27130"
"In post","2022","Heterosexual / straight","Declared disabled","North West (England)","5750","5200","29550","27570"
"In post","2022","Heterosexual / straight","Declared disabled","Northern Ireland","270","250","29470","26820"
"In post","2022","Heterosexual / straight","Declared disabled","Overseas","170","170","48220","44140"
"In post","2022","Heterosexual / straight","Declared disabled","Scotland","3390","3090","31520","27570"
"In post","2022","Heterosexual / straight","Declared disabled","South East (England)","3550","3260","30840","27570"
"In post","2022","Heterosexual / straight","Declared disabled","South West (England)","3700","3420","32660","28640"
"In post","2022","Heterosexual / straight","Declared disabled","Unknown","100","90","32150","27700"
"In post","2022","Heterosexual / straight","Declared disabled","Wales","2790","2520","29800","27570"
"In post","2022","Heterosexual / straight","Declared disabled","West Midlands (England)","3060","2790","30040","27570"
"In post","2022","Heterosexual / straight","Declared disabled","Yorkshire and The Humber","3360","3050","30900","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","East Midlands (England)","12170","11360","31180","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","East of England","12470","11680","31380","28700"
"In post","2022","Heterosexual / straight","Declared non-disabled","London","54310","52290","44510","39420"
"In post","2022","Heterosexual / straight","Declared non-disabled","North East (England)","17360","15890","30590","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","North West (England)","33330","31110","31130","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","Northern Ireland","2260","2150","30300","26820"
"In post","2022","Heterosexual / straight","Declared non-disabled","Overseas","1970","1960","49070","46600"
"In post","2022","Heterosexual / straight","Declared non-disabled","Scotland","22840","21460","34030","27940"
"In post","2022","Heterosexual / straight","Declared non-disabled","South East (England)","22380","20930","32180","28920"
"In post","2022","Heterosexual / straight","Declared non-disabled","South West (England)","25730","24310","35070","32010"
"In post","2022","Heterosexual / straight","Declared non-disabled","Unknown","680","650","33830","31030"
"In post","2022","Heterosexual / straight","Declared non-disabled","Wales","20800","19430","32950","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","West Midlands (England)","17550","16440","31410","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","Yorkshire and The Humber","20770","19280","32460","27570"
"In post","2022","Heterosexual / straight","Undeclared","East Midlands (England)","700","650","29780","27570"
"In post","2022","Heterosexual / straight","Undeclared","East of England","710","670","31250","29290"
"In post","2022","Heterosexual / straight","Undeclared","London","2370","2290","42110","36900"
"In post","2022","Heterosexual / straight","Undeclared","North East (England)","840","770","29970","27570"
"In post","2022","Heterosexual / straight","Undeclared","North West (England)","1580","1460","29730","27570"
"In post","2022","Heterosexual / straight","Undeclared","Northern Ireland","130","120","29830","26820"
"In post","2022","Heterosexual / straight","Undeclared","Overseas","50","50","46790","41500"
"In post","2022","Heterosexual / straight","Undeclared","Scotland","740","690","31450","27570"
"In post","2022","Heterosexual / straight","Undeclared","South East (England)","1390","1290","31270","29290"
"In post","2022","Heterosexual / straight","Undeclared","South West (England)","1190","1120","33910","31380"
"In post","2022","Heterosexual / straight","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Wales","820","750","29330","26820"
"In post","2022","Heterosexual / straight","Undeclared","West Midlands (England)","950","890","30020","27570"
"In post","2022","Heterosexual / straight","Undeclared","Yorkshire and The Humber","1080","1000","31290","29200"
"In post","2022","Heterosexual / straight","Unknown","East Midlands (England)","610","580","33820","30270"
"In post","2022","Heterosexual / straight","Unknown","East of England","790","760","34650","32640"
"In post","2022","Heterosexual / straight","Unknown","London","4810","4690","44670","40230"
"In post","2022","Heterosexual / straight","Unknown","North East (England)","920","840","31020","26820"
"In post","2022","Heterosexual / straight","Unknown","North West (England)","2300","2210","33790","30820"
"In post","2022","Heterosexual / straight","Unknown","Northern Ireland","250","240","31230","27420"
"In post","2022","Heterosexual / straight","Unknown","Overseas","300","300","55140","53740"
"In post","2022","Heterosexual / straight","Unknown","Scotland","3860","3640","38180","35000"
"In post","2022","Heterosexual / straight","Unknown","South East (England)","1840","1700","33240","30210"
"In post","2022","Heterosexual / straight","Unknown","South West (England)","1810","1730","36570","33370"
"In post","2022","Heterosexual / straight","Unknown","Unknown","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Wales","1310","1240","33030","30210"
"In post","2022","Heterosexual / straight","Unknown","West Midlands (England)","1170","1120","34230","30320"
"In post","2022","Heterosexual / straight","Unknown","Yorkshire and The Humber","1370","1320","35200","31320"
"In post","2022","LGBO","Declared disabled","East Midlands (England)","250","230","29630","27570"
"In post","2022","LGBO","Declared disabled","East of England","190","180","28940","27570"
"In post","2022","LGBO","Declared disabled","London","1150","1130","43080","37930"
"In post","2022","LGBO","Declared disabled","North East (England)","260","240","28420","27140"
"In post","2022","LGBO","Declared disabled","North West (England)","630","600","29520","27570"
"In post","2022","LGBO","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Scotland","520","500","31650","27570"
"In post","2022","LGBO","Declared disabled","South East (England)","400","380","29880","28570"
"In post","2022","LGBO","Declared disabled","South West (England)","400","380","30580","27570"
"In post","2022","LGBO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Wales","320","310","30540","27570"
"In post","2022","LGBO","Declared disabled","West Midlands (England)","320","300","29560","27570"
"In post","2022","LGBO","Declared disabled","Yorkshire and The Humber","390","370","31160","27570"
"In post","2022","LGBO","Declared non-disabled","East Midlands (England)","600","580","30410","27470"
"In post","2022","LGBO","Declared non-disabled","East of England","540","530","30370","27570"
"In post","2022","LGBO","Declared non-disabled","London","3740","3680","46250","41750"
"In post","2022","LGBO","Declared non-disabled","North East (England)","910","880","30180","27570"
"In post","2022","LGBO","Declared non-disabled","North West (England)","1870","1820","30660","27570"
"In post","2022","LGBO","Declared non-disabled","Northern Ireland","90","90","28890","26590"
"In post","2022","LGBO","Declared non-disabled","Overseas","130","130","52510","52760"
"In post","2022","LGBO","Declared non-disabled","Scotland","1300","1270","33170","27570"
"In post","2022","LGBO","Declared non-disabled","South East (England)","1150","1120","31470","28200"
"In post","2022","LGBO","Declared non-disabled","South West (England)","1200","1160","32550","28800"
"In post","2022","LGBO","Declared non-disabled","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Declared non-disabled","Wales","1080","1050","31640","27570"
"In post","2022","LGBO","Declared non-disabled","West Midlands (England)","780","750","30650","27470"
"In post","2022","LGBO","Declared non-disabled","Yorkshire and The Humber","1110","1070","31880","27570"
"In post","2022","LGBO","Undeclared","East Midlands (England)","60","60","28680","27570"
"In post","2022","LGBO","Undeclared","East of England","50","50","29780","28200"
"In post","2022","LGBO","Undeclared","London","260","260","43050","38590"
"In post","2022","LGBO","Undeclared","North East (England)","80","70","28270","27570"
"In post","2022","LGBO","Undeclared","North West (England)","170","170","29850","27570"
"In post","2022","LGBO","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Scotland","80","80","32030","27570"
"In post","2022","LGBO","Undeclared","South East (England)","110","110","30730","28920"
"In post","2022","LGBO","Undeclared","South West (England)","70","70","33650","30200"
"In post","2022","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Wales","70","70","29260","26820"
"In post","2022","LGBO","Undeclared","West Midlands (England)","60","60","31150","27570"
"In post","2022","LGBO","Undeclared","Yorkshire and The Humber","90","90","34180","30820"
"In post","2022","LGBO","Unknown","East Midlands (England)","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","East of England","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","London","450","440","44140","40650"
"In post","2022","LGBO","Unknown","North East (England)","60","50","31470","26820"
"In post","2022","LGBO","Unknown","North West (England)","170","170","31660","29360"
"In post","2022","LGBO","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Scotland","230","220","35560","32990"
"In post","2022","LGBO","Unknown","South East (England)","90","90","32980","30210"
"In post","2022","LGBO","Unknown","South West (England)","100","90","32030","28710"
"In post","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Wales","120","110","30420","29820"
"In post","2022","LGBO","Unknown","West Midlands (England)","60","60","33660","29100"
"In post","2022","LGBO","Unknown","Yorkshire and The Humber","120","120","33130","29360"
"In post","2022","Undeclared","Declared disabled","East Midlands (England)","320","290","29290","27570"
"In post","2022","Undeclared","Declared disabled","East of England","270","250","30190","28200"
"In post","2022","Undeclared","Declared disabled","London","1020","960","40530","35070"
"In post","2022","Undeclared","Declared disabled","North East (England)","310","270","28490","26820"
"In post","2022","Undeclared","Declared disabled","North West (England)","740","660","28700","27570"
"In post","2022","Undeclared","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Scotland","390","350","30760","27570"
"In post","2022","Undeclared","Declared disabled","South East (England)","500","450","30690","27570"
"In post","2022","Undeclared","Declared disabled","South West (England)","600","560","33090","29230"
"In post","2022","Undeclared","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Declared disabled","Wales","540","460","27440","23670"
"In post","2022","Undeclared","Declared disabled","West Midlands (England)","390","350","29380","27570"
"In post","2022","Undeclared","Declared disabled","Yorkshire and The Humber","400","360","30780","27570"
"In post","2022","Undeclared","Declared non-disabled","East Midlands (England)","1050","960","30910","27570"
"In post","2022","Undeclared","Declared non-disabled","East of England","1150","1050","30850","27570"
"In post","2022","Undeclared","Declared non-disabled","London","4970","4720","43310","37930"
"In post","2022","Undeclared","Declared non-disabled","North East (England)","1200","1070","29500","26820"
