"Status","Year","Parent_department","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Asian","150","150","30270","26970"
"In post","2021","Attorney General's Departments","20-29","Black","70","70","28470","27000"
"In post","2021","Attorney General's Departments","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Mixed","50","50","31140","27400"
"In post","2021","Attorney General's Departments","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Unknown","160","160","27840","25920"
"In post","2021","Attorney General's Departments","20-29","White","860","850","30650","26970"
"In post","2021","Attorney General's Departments","30-39","Asian","240","220","42970","48080"
"In post","2021","Attorney General's Departments","30-39","Black","90","90","38870","34070"
"In post","2021","Attorney General's Departments","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Mixed","70","60","44810","50580"
"In post","2021","Attorney General's Departments","30-39","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Unknown","260","250","46790","50520"
"In post","2021","Attorney General's Departments","30-39","White","1430","1340","45150","50500"
"In post","2021","Attorney General's Departments","40-49","Asian","300","270","46560","51030"
"In post","2021","Attorney General's Departments","40-49","Black","140","130","42420","39320"
"In post","2021","Attorney General's Departments","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Mixed","80","80","52760","51780"
"In post","2021","Attorney General's Departments","40-49","Other ethnicity","40","40","[c]","[c]"
