"Status","Year","Region_ITL3","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Female","930","840","32400","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Male","940","910","39900","33650"
"In post","2021","Angus and Dundee City","Scotland","Female","1160","1040","26520","22230"
"In post","2021","Angus and Dundee City","Scotland","Male","740","710","25790","21150"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Female","60","60","26650","21670"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Male","140","140","23700","20310"
"In post","2021","Ards and North Down","Northern Ireland","Female","60","50","28760","22330"
"In post","2021","Ards and North Down","Northern Ireland","Male","170","170","24940","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Female","390","340","30120","31060"
"In post","2021","Barking & Dagenham and Havering","London","Male","210","200","31100","31060"
"In post","2021","Barnet","London","Female","1060","980","38310","32330"
"In post","2021","Barnet","London","Male","620","600","42610","38520"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Female","1840","1570","26140","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Male","1150","1100","28800","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Female","5370","4980","34700","32660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Male","7990","7850","39800","37990"
"In post","2021","Bedford","East of England","Female","460","420","28930","27570"
"In post","2021","Bedford","East of England","Male","370","360","31830","30060"
"In post","2021","Belfast","Northern Ireland","Female","1440","1290","28780","25560"
"In post","2021","Belfast","Northern Ireland","Male","1380","1330","29010","25560"
"In post","2021","Berkshire","South East (England)","Female","1370","1260","32720","29290"
"In post","2021","Berkshire","South East (England)","Male","1590","1560","35820","33170"
"In post","2021","Bexley and Greenwich","London","Female","920","860","30500","31060"
"In post","2021","Bexley and Greenwich","London","Male","840","820","33250","33180"
"In post","2021","Birmingham","West Midlands (England)","Female","6600","5950","30240","27570"
"In post","2021","Birmingham","West Midlands (England)","Male","5000","4850","32400","27570"
"In post","2021","Blackburn with Darwen","North West (England)","Female","300","250","26530","27570"
"In post","2021","Blackburn with Darwen","North West (England)","Male","200","190","27180","27570"
"In post","2021","Blackpool","North West (England)","Female","3220","2840","28370","27570"
"In post","2021","Blackpool","North West (England)","Male","1930","1860","30190","27570"
"In post","2021","Bournemouth and Poole","South West (England)","Female","420","360","27030","27570"
"In post","2021","Bournemouth and Poole","South West (England)","Male","300","290","26620","27290"
"In post","2021","Bradford","Yorkshire and The Humber","Female","1860","1570","26880","25560"
"In post","2021","Bradford","Yorkshire and The Humber","Male","1240","1180","27660","25560"
"In post","2021","Breckland and South Norfolk","East of England","Female","220","200","27910","26300"
"In post","2021","Breckland and South Norfolk","East of England","Male","310","300","29020","26810"
"In post","2021","Brent","London","Female","400","360","30470","31050"
"In post","2021","Brent","London","Male","210","200","33300","31060"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Female","500","430","26480","27570"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Male","210","200","28560","27570"
"In post","2021","Brighton and Hove","South East (England)","Female","420","370","30640","27570"
"In post","2021","Brighton and Hove","South East (England)","Male","230","220","30520","27570"
"In post","2021","Bristol, City of","South West (England)","Female","3520","3170","34380","29870"
"In post","2021","Bristol, City of","South West (England)","Male","3090","2960","37550","31860"
"In post","2021","Bromley","London","Female","330","300","29460","31060"
"In post","2021","Bromley","London","Male","130","120","29250","31060"
"In post","2021","Buckinghamshire CC","South East (England)","Female","980","920","31030","28670"
"In post","2021","Buckinghamshire CC","South East (England)","Male","700","680","33710","31810"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Female","110","100","27650","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Male","100","100","31100","29190"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","Female","700","590","26790","27570"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","Male","360","350","27480","27570"
"In post","2021","Cambridgeshire CC","East of England","Female","1620","1500","32990","29180"
"In post","2021","Cambridgeshire CC","East of England","Male","1760","1700","34900","31650"
"In post","2021","Camden and City of London","London","Female","1780","1670","35800","30920"
"In post","2021","Camden and City of London","London","Male","1860","1820","40630","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Wales","Female","6510","5880","32300","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Wales","Male","5560","5380","33710","28850"
"In post","2021","Causeway Coast and Glens","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Northern Ireland","Male","60","60","20740","20310"
"In post","2021","Central Bedfordshire","East of England","Female","190","170","28630","26670"
"In post","2021","Central Bedfordshire","East of England","Male","250","240","31440","29750"
"In post","2021","Central Hampshire","South East (England)","Female","1870","1760","33500","33000"
"In post","2021","Central Hampshire","South East (England)","Male","2320","2270","38340","37320"
"In post","2021","Central Valleys","Wales","Female","1130","1030","32770","28850"
"In post","2021","Central Valleys","Wales","Male","580","560","38080","31700"
"In post","2021","Cheshire East","North West (England)","Female","470","430","29740","27570"
"In post","2021","Cheshire East","North West (England)","Male","290","270","30540","27570"
"In post","2021","Cheshire West and Chester","North West (England)","Female","290","260","26370","27570"
"In post","2021","Cheshire West and Chester","North West (England)","Male","170","160","25600","23840"
"In post","2021","Chorley and West Lancashire","North West (England)","Female","630","580","28710","27380"
"In post","2021","Chorley and West Lancashire","North West (England)","Male","700","650","30590","28830"
"In post","2021","City of Edinburgh","Scotland","Female","6750","6310","37110","31810"
"In post","2021","City of Edinburgh","Scotland","Male","6050","5900","37710","33620"
"In post","2021","Clackmannanshire and Fife","Scotland","Female","680","610","27840","27570"
"In post","2021","Clackmannanshire and Fife","Scotland","Male","670","640","32110","33300"
"In post","2021","Conwy and Denbighshire","Wales","Female","450","410","34420","30210"
"In post","2021","Conwy and Denbighshire","Wales","Male","240","220","36310","30600"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Female","920","800","26230","26590"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Male","730","700","27040","26670"
"In post","2021","Coventry","West Midlands (England)","Female","1460","1350","35630","31000"
"In post","2021","Coventry","West Midlands (England)","Male","970","950","38730","36430"
"In post","2021","Croydon","London","Female","5350","4950","36810","32090"
"In post","2021","Croydon","London","Male","4270","4190","40290","36160"
"In post","2021","Darlington","North East (England)","Female","600","550","34360","30200"
"In post","2021","Darlington","North East (England)","Male","380","370","37750","36500"
