"Status","Year","Sex","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Crown Prosecution Service","120","100","38990","30110"
"In post","2021","Female","Bedfordshire and Hertfordshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","750","660","28760","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","260","220","23720","21300"
"In post","2021","Female","Bedfordshire and Hertfordshire","HM Prison and Probation Service","550","510","28420","27850"
"In post","2021","Female","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","110","100","28400","26070"
"In post","2021","Female","Bedfordshire and Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","180","170","43800","41010"
"In post","2021","Female","Bedfordshire and Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","350","340","35490","30750"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","National Crime Agency","50","50","35870","35910"
"In post","2021","Female","Bedfordshire and Hertfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","60","60","33420","33000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","100","90","41740","36240"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Defence Equipment and Support","50","50","30910","28530"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","39820","36750"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions (excl. agencies)","800","710","28410","27570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","260","240","37330","31390"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","170","160","29130","26250"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","230","200","25220","22080"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","1100","1020","29180","27850"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","200","180","32360","29570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","1170","1110","31270","28000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Public Health England","230","200","41930","38580"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","90","80","28200","24920"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","41430","37410"
"In post","2021","Female","Cheshire","Department for Work and Pensions (excl. agencies)","630","550","25490","27570"
"In post","2021","Female","Cheshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","HM Courts and Tribunals Service","90","80","24460","20100"
"In post","2021","Female","Cheshire","HM Prison and Probation Service","580","540","28480","26300"
"In post","2021","Female","Cheshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Ministry of Housing, Communities and Local Government (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Cheshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","National Crime Agency","580","560","34720","32770"
"In post","2021","Female","Cheshire","Rural Payments Agency","60","60","24880","24920"
"In post","2021","Female","Cornwall and Isles of Scilly","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Department for Work and Pensions (excl. agencies)","570","490","25360","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","HM Courts and Tribunals Service","50","40","21980","20100"
"In post","2021","Female","Cornwall and Isles of Scilly","HM Prison and Probation Service","40","30","[c]","[c]"
