"Status","Year","Region_ITL3","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Female","80","70","31810","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Male","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Female","310","290","33790","28410"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Male","360","350","46910","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Male","70","70","30990","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Male","80","80","41160","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Female","490","440","31780","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Male","380","360","35380","30650"
"In post","2021","Angus and Dundee City","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Female","80","70","31800","29350"
"In post","2021","Angus and Dundee City","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","Female","190","170","24390","21440"
"In post","2021","Angus and Dundee City","No function","Male","170","160","22940","20140"
"In post","2021","Angus and Dundee City","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Female","880","790","26510","23340"
"In post","2021","Angus and Dundee City","Unknown","Male","540","530","25940","21150"
"In post","2021","Antrim and Newtownabbey","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Male","70","70","21120","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Male","50","50","23510","20540"
"In post","2021","Ards and North Down","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Male","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Male","90","90","20850","20310"
"In post","2021","Ards and North Down","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Female","100","90","27440","24080"
"In post","2021","Barking & Dagenham and Havering","No function","Male","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Female","290","250","30770","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","Male","180","170","31310","31060"
"In post","2021","Barnet","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Male","30","30","[c]","[c]"
"In post","2021","Barnet","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","Female","750","700","40270","33340"
"In post","2021","Barnet","No function","Male","340","330","43870","40070"
"In post","2021","Barnet","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Female","260","230","32050","31060"
"In post","2021","Barnet","Unknown","Male","200","200","39040","35060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
