"Status","Year","Sexual_orientation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","AA/AO","160","150","22630","21590"
"In post","2021","Heterosexual / straight","Commercial","EO","510","490","25970","26400"
"In post","2021","Heterosexual / straight","Commercial","G6/G7","700","680","60090","57530"
"In post","2021","Heterosexual / straight","Commercial","SCS","70","70","90420","83090"
"In post","2021","Heterosexual / straight","Commercial","SEO/HEO","2170","2100","37790","37100"
"In post","2021","Heterosexual / straight","Commercial","Unknown","170","160","38820","37400"
"In post","2021","Heterosexual / straight","Communications","AA/AO","150","150","22340","21590"
"In post","2021","Heterosexual / straight","Communications","EO","400","380","27420","26930"
"In post","2021","Heterosexual / straight","Communications","G6/G7","600","580","58280","57270"
"In post","2021","Heterosexual / straight","Communications","SCS","80","80","86670","81370"
"In post","2021","Heterosexual / straight","Communications","SEO/HEO","1340","1300","37870","37410"
"In post","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","G6/G7","60","60","57220","56350"
"In post","2021","Heterosexual / straight","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","AA/AO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","EO","140","130","26450","25580"
"In post","2021","Heterosexual / straight","Counter Fraud","G6/G7","80","80","62080","59050"
"In post","2021","Heterosexual / straight","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","SEO/HEO","330","320","37400","37910"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","AA/AO","270","260","22040","21580"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","EO","1340","1290","27550","26670"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","G6/G7","2200","2160","58410","57280"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","SCS","170","160","92200","85350"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","SEO/HEO","4270","4140","37960","37740"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","AA/AO","50","50","23010","23210"
"In post","2021","Heterosexual / straight","Economics","EO","70","70","27320","27680"
"In post","2021","Heterosexual / straight","Economics","G6/G7","630","610","59730","58030"
"In post","2021","Heterosexual / straight","Economics","SCS","70","70","87430","81750"
"In post","2021","Heterosexual / straight","Economics","SEO/HEO","580","570","34920","33930"
"In post","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","AA/AO","720","620","21540","21440"
"In post","2021","Heterosexual / straight","Finance","EO","1220","1160","26510","26670"
"In post","2021","Heterosexual / straight","Finance","G6/G7","1540","1510","59220","58120"
"In post","2021","Heterosexual / straight","Finance","SCS","220","220","90840","83860"
"In post","2021","Heterosexual / straight","Finance","SEO/HEO","2760","2660","37900","37410"
"In post","2021","Heterosexual / straight","Finance","Unknown","120","110","41410","39860"
"In post","2021","Heterosexual / straight","Human Resources","AA/AO","910","830","21700","21130"
"In post","2021","Heterosexual / straight","Human Resources","EO","1020","960","27040","26670"
"In post","2021","Heterosexual / straight","Human Resources","G6/G7","1310","1260","58420","57460"
"In post","2021","Heterosexual / straight","Human Resources","SCS","160","150","89900","84030"
"In post","2021","Heterosexual / straight","Human Resources","SEO/HEO","2570","2450","36930","36460"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","40","30","[c]","[c]"
