"Status","Year","Region_ITL3","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Scotland","630","590","37220","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Other","Scotland","60","60","27150","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","Scotland","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Scotland","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scotland","900","840","33490","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Scotland","350","320","23650","21440"
"In post","2021","Angus and Dundee City","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","Scotland","80","70","26440","21440"
"In post","2021","Angus and Dundee City","Unknown","Scotland","1390","1290","26390","22230"
"In post","2021","Antrim and Newtownabbey","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","Northern Ireland","60","60","20950","20310"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Northern Ireland","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Other","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Policy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Northern Ireland","90","90","21100","20310"
"In post","2021","Ards and North Down","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","London","130","120","27800","26150"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","London","460","420","30980","31060"
"In post","2021","Barnet","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","London","170","160","45900","44950"
"In post","2021","Barnet","Finance","London","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Medicine","London","40","30","[c]","[c]"
"In post","2021","Barnet","Operational Delivery","London","510","470","35580","32200"
"In post","2021","Barnet","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Science and Engineering","London","540","510","40860","40070"
"In post","2021","Barnet","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","London","310","280","31360","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
