"Status","Year","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","30090","26760","30670","27570"
"In post","2021","Declared disabled","Male","20460","19480","32840","28570"
"In post","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","177740","160190","32600","27570"
"In post","2021","Declared non-disabled","Male","143160","138870","35750","31420"
"In post","2021","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","13110","11900","32090","28060"
"In post","2021","Undeclared","Male","15640","14990","34790","31650"
"In post","2021","Unknown","Female","41740","38750","33020","28170"
"In post","2021","Unknown","Male","42900","41840","34970","31060"
"In post","2021","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Declared disabled","Female","32870","29420","31520","27570"
"In post","2022","Declared disabled","Male","21750","20730","33540","29290"
"In post","2022","Declared non-disabled","Female","185400","168230","33350","28310"
"In post","2022","Declared non-disabled","Male","149290","145000","36430","31880"
"In post","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","12600","11450","32370","28310"
"In post","2022","Undeclared","Male","14890","14250","35220","31700"
"In post","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","47190","44080","34080","29250"
"In post","2022","Unknown","Male","46080","44920","35870","32090"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","1660","1350","28600","26220"
"Leaver CS","2021","Declared disabled","Male","1300","1170","31220","27570"
"Leaver CS","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","8300","6950","30850","26410"
"Leaver CS","2021","Declared non-disabled","Male","7200","6570","35450","29080"
"Leaver CS","2021","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","800","670","31440","27550"
"Leaver CS","2021","Undeclared","Male","930","830","34460","30800"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","3850","3380","31390","26970"
"Leaver CS","2021","Unknown","Male","3670","3410","33840","28650"
